fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time,results_pierceb,results_westk,results_de_la_fuenter,results_kennedya,results_la_rivag,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_kennedya,results_absentee_la_rivag,results_blankenshipd,results_absentee_blankenshipd,results_carrollb,results_absentee_carrollb,results_simmonsj,results_boddiep,results_hammonsb,results_hoeflingt,results_absentee_simmonsj,results_absentee_boddiep,results_absentee_hammonsb,results_absentee_hoeflingt,results_collinsp,results_absentee_collinsp,results_kingr,results_absentee_kingr,results_segalj,results_absentee_segalj,results_gammonc,results_myersj,results_absentee_gammonc,results_absentee_myersj,results_paigeh,results_lafontainec,results_duncanr,results_mccormick,results_huberb,results_swingg,results_kopitkek,results_scalfz,results_absentee_paigeh,results_absentee_lafontainec,results_absentee_duncanr,results_absentee_mccormick,results_absentee_huberb,results_absentee_swingg,results_absentee_kopitkek,results_absentee_scalfz,results_hunterd,results_absentee_hunterd,results_none_of_these_candidates,results_absentee_none_of_these_candidates,results_tittles,results_absentee_tittles,results_charlesm,results_mchughj,results_jacob_fambrop,results_scottj,results_kishorej,results_absentee_charlesm,results_absentee_mchughj,results_absentee_jacob_fambrop,results_absentee_scottj,results_absentee_kishorej
48001,Anderson,19227,14491,23,23,Released as a precinct as first report of the night,100,19227,100%,100% reported,edison,10,all,,15380,,,15110,3955,134,22,6,11120,3249,96,21,5,2020-11-28T14:38:59Z,58.01737,R+58,Trump +58,republican,trumpd,58.01737,16977,57.9,16212,52.12,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48003,Andrews,5863,4780,5,5,Released as a precinct as first report of the night,100,5863,100%,100% reported,edison,10,all,,4805,,,4943,850,60,10,0,4029,700,45,6,0,2020-11-27T13:43:51Z,69.81068,R+70,Trump +70,republican,trumpd,69.81068,4943,62.5,4482,63.45,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48005,Angelina,34574,28635,43,43,Released as a precinct as first report of the night,100,34574,100%,100% reported,edison,10,all,,28954,,,25076,9143,274,75,6,20658,7717,200,54,6,2020-12-14T16:38:11Z,46.08376,R+46,Trump +46,republican,trumpd,46.08376,29911,47.2,28406,43.9,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48007,Aransas,12290,11029,6,6,Released as a precinct as first report of the night,100,12290,100%,100% reported,edison,10,all,,10783,,,9239,2916,103,31,1,8249,2670,84,26,0,2020-11-29T04:27:32Z,51.44833,R+51,Trump +51,republican,trumpd,51.44833,10512,50.2,9648,42.77,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48009,Archer,4796,3623,12,12,Released as a precinct as first report of the night,100,4796,100%,100% reported,edison,10,all,,2737,,,4300,446,45,4,1,3236,356,28,2,1,2020-11-28T14:55:25Z,80.35863,R+80,Trump +80,republican,trumpd,80.35863,4283,79.2,4164,73.85,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48011,Armstrong,1112,846,8,8,Released as a precinct as first report of the night,100,1112,100%,100% reported,edison,10,all,,777,,,1035,75,2,0,0,784,61,1,0,0,2020-12-11T21:42:01Z,86.33094,R+86,Trump +86,republican,trumpd,86.33094,1021,83.6,935,78.07,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48013,Atascosa,18118,14768,25,25,Released as a precinct as first report of the night,100,18118,100%,100% reported,edison,10,all,,10647,,,12039,5876,143,58,2,9766,4844,112,44,2,2020-12-11T21:42:22Z,34.0159,R+34,Trump +34,republican,trumpd,34.0159,13673,29,12721,18.3,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48015,Austin,14554,11556,18,18,Released as a precinct as first report of the night,100,14554,100%,100% reported,edison,10,all,,9966,,,11447,2951,123,33,0,9001,2438,91,26,0,2020-12-11T21:42:33Z,58.3757,R+58,Trump +58,republican,trumpd,58.3757,12274,59.6,11649,60.2,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48017,Bailey,1860,1284,5,5,Released as a precinct as first report of the night,100,1860,100%,100% reported,edison,10,all,,1464,,,1434,409,14,2,1,1023,253,7,0,1,2020-11-29T04:12:48Z,55.10753,R+55,Trump +55,republican,trumpd,55.10753,1793,52.8,1816,48.07,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48019,Bandera,12715,11085,11,11,Released as a precinct as first report of the night,100,12715,100%,100% reported,edison,10,all,,10011,,,10057,2505,120,30,3,8671,2297,92,22,3,2020-11-29T04:15:51Z,59.39442,R+59,Trump +59,republican,trumpd,59.39442,10218,63,9448,58.87,texas,2020-12-19T18:27:07.018438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
