fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mcclintockt,results_kennedyb,results_absentee_mcclintockt,results_absentee_kennedyb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
06003,Alpine,737,727,5,5,Other,100,737,100%,100% reported,edison,10,all,1050,264,473,257,470,2020-12-05T21:02:08Z,28.35821,D+28,Kennedy +28,democrat,kennedyb,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06005,Amador,22092,17690,30,30,Released as a separate subtotal as first report of the night,100,22092,100%,100% reported,edison,10,some,17509,13833,8259,10377,7313,2020-11-28T03:39:49Z,25.23085,R+25,McClintock +25,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06009,Calaveras,26896,18699,29,29,Merged into voters' home precincts and released with cumulative results,100,26896,100%,100% reported,edison,10,some,23685,16563,10333,10464,8235,2020-12-01T17:41:08Z,23.1633,R+23,McClintock +23,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06017,El Dorado,115307,82216,202,202,Released as a separate subtotal as first report of the night,100,115307,100%,100% reported,edison,10,some,102390,63710,51597,41241,40975,2020-11-28T03:40:21Z,10.505,R+11,McClintock +11,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06019,Fresno,8581,5575,10,10,Merged into voters' home precincts and released with cumulative results,100,8581,100%,100% reported,edison,10,all,227374,6533,2048,3984,1591,2020-11-30T17:41:08Z,52.26664,R+52,McClintock +52,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06039,Madera,16120,11626,24,24,Released as a separate subtotal as first report of the night,100,16120,100%,100% reported,edison,10,all,39467,10692,5428,7161,4465,2020-11-28T03:46:13Z,32.65509,R+33,McClintock +33,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06043,Mariposa,10101,8139,25,25,Other,100,10101,100%,100% reported,edison,10,all,8458,5906,4195,4495,3644,2020-11-24T13:22:53Z,16.93892,R+17,McClintock +17,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06057,Nevada,10003,3725,16,16,Other,100,10003,100%,100% reported,edison,10,all,61400,2495,7508,706,3019,2020-11-28T03:41:11Z,50.11497,D+50,Kennedy +50,democrat,kennedyb,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06061,Placer,202057,0,110,110,Released as a separate subtotal as first report of the night,100,202057,100%,100% reported,edison,10,all,184938,109379,92678,0,0,2020-12-05T21:03:22Z,8.26549,R+8,McClintock +8,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
06109,Tuolumne,30128,0,73,73,Other,100,30128,100%,100% reported,edison,10,unknown,30744,17916,12212,0,0,2020-11-24T13:22:48Z,18.93255,R+19,McClintock +19,republican,mcclintockt,CA-G-H-4-2020-11-03,ca-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,likely-rep,4,District 4,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",442022,148397,8,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,524,524,100% reporting,100%,100,442022,edison,100%,100% reported,edison,republican,FALSE,2020-12-05T21:28:35Z,TRUE,11.89081,52560,R+12,McClintock +12,republican,TRUE,"","",17,0,1604974326175,FALSE
