fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_buckk,results_mccorklei,results_griffithb,results_irelandl,results_absentee_buckk,results_absentee_mccorklei,results_absentee_griffithb,results_absentee_irelandl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
08001,Adams,4819,0,6,6,Other,100,4819,100%,100% reported,edison,10,all,3595,1021,132,71,0,0,0,0,2021-01-12T19:37:51Z,53.41357,R+53,Buck +53,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08005,Arapahoe,5074,0,6,6,Other,100,5074,100%,100% reported,edison,10,unknown,3885,1007,144,38,0,0,0,0,2021-01-26T18:19:44Z,56.72054,R+57,Buck +57,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08009,Baca,2165,0,9,9,Other,100,2165,100%,100% reported,edison,10,all,1823,276,41,25,0,0,0,0,2020-12-06T15:44:54Z,71.45497,R+71,Buck +71,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08011,Bent,2225,0,5,5,Other,100,2225,100%,100% reported,edison,10,unknown,1500,639,47,39,0,0,0,0,2020-11-24T13:22:37Z,38.69663,R+39,Buck +39,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08013,Boulder,56629,0,63,63,Other,100,56629,100%,100% reported,edison,10,some,19184,35540,1281,624,0,0,0,0,2021-01-12T19:31:39Z,28.88273,D+29,McCorkle +29,democrat,mccorklei,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08017,Cheyenne,1121,0,5,5,Other,100,1121,100%,100% reported,edison,10,some,989,100,18,14,0,0,0,0,2020-12-06T15:45:01Z,79.30419,R+79,Buck +79,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08025,Crowley,1714,0,6,6,Other,100,1714,100%,100% reported,edison,10,all,1255,385,41,33,0,0,0,0,2020-11-24T13:22:41Z,50.75846,R+51,Buck +51,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08035,Douglas,155228,0,114,114,Other,100,155228,100%,100% reported,edison,10,unknown,92469,57846,3717,1196,0,0,0,0,2021-01-26T18:20:55Z,22.30461,R+22,Buck +22,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08039,Elbert,18522,0,15,15,Other,100,18522,100%,100% reported,edison,10,unknown,14144,3807,430,141,0,0,0,0,2021-01-12T19:29:11Z,55.80931,R+56,Buck +56,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08061,Kiowa,881,0,4,4,Other,100,881,100%,100% reported,edison,10,unknown,787,77,13,4,0,0,0,0,2020-12-06T15:50:48Z,80.59024,R+81,Buck +81,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
