fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_dunnn,results_write_ins,results_absentee_dunnn,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12005,Bay,76997,0,44,44,Released as a precinct as first report of the night,88,87449,88%,88% reported,edison,4,unknown,82646,76997,0,0,0,2020-11-16T17:08:34Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12013,Calhoun,5662,4030,14,15,Released as a precinct as first report of the night,97,5812,97%,97% reported,edison,6,all,5416,5662,0,4030,0,2020-11-16T17:19:41Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12023,Columbia,23288,18993,17,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",96,24384,96%,96% reported,edison,4,some,28810,23288,0,18993,0,2020-11-16T17:08:59Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12029,Dixie,6997,4757,11,12,Released as a separate subtotal as first report of the night,97,7184,97%,97% reported,edison,6,some,5219,6997,0,4757,0,2020-11-16T17:19:28Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12037,Franklin,5217,3767,8,8,Released as a precinct as first report of the night,92,5660,92%,92% reported,edison,6,all,4651,5217,0,3767,0,2020-11-16T17:18:36Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12041,Gilchrist,8482,5180,10,10,Released as a precinct as first report of the night,100,8177,>98%,>98% reported,edison,2,some,5958,8482,0,5180,0,2020-11-16T17:19:15Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12045,Gulf,6804,0,10,10,Released as a precinct as first report of the night,96,7105,96%,96% reported,edison,6,all,7363,6804,0,0,0,2020-11-16T17:18:58Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12059,Holmes,3036,2142,3,3,Released as a precinct as first report of the night,100,3036,>98%,>98% reported,edison,6,some,6853,2965,71,2142,0,2020-11-16T15:55:10Z,95.32279,R+95,Dunn +95,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12063,Jackson,18232,13837,14,14,Released as a precinct as first report of the night,95,19152,95%,95% reported,edison,6,all,19451,18232,0,13837,0,2020-11-16T17:09:44Z,100,R+100,Dunn +100,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
12065,Jefferson,645,0,2,2,Released as a precinct as first report of the night,100,586,>98%,>98% reported,edison,6,all,6382,586,59,0,0,2020-11-16T15:47:56Z,81.70543,R+82,Dunn +82,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",304116,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,293,303,97% reporting,97%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T17:19:41Z,TRUE,99.8665,303710,R+100,Dunn +100,republican,"","",0,0,1604451716493
