fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_scotta,results_hollidayl,results_absentee_scotta,results_absentee_hollidayl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
13003,Atkinson,2905,2020,4,4,None,100,2905,100%,100% reported,edison,10,unknown,2338,2201,704,1522,498,2020-11-24T13:26:22Z,51.53184,R+52,Scott +52,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13017,Ben Hill,6393,5627,3,3,Other,100,6393,100%,100% reported,edison,10,all,5778,4168,2225,3718,1909,2020-12-04T23:25:02Z,30.39262,R+30,Scott +30,republican,scotta,0,0,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13019,Berrien,7496,5370,5,5,Released as a separate subtotal as first report of the night,100,7496,100%,100% reported,edison,10,unknown,4416,6349,1147,4531,839,2020-11-24T13:26:22Z,69.39701,R+69,Scott +69,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13021,Bibb,24590,19111,11,11,Released as a separate subtotal in the middle of the tabulation,100,24590,100%,100% reported,edison,10,unknown,38674,13588,11002,10122,8989,2020-12-04T23:26:39Z,10.51647,R+11,Scott +11,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13023,Bleckley,5588,4359,1,1,Merged into voters' home precincts and released with cumulative results,100,5588,100%,100% reported,edison,10,unknown,4032,4347,1241,3399,960,2020-12-04T23:27:40Z,55.58339,R+56,Scott +56,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13027,Brooks,6829,4943,7,7,Released as a precinct as first report of the night,100,6829,100%,100% reported,edison,10,all,5648,4227,2602,2828,2115,2020-12-04T23:28:24Z,23.79558,R+24,Scott +24,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13071,Colquitt,15623,10330,19,19,None,100,15623,100%,100% reported,edison,10,unknown,9626,11824,3799,7571,2759,2020-12-04T23:36:29Z,51.36657,R+51,Scott +51,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13075,Cook,6827,5203,8,8,Released as a separate subtotal as first report of the night,100,6827,100%,100% reported,edison,10,unknown,5070,4917,1910,3791,1412,2020-11-24T13:26:22Z,44.0457,R+44,Scott +44,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13091,Dodge,7790,4966,16,16,Released as a precinct as first report of the night,100,7790,100%,100% reported,edison,10,unknown,5826,5825,1965,3525,1441,2020-12-04T23:39:10Z,49.55071,R+50,Scott +50,republican,scotta,0,0,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13153,Houston,73432,55290,16,16,Other,100,73432,100%,100% reported,edison,10,some,53598,42880,30552,30878,24412,2020-12-04T23:39:03Z,16.78832,R+17,Scott +17,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
