fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_feenstrar,results_scholtenj,results_absentee_feenstrar,results_absentee_scholtenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
19009,Audubon,3113,1869,3,3,None,100,3113,>98%,>98% reported,edison,10,unknown,1979,1134,1065,804,2020-12-05T23:06:40Z,27.14423,R+27,Feenstra +27,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19015,Boone,14633,9096,13,13,None,100,14633,>98%,>98% reported,edison,10,unknown,8180,6453,4211,4885,2020-12-04T23:17:56Z,11.80209,R+12,Feenstra +12,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19021,Buena Vista,7714,4492,8,8,None,100,7714,>98%,>98% reported,edison,10,some,4698,3016,2384,2108,2020-12-04T23:19:38Z,21.80451,R+22,Feenstra +22,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19023,Butler,7570,3903,8,8,None,100,7570,>98%,>98% reported,edison,10,all,5157,2413,2320,1583,2020-12-05T23:39:19Z,36.24835,R+36,Feenstra +36,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19025,Calhoun,5043,2412,11,11,None,100,5043,>98%,>98% reported,edison,10,unknown,3473,1570,1423,989,2020-12-05T23:05:18Z,37.73547,R+38,Feenstra +38,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19027,Carroll,10573,5952,14,14,None,100,10573,>98%,>98% reported,edison,10,unknown,6768,3805,3270,2682,2020-12-05T23:04:57Z,28.02421,R+28,Feenstra +28,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19033,Cerro Gordo,22612,13385,27,27,None,100,22612,>98%,>98% reported,edison,10,unknown,11736,10876,5626,7759,2020-12-05T23:04:47Z,3.80329,R+4,Feenstra +4,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19035,Cherokee,6258,3883,7,7,None,100,6258,>98%,>98% reported,edison,10,unknown,4168,2090,2347,1536,2020-12-05T23:06:27Z,33.2055,R+33,Feenstra +33,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19037,Chickasaw,6346,4089,14,14,None,100,6346,>98%,>98% reported,edison,10,all,4254,2092,2406,1683,2020-12-05T22:56:33Z,34.0687,R+34,Feenstra +34,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
19041,Clay,8632,5474,12,12,None,100,8632,>98%,>98% reported,edison,10,unknown,5798,2834,3304,2170,2020-12-05T23:05:14Z,34.33735,R+34,Feenstra +34,republican,feenstrar,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",382130,216020,39,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,489,489,100% reporting,100%,100,382130,edison,>98%,>98% reported,edison,republican,FALSE,2020-12-05T23:42:27Z,FALSE,24.23468,92608,R+24,Feenstra +24,republican,TRUE,"","",6,-1,1604467247103
