fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bostm,results_lenzir,results_absentee_bostm,results_absentee_lenzir,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
17003,Alexander,2525,0,11,11,None,88,2879,88%,88% reported,edison,6,unknown,1150,1559,966,0,0,2020-12-16T21:34:06Z,23.48515,R+23,Bost +23,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17055,Franklin,18445,0,30,35,None,88,20981,88%,88% reported,edison,2,some,3605,13927,4518,0,0,2021-01-04T16:15:03Z,51.01111,R+51,Bost +51,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17077,Jackson,22490,0,46,56,Merged into voters' home precincts and released with cumulative results,82,27354,82%,82% reported,edison,2,unknown,6498,12238,10252,0,0,2021-01-04T16:16:29Z,8.83059,R+9,Bost +9,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17081,Jefferson,16632,0,29,33,Merged into voters' home precincts and released with cumulative results,87,19042,87%,87% reported,edison,4,all,4357,12449,4183,0,0,2021-01-04T16:16:48Z,49.69937,R+50,Bost +50,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17119,Madison,47921,0,83,83,None,90,53529,90%,90% reported,edison,2,some,57323,26528,21393,0,0,2021-01-04T16:22:01Z,10.71555,R+11,Bost +11,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17133,Monroe,20942,10327,36,37,Merged into voters' home precincts and released with cumulative results,97,21590,97%,97% reported,edison,4,some,9262,15164,5778,6527,3800,2021-01-04T16:23:24Z,44.81902,R+45,Bost +45,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17145,Perry,9868,0,24,27,Released as a precinct at the end of tabulation,89,11048,89%,89% reported,edison,2,some,2477,7607,2261,0,0,2021-01-04T16:24:10Z,54.17511,R+54,Bost +54,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17153,Pulaski,2590,0,9,11,None,85,3065,85%,85% reported,edison,2,unknown,1053,1787,803,0,0,2021-01-04T16:24:39Z,37.99228,R+38,Bost +38,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17157,Randolph,14692,0,34,37,None,92,15918,92%,92% reported,edison,2,unknown,4659,11356,3336,0,0,2021-01-04T16:24:48Z,54.58753,R+55,Bost +55,republican,bostm,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
17163,St. Clair,124405,0,170,190,None,92,135902,92%,92% reported,edison,2,unknown,32130,61723,62682,0,0,2021-01-04T16:25:09Z,0.77087,D+0.77,Lenzi +0.77,democrat,lenzir,IL-G-H-12-2020-11-03,il-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",322416,10327,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,550,605,91% reporting,91%,90,357000,edison,90%,90% reported,edison,republican,FALSE,2020-12-08T16:24:01Z,TRUE,20.86187,67262,R+21,Bost +21,republican,FALSE,"","",14,0,1609886186414,FALSE
