fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_davisr,results_londriganb,results_absentee_davisr,results_absentee_londriganb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
17005,Bond,2277,0,7,7,Released as a precinct at the end of tabulation,100,1692,100%,100% reported,edison,6,unknown,2398,1636,641,0,0,2021-01-04T15:02:08Z,43.69785,R+44,Davis +44,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17013,Calhoun,2691,0,7,7,Other,93,2891,93%,93% reported,edison,4,all,710,2032,659,0,0,2021-01-04T15:02:35Z,51.02192,R+51,Davis +51,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17019,Champaign,68586,51412,79,88,None,91,75550,91%,91% reported,edison,4,unknown,23782,22394,46192,14128,37284,2021-01-07T18:17:00Z,,–,–,"","",IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17021,Christian,16135,0,28,30,Merged into voters' home precincts and released with cumulative results,93,17341,93%,93% reported,edison,2,unknown,3022,12225,3910,0,0,2020-12-08T16:25:39Z,51.53393,R+52,Davis +52,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17039,DeWitt,7906,0,21,23,Merged into voters' home precincts AFTER election night,94,8451,94%,94% reported,edison,4,unknown,1771,5822,2084,0,0,2020-12-08T16:25:54Z,47.28055,R+47,Davis +47,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17061,Greene,5901,0,21,22,Merged into voters' home precincts and released with cumulative results,94,6275,94%,94% reported,edison,4,some,1365,4643,1258,0,0,2020-12-08T16:26:12Z,57.36316,R+57,Davis +57,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17083,Jersey,11686,0,24,25,Merged into voters' home precincts and released with cumulative results,95,12352,95%,95% reported,edison,4,some,2467,8764,2922,0,0,2021-01-07T18:21:45Z,49.99144,R+50,Davis +50,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17115,Macon,48904,0,65,72,Merged into voters' home precincts AFTER election night,100,48455,100%,100% reported,edison,6,unknown,14264,29888,19016,0,0,2021-01-04T16:21:33Z,22.23131,R+22,Davis +22,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17117,Macoupin,23627,0,57,61,Merged into voters' home precincts and released with cumulative results,94,25077,94%,94% reported,edison,4,unknown,3614,16363,7264,0,0,2021-01-07T18:27:19Z,38.51103,R+39,Davis +39,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
17119,Madison,55288,0,91,91,None,94,58770,94%,94% reported,edison,2,some,57323,31488,23800,0,0,2021-01-07T18:27:27Z,13.90537,R+14,Davis +14,republican,davisr,IL-G-H-13-2020-11-03,il-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,tossup,13,District 13,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333021,51412,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,564,597,94% reporting,94%,92,362000,edison,92%,92% reported,edison,republican,FALSE,2020-12-08T16:29:46Z,TRUE,8.92586,29725,R+9,Davis +9,republican,FALSE,"","",14,0,1604464096923,FALSE
