fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_millerm,results_weavere,results_absentee_millerm,results_absentee_weavere,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
17005,Bond,5665,0,17,18,Released as a precinct at the end of tabulation,100,4131,100%,100% reported,edison,6,unknown,2398,3900,1765,0,0,2021-01-04T15:02:07Z,37.68756,R+38,Miller +38,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17019,Champaign,25385,14620,29,30,None,99,25750,99%,99% reported,edison,4,unknown,23782,16970,8415,8568,6052,2021-01-04T15:03:09Z,33.701,R+34,Miller +34,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17023,Clark,8272,0,22,23,Released as a separate subtotal in the middle of the tabulation,94,8764,94%,94% reported,edison,4,some,2598,6289,1983,0,0,2021-01-04T15:03:19Z,52.05513,R+52,Miller +52,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17025,Clay,6495,0,20,22,Merged into voters' home precincts and released with cumulative results,92,7054,92%,92% reported,edison,4,some,965,5332,1163,0,0,2021-01-04T15:03:30Z,64.18784,R+64,Miller +64,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17027,Clinton,18681,0,23,40,Released as a precinct at the end of tabulation,96,19370,96%,96% reported,edison,4,unknown,3803,14173,4508,0,0,2021-01-04T15:03:38Z,51.73706,R+52,Miller +52,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17029,Coles,22380,0,37,44,None,92,24219,92%,92% reported,edison,4,unknown,6758,14133,8247,0,0,2020-12-08T16:58:31Z,26.30027,R+26,Miller +26,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17033,Crawford,9307,0,23,24,None,96,9700,96%,96% reported,edison,4,some,2307,7033,2274,0,0,2021-01-04T15:03:57Z,51.13356,R+51,Miller +51,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17035,Cumberland,5773,0,11,12,Released as a separate subtotal at the end of tabulation,93,6185,93%,93% reported,edison,2,unknown,741,4542,1231,0,0,2021-01-04T15:04:17Z,57.3532,R+57,Miller +57,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17041,Douglas,8637,0,16,17,Merged into voters' home precincts and released with cumulative results,95,9071,95%,95% reported,edison,2,unknown,1744,6412,2225,0,0,2021-01-04T15:04:46Z,48.47748,R+48,Miller +48,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17045,Edgar,8056,0,28,31,Merged into voters' home precincts and released with cumulative results,92,8753,92%,92% reported,edison,4,all,2528,6140,1916,0,0,2020-12-08T16:59:29Z,52.43297,R+52,Miller +52,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
