fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bustosc,results_kinge,results_absentee_bustosc,results_absentee_kinge,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
17015,Carroll,7982,0,22,22,Merged into voters' home precincts and released with cumulative results,100,7965,100%,100% reported,edison,6,unknown,1638,3300,4682,0,0,2021-01-26T19:13:22Z,17.31396,R+17,King +17,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17057,Fulton,16477,0,57,57,Merged into voters' home precincts and released with cumulative results,93,17678,93%,93% reported,edison,4,unknown,2166,7885,8592,0,0,2021-01-26T19:15:18Z,4.29083,R+4,King +4,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17071,Henderson,3590,0,13,13,Merged into voters' home precincts and released with cumulative results,91,3940,91%,91% reported,edison,2,unknown,675,1433,2157,0,0,2021-01-26T19:16:00Z,20.16713,R+20,King +20,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17073,Henry,25489,0,52,52,Merged into voters' home precincts and released with cumulative results,93,27458,93%,93% reported,edison,4,unknown,4688,10526,14963,0,0,2021-01-26T19:16:06Z,17.40751,R+17,King +17,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17085,JoDaviess,12390,5973,29,29,None,98,12655,98%,98% reported,edison,2,unknown,3006,5436,6954,3417,2556,2021-01-26T19:16:39Z,12.25182,R+12,King +12,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17095,Knox,22798,0,31,31,None,91,25094,91%,91% reported,edison,2,unknown,6554,11482,11316,0,0,2021-01-26T19:17:00Z,0.72813,D+0.73,Bustos +0.73,democrat,bustosc,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17131,Mercer,8741,3201,24,24,"As a subtotal in the FIRST cumulative report, along with regular precincts",92,9532,92%,92% reported,edison,4,unknown,1397,3765,4976,1751,1450,2021-01-26T19:09:13Z,13.85425,R+14,King +14,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17143,Peoria,29380,14452,62,62,Merged into voters' home precincts and released with cumulative results,100,28690,100%,100% reported,edison,6,unknown,31962,19890,9490,9719,4733,2021-01-26T19:09:58Z,35.39823,D+35,Bustos +35,democrat,bustosc,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17161,Rock Island,66345,0,120,120,None,93,71240,93%,93% reported,edison,2,unknown,46442,37651,28694,0,0,2021-01-26T19:17:40Z,13.50064,D+14,Bustos +14,democrat,bustosc,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
17177,Stephenson,21907,0,40,40,Merged into voters' home precincts and released with cumulative results,100,21308,100%,100% reported,edison,6,all,6222,9646,12261,0,0,2021-01-26T19:11:18Z,11.93682,R+12,King +12,republican,kinge,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",299874,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,596,596,100% reporting,100%,100,299874,edison,100%,100% reported,edison,democrat,FALSE,2021-01-26T19:47:09Z,TRUE,4.05103,12148,D+4,Bustos +4,democrat,FALSE,"","",14,0,1604589373570,FALSE
