fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lahoodd,results_petrillig,results_absentee_lahoodd,results_absentee_petrillig,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17001,Adams,33119,18806,68,74,Released as a separate subtotal at the end of tabulation,100,32619,100%,100% reported,edison,2,some,8885,26133,6986,13628,5178,2020-12-08T15:56:42Z,57.81274,R+58,LaHood +58,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17009,Brown,2487,0,13,14,None,100,2413,100%,100% reported,edison,4,some,594,2103,384,0,0,2021-01-04T15:02:21Z,69.11942,R+69,LaHood +69,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17017,Cass,5204,0,19,21,Other,100,5177,100%,100% reported,edison,4,some,1222,3903,1301,0,0,2021-01-04T15:02:45Z,50,R+50,LaHood +50,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17067,Hancock,9176,0,21,33,None,100,9188,100%,100% reported,edison,4,none,1187,7230,1946,0,0,2020-12-04T19:39:21Z,57.585,R+58,LaHood +58,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17107,Logan,13161,0,28,29,Merged into voters' home precincts and released with cumulative results,100,12988,100%,100% reported,edison,6,all,3994,10124,3037,0,0,2020-12-04T19:39:57Z,53.84849,R+54,LaHood +54,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17123,Marshall,6060,0,13,14,Merged into voters' home precincts and released with cumulative results,91,6628,91%,91% reported,edison,2,unknown,1712,4578,1482,0,0,2021-01-04T16:22:23Z,51.08911,R+51,LaHood +51,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17125,Mason,6669,2427,19,21,Merged into voters' home precincts and released with cumulative results,100,6659,100%,100% reported,edison,6,unknown,1229,5079,1590,1539,888,2020-12-04T19:42:21Z,52.31669,R+52,LaHood +52,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17109,McDonough,12059,0,26,31,Merged into voters' home precincts and released with cumulative results,91,13226,91%,91% reported,edison,2,unknown,4725,7934,4125,0,0,2020-12-08T15:43:19Z,31.58637,R+32,LaHood +32,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17113,McLean,62050,0,49,49,None,100,62264,100%,100% reported,edison,2,unknown,16888,38060,23990,0,0,2021-01-04T16:21:24Z,22.67526,R+23,LaHood +23,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
17129,Menard,6715,2971,13,14,Merged into voters' home precincts and released with cumulative results,93,7205,93%,93% reported,edison,4,some,2304,5203,1512,1993,978,2021-01-04T16:22:48Z,54.96649,R+55,LaHood +55,republican,lahoodd,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",371879,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,683,734,93% reporting,93%,96,389000,edison,96%,96% reported,edison,republican,FALSE,2020-12-04T19:47:57Z,TRUE,40.82,151801,R+41,LaHood +41,republican,FALSE,"","",14,0,1604460280482
