fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mannt,results_barnettk,results_absentee_mannt,results_absentee_barnettk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
20009,Barton,10900,2343,38,40,Merged into voters' home precincts and released with cumulative results,100,10651,100%,100% reported,edison,6,all,7606,8468,2432,1926,417,2021-01-07T14:14:51Z,55.37615,R+55,Mann +55,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20017,Chase,1470,0,11,11,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,1481,99%,99% reported,edison,2,unknown,946,1082,388,0,0,2021-01-07T14:15:07Z,47.21088,R+47,Mann +47,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20023,Cheyenne,1433,0,7,8,Other,96,1495,96%,96% reported,edison,2,unknown,1605,1197,236,0,0,2021-01-07T14:15:17Z,67.06211,R+67,Mann +67,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20025,Clark,1029,478,6,7,Merged into voters' home precincts and released with cumulative results,100,1031,100%,100% reported,edison,4,all,621,859,170,368,110,2021-01-07T14:15:31Z,66.95821,R+67,Mann +67,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20027,Clay,4101,0,21,22,Other,100,4052,100%,100% reported,edison,2,unknown,3531,3223,878,0,0,2021-01-07T14:15:53Z,57.18118,R+57,Mann +57,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20029,Cloud,4138,2172,24,26,Released separately AFTER election night,99,4172,99%,99% reported,edison,2,some,1701,3262,876,1517,655,2021-01-07T14:16:09Z,57.66071,R+58,Mann +58,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20039,Decatur,1487,1442,24,27,Other,96,1546,96%,96% reported,edison,2,some,824,1257,230,1223,219,2021-01-07T14:16:23Z,69.06523,R+69,Mann +69,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20041,Dickinson,9179,3810,34,34,Merged into voters' home precincts and released with cumulative results,100,8996,100%,100% reported,edison,6,all,3990,7065,2114,2519,1291,2021-01-07T14:16:35Z,53.93834,R+54,Mann +54,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20051,Ellis,13540,6397,35,35,"As a precinct in the FIRST cumulative report, along with regular precincts",100,13033,100%,100% reported,edison,6,all,6586,9693,3847,3917,2480,2021-01-07T14:17:00Z,43.17578,R+43,Mann +43,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
20053,Ellsworth,2822,0,23,25,Released as a separate subtotal as first report of the night,99,2846,99%,99% reported,edison,4,all,1286,2142,680,0,0,2021-01-07T14:17:10Z,51.80723,R+52,Mann +52,republican,mannt,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",292622,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,100,292622,edison,100%,100% reported,edison,republican,FALSE,2021-01-07T14:39:07Z,FALSE,42.31944,123836,R+42,Mann +42,republican,FALSE,"","",3,0,1604459955514,FALSE
