fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_estesr,results_lombardl,results_absentee_estesr,results_absentee_lombardl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
20007,Barber,2306,0,23,23,"As a subtotal in the FIRST cumulative report, along with regular precincts",93,2489,93%,93% reported,edison,4,unknown,1357,2020,286,0,0,2021-01-26T15:19:28Z,75.19514,R+75,Estes +75,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20015,Butler,32260,0,49,49,Merged into voters' home precincts and released with cumulative results,100,31461,100%,100% reported,edison,6,some,10166,23674,8586,0,0,2021-01-07T15:01:59Z,46.76999,R+47,Estes +47,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20019,Chautauqua,1607,0,14,14,Merged into voters' home precincts and released with cumulative results,98,1644,98%,98% reported,edison,2,unknown,742,1407,200,0,0,2021-01-07T15:02:09Z,75.1089,R+75,Estes +75,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20033,Comanche,914,169,5,5,Merged into voters' home precincts and released with cumulative results,95,962,95%,95% reported,edison,4,unknown,280,795,119,121,48,2021-01-07T15:02:23Z,73.96061,R+74,Estes +74,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20035,Cowley,14200,8475,61,61,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,14079,100%,100% reported,edison,4,all,6118,10118,4082,5491,2984,2021-01-26T15:20:25Z,42.50704,R+43,Estes +43,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20047,Edwards,1412,0,16,16,Merged into voters' home precincts and released with cumulative results,97,1461,97%,97% reported,edison,2,unknown,480,1187,225,0,0,2021-01-26T15:20:41Z,68.13031,R+68,Estes +68,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20049,Elk,1337,0,10,10,Other,96,1397,96%,96% reported,edison,2,unknown,570,1150,187,0,0,2021-01-26T15:27:54Z,72.02693,R+72,Estes +72,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20073,Greenwood,3050,723,18,18,"As a subtotal in the FIRST cumulative report, along with regular precincts",97,3137,97%,97% reported,edison,2,some,1446,2489,561,477,246,2021-01-26T15:21:07Z,63.21311,R+63,Estes +63,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20077,Harper,2633,0,15,15,Merged into voters' home precincts and released with cumulative results,92,2848,92%,92% reported,edison,4,all,773,2221,412,0,0,2021-01-26T15:21:18Z,68.7049,R+69,Estes +69,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
20079,Harvey,17123,9846,38,38,Merged into voters' home precincts and released with cumulative results,100,16478,100%,100% reported,edison,6,all,8738,10873,6250,5058,4788,2021-01-07T15:03:41Z,26.99877,R+27,Estes +27,republican,estesr,KS-G-H-4-2020-11-03,ks-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",319598,23179,5,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,626,626,100% reporting,100%,100,319598,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T15:27:54Z,TRUE,27.30493,87266,R+27,Estes +27,republican,FALSE,"","",3,0,1604460145981,FALSE
