fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_letlowl,results_harrisl,results_absentee_letlowl,results_absentee_harrisl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_source_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,winner_called_timestamp_race,race_rating_general_race,is_runoff_results_race
22009,Avoyelles,4783,1039,49,49,"",ap,2722,2061,615,424,2020-12-06T03:24:39.947Z,13.81978,R+14,Letlow +14,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22021,Caldwell,1395,484,19,19,"",ap,1056,339,352,132,2020-12-06T03:34:43.483Z,51.39785,R+51,Letlow +51,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22025,Catahoula,1030,294,25,25,"",ap,708,322,210,84,2020-12-06T03:17:37.557Z,37.47573,R+37,Letlow +37,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22029,Concordia,1666,467,20,20,"",ap,1243,423,339,128,2020-12-06T03:32:42.810Z,49.21969,R+49,Letlow +49,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22035,East Carroll,611,225,17,17,"",ap,438,173,160,65,2020-12-06T03:17:37.557Z,43.37152,R+43,Letlow +43,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22037,East Feliciana,1086,476,13,13,"",ap,597,489,256,220,2020-12-06T03:19:38.270Z,9.94475,R+10,Letlow +10,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22041,Franklin,2462,921,24,24,"",ap,1928,534,717,204,2020-12-06T03:17:37.557Z,56.62063,R+57,Letlow +57,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22043,Grant,2111,648,34,34,"",ap,1117,994,354,294,2020-12-06T03:17:37.557Z,5.82662,R+6,Letlow +6,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22049,Jackson,1742,571,31,31,"",ap,1180,562,365,206,2020-12-06T03:19:38.270Z,35.47646,R+35,Letlow +35,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22059,LaSalle,2253,627,24,24,"",ap,1629,624,453,174,2020-12-06T03:17:37.557Z,44.60719,R+45,Letlow +45,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
