fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_harrisa,results_masonm,results_absentee_harrisa,results_absentee_masonm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
24005,Baltimore,34000,0,20,20,Released separately AFTER election night,100,34000,100%,100% reported,edison,10,unknown,89978,20772,13228,0,0,2020-12-09T15:13:21Z,22.18824,R+22,Harris +22,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24011,Caroline,15420,0,8,8,Released as a precinct as first report of the night,100,15420,100%,100% reported,edison,10,unknown,3784,10691,4729,0,0,2020-12-08T01:49:51Z,38.66407,R+39,Harris +39,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24013,Carroll,37712,19869,14,14,Released separately AFTER election night,100,37712,100%,100% reported,edison,10,unknown,16653,27258,10454,13116,6753,2020-12-09T15:13:25Z,44.55876,R+45,Harris +45,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24015,Cecil,45960,0,28,28,Other,100,45960,100%,100% reported,edison,10,unknown,9424,29918,16042,0,0,2020-12-09T15:13:31Z,30.19147,R+30,Harris +30,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24019,Dorchester,15669,0,39,39,Other,100,15669,100%,100% reported,edison,10,unknown,3944,9294,6375,0,0,2020-12-09T15:13:37Z,18.62914,R+19,Harris +19,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24025,Harford,97751,46711,58,58,Released as a separate subtotal as first report of the night,100,97751,100%,100% reported,edison,10,unknown,26224,65514,32237,36202,10509,2020-12-09T15:27:53Z,34.04262,R+34,Harris +34,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24029,Kent,10502,0,11,11,None,100,10502,100%,100% reported,edison,10,unknown,3816,5396,5106,0,0,2020-12-09T16:02:33Z,2.76138,R+3,Harris +3,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24035,Queen Anne's,29521,0,12,12,Other,100,29521,100%,100% reported,edison,10,unknown,6419,19707,9814,0,0,2020-12-08T01:51:47Z,33.51174,R+34,Harris +34,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24039,Somerset,9933,0,23,23,None,100,9933,100%,100% reported,edison,10,unknown,2648,6038,3895,0,0,2020-12-09T16:22:10Z,21.57455,R+22,Harris +22,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24041,Talbot,22144,0,12,12,Released as a separate subtotal as first report of the night,100,22144,100%,100% reported,edison,10,unknown,9517,11838,10306,0,0,2020-12-08T01:52:07Z,6.91835,R+7,Harris +7,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24045,Wicomico,45276,0,54,54,Released as a precinct as first report of the night,100,45276,100%,100% reported,edison,10,unknown,10264,24724,20552,0,0,2020-12-09T16:21:58Z,9.21459,R+9,Harris +9,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
24047,Worcester,30890,0,16,16,Released as a precinct as first report of the night,100,30890,100%,100% reported,edison,10,unknown,4518,19751,11139,0,0,2020-12-08T01:52:36Z,27.87957,R+28,Harris +28,republican,harrisa,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",394778,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,295,295,100% reporting,100%,100,394778,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T16:22:14Z,TRUE,27.10992,107024,R+27,Harris +27,republican,TRUE,"","",10,0,1609886186415,FALSE
