fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_moolenaarj,results_hilliardj,results_cannyd,results_slepra,results_absentee_moolenaarj,results_absentee_hilliardj,results_absentee_cannyd,results_absentee_slepra,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
26035,Clare,15895,0,20,20,Merged into voters' home precincts and released with cumulative results,100,15895,100%,100% reported,edison,10,unknown,2290,10958,4534,204,199,0,0,0,0,2020-11-30T03:07:41Z,40.41522,R+40,Moolenaar +40,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26037,Clinton,46332,4380,34,34,Merged into voters' home precincts and released with cumulative results,100,46332,100%,100% reported,edison,10,unknown,9045,26291,18749,703,589,1802,2479,54,45,2020-11-30T03:08:09Z,16.27817,R+16,Moolenaar +16,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26051,Gladwin,14226,0,18,18,Merged into voters' home precincts and released with cumulative results,100,14226,100%,100% reported,edison,10,some,1923,10177,3771,137,141,0,0,0,0,2020-11-30T03:10:13Z,45.03023,R+45,Moolenaar +45,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26057,Gratiot,18696,0,21,21,Merged into voters' home precincts and released with cumulative results,100,18696,100%,100% reported,edison,10,unknown,1790,12617,5561,264,254,0,0,0,0,2020-11-30T04:05:35Z,37.74069,R+38,Moolenaar +38,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26073,Isabella,28679,0,30,30,None,100,28679,100%,100% reported,edison,10,unknown,3200,15714,12074,417,474,0,0,0,0,2020-11-30T03:13:32Z,12.69221,R+13,Moolenaar +13,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26107,Mecosta,20573,0,20,20,Merged into voters' home precincts and released with cumulative results,100,20573,100%,100% reported,edison,10,all,3522,13527,6408,359,279,0,0,0,0,2020-11-30T03:18:57Z,34.60361,R+35,Moolenaar +35,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26111,Midland,48155,0,50,50,Merged into voters' home precincts and released with cumulative results,100,48155,100%,100% reported,edison,10,unknown,5342,30533,16600,635,387,0,0,0,0,2020-11-30T03:19:26Z,28.93365,R+29,Moolenaar +29,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26113,Missaukee,8609,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8609,100%,100% reported,edison,10,all,1148,6763,1675,101,70,0,0,0,0,2020-11-30T03:19:39Z,59.10094,R+59,Moolenaar +59,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26117,Montcalm,28589,0,27,27,Merged into voters' home precincts and released with cumulative results,100,28589,100%,100% reported,edison,10,none,4913,19949,7686,505,449,0,0,0,0,2020-11-30T03:20:09Z,42.89412,R+43,Moolenaar +43,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
26129,Ogemaw,11526,0,17,17,Other,100,11526,100%,100% reported,edison,10,all,1680,8272,2977,156,121,0,0,0,0,2020-11-30T03:22:01Z,45.93961,R+46,Moolenaar +46,republican,moolenaarj,MI-G-H-4-2020-11-03,mi-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",373245,4380,1,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,377,100% reporting,100%,100,373245,edison,100%,100% reported,edison,republican,FALSE,2020-11-30T04:15:42Z,TRUE,32.63781,121819,R+33,Moolenaar +33,republican,TRUE,"","",0,-1,1609886186415,FALSE
