fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_longb,results_montsenyt,results_craigk,results_absentee_longb,results_absentee_montsenyt,results_absentee_craigk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29009,Barry,15297,0,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",95,16066,95%,95% reported,edison,2,unknown,2301,12016,2701,580,0,0,0,2020-11-24T13:22:31Z,60.89429,R+61,Long +61,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29043,Christian,45785,0,26,26,Released as a precinct as first report of the night,100,45543,100%,100% reported,edison,2,unknown,6005,33228,10444,2113,0,0,0,2020-12-09T13:46:11Z,49.76302,R+50,Long +50,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29077,Greene,138561,28619,76,78,Released separately AFTER election night,100,134513,100%,100% reported,edison,6,all,15946,81048,50881,6632,14089,13576,954,2020-12-09T14:16:51Z,21.77164,R+22,Long +22,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29097,Jasper,51310,0,48,48,None,97,53021,97%,97% reported,edison,4,all,7618,36897,12424,1989,0,0,0,2020-12-10T12:30:12Z,47.69636,R+48,Long +48,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29109,Lawrence,17363,2785,19,20,Released as a precinct as first report of the night,100,17358,100%,100% reported,edison,6,all,2240,13291,3210,862,1845,820,120,2020-12-09T14:36:16Z,58.06024,R+58,Long +58,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29119,McDonald,8878,1678,19,19,Released as a precinct as first report of the night,98,9057,98%,98% reported,edison,6,all,1387,7240,1375,263,1236,408,34,2020-12-09T16:54:20Z,66.06218,R+66,Long +66,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29145,Newton,27927,6090,23,24,Released as a precinct as first report of the night,96,29167,96%,96% reported,edison,4,all,4181,21625,5408,894,4082,1874,134,2020-12-09T14:37:19Z,58.06925,R+58,Long +58,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29167,Polk,14849,0,23,23,Released separately AFTER election night,98,15084,98%,98% reported,edison,2,unknown,2693,11479,2767,603,0,0,0,2020-12-09T14:38:28Z,58.67062,R+59,Long +59,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29209,Stone,17971,0,22,22,Released as a precinct as first report of the night,99,18204,99%,99% reported,edison,2,some,2683,14264,3140,567,0,0,0,2020-12-09T14:41:00Z,61.89973,R+62,Long +62,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
29213,Taney,25591,5705,21,21,Released as a precinct as first report of the night,100,25505,100%,100% reported,edison,6,all,4126,19902,4870,819,3896,1685,124,2020-12-09T14:41:08Z,58.7394,R+59,Long +59,republican,longb,MO-G-H-7-2020-11-03,mo-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",368002,44877,5,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,296,301,98% reporting,98%,100,369283,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:30:12Z,TRUE,42.44732,156207,R+42,Long +42,republican,FALSE,"","",0,0,1604462658529
