fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smithj,results_ellisk,results_schmitzt,results_absentee_smithj,results_absentee_ellisk,results_absentee_schmitzt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
29017,Bollinger,5884,0,9,9,Released as a precinct as first report of the night,100,5884,100%,100% reported,edison,10,unknown,626,5020,791,73,0,0,0,2020-12-10T12:37:52Z,71.87288,R+72,Smith +72,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29023,Butler,17815,0,26,26,Released as a precinct as first report of the night,100,17815,100%,100% reported,edison,10,none,2331,14372,3154,289,0,0,0,2020-12-10T12:28:43Z,62.96941,R+63,Smith +63,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29031,Cape Girardeau,39803,0,36,36,Released as a precinct as first report of the night,100,39803,100%,100% reported,edison,10,unknown,4680,29028,10036,739,0,0,0,2020-12-10T12:34:34Z,47.715,R+48,Smith +48,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29035,Carter,2805,524,6,6,None,100,2805,100%,100% reported,edison,10,all,512,2378,392,35,386,131,7,2020-12-10T12:36:07Z,70.80214,R+71,Smith +71,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29055,Crawford,10843,0,9,9,Released separately AFTER election night,100,10843,100%,100% reported,edison,10,unknown,1146,8620,2052,171,0,0,0,2020-11-24T13:23:10Z,60.57364,R+61,Smith +61,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29065,Dent,7080,0,9,9,Released as a precinct as first report of the night,100,7080,100%,100% reported,edison,10,unknown,35,5884,1042,154,0,0,0,2020-11-24T13:22:47Z,68.38983,R+68,Smith +68,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29067,Douglas,6839,0,14,14,Released as a precinct as first report of the night,100,6839,100%,100% reported,edison,10,all,1341,5771,941,127,0,0,0,2020-12-10T12:29:25Z,70.62436,R+71,Smith +71,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29069,Dunklin,10181,0,22,22,Released separately at end; NOT included in cumulative results,100,10181,100%,100% reported,edison,10,unknown,1130,7978,2074,129,0,0,0,2020-12-10T12:29:35Z,57.99037,R+58,Smith +58,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29091,Howell,18273,0,21,21,Released as a precinct as first report of the night,100,18273,100%,100% reported,edison,10,unknown,2469,14937,3027,309,0,0,0,2020-12-10T12:30:03Z,65.17813,R+65,Smith +65,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29093,Iron,4425,0,10,10,Released as a precinct as first report of the night,100,4425,100%,100% reported,edison,10,unknown,458,3358,985,82,0,0,0,2020-12-10T12:37:45Z,53.62712,R+54,Smith +54,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
