fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_palazzos,results_write_ins,results_absentee_palazzos,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
28023,Clarke,840,98,3,3,None,100,830,100%,100% reported,edison,10,some,708,831,9,96,2,2020-12-16T20:16:19Z,97.85714,R+98,Palazzo +98,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28035,Forrest,25293,0,34,34,None,100,25293,100%,100% reported,edison,10,unknown,1294,23635,1658,0,0,2020-11-24T13:24:09Z,86.88965,R+87,Palazzo +87,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28039,George,10086,0,22,22,Released as a separate subtotal at the end of tabulation,100,10086,100%,100% reported,edison,10,unknown,208,9944,142,0,0,2020-11-24T13:24:09Z,97.18422,R+97,Palazzo +97,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28041,Greene,5097,0,13,13,Released as a precinct at the end of tabulation,100,5096,100%,100% reported,edison,10,unknown,700,5036,61,0,0,2020-12-16T20:17:07Z,97.60644,R+98,Palazzo +98,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28045,Hancock,17196,0,25,25,None,100,17196,100%,100% reported,edison,10,unknown,860,17196,0,0,0,2020-11-24T13:24:10Z,100,R+100,Palazzo +100,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28047,Harrison,60650,0,53,53,None,100,60650,100%,100% reported,edison,10,unknown,2776,57126,3524,0,0,2020-12-16T20:57:52Z,88.37923,R+88,Palazzo +88,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28059,Jackson,43763,0,32,32,None,100,43763,100%,100% reported,edison,10,unknown,1386,42158,1605,0,0,2020-11-24T13:24:10Z,92.66504,R+93,Palazzo +93,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28067,Jones,25291,0,37,37,None,100,25291,100%,100% reported,edison,10,some,1822,25291,0,0,0,2021-02-23T15:46:02Z,100,R+100,Palazzo +100,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28073,Lamar,24821,0,23,23,Released as a separate subtotal at the end of tabulation,100,24821,100%,100% reported,edison,10,unknown,946,24080,741,0,0,2020-12-16T21:00:40Z,94.02925,R+94,Palazzo +94,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
28091,Marion,9991,0,22,22,None,100,9991,100%,100% reported,edison,10,unknown,980,9834,157,0,0,2020-11-24T13:22:32Z,96.85717,R+97,Palazzo +97,republican,palazzos,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",264641,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,342,100% reporting,100%,100,264641,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T16:20:34Z,TRUE,93.44773,247301,R+93,Palazzo +93,republican,TRUE,"","",7,0,1604451743702,FALSE
