fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smitha,results_elworthm,results_hobbsd,results_absentee_smitha,results_absentee_elworthm,results_absentee_hobbsd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
31001,Adams,14181,6530,29,29,Released as a precinct as first report of the night,100,14181,100%,100% reported,edison,10,unknown,4675,10450,3126,605,4107,2160,263,2020-12-06T04:17:48Z,51.64657,R+52,Smith +52,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31003,Antelope,3450,0,14,14,Other,100,3450,100%,100% reported,edison,10,unknown,934,2990,358,102,0,0,0,2020-12-06T04:23:10Z,76.28986,R+76,Smith +76,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31005,Arthur,283,0,1,1,Merged into voters' home precincts and released with cumulative results,100,283,100%,100% reported,edison,10,unknown,66,261,14,8,0,0,0,2020-11-24T13:22:34Z,87.27915,R+87,Smith +87,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31007,Banner,403,0,1,1,Released as a separate subtotal at the end of tabulation,100,403,100%,100% reported,edison,10,unknown,205,342,45,16,0,0,0,2020-11-24T13:22:34Z,73.69727,R+74,Smith +74,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31009,Blaine,305,0,1,1,Released as a separate subtotal at the end of tabulation,100,305,100%,100% reported,edison,10,all,230,265,23,17,0,0,0,2020-12-06T04:36:21Z,79.34426,R+79,Smith +79,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31011,Boone,3074,0,9,9,Released as a precinct as first report of the night,100,3074,100%,100% reported,edison,10,unknown,1536,2622,354,98,0,0,0,2020-12-06T04:25:01Z,73.78009,R+74,Smith +74,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31013,Box Butte,5105,0,10,10,Released as a precinct at the end of tabulation,100,5105,100%,100% reported,edison,10,unknown,2298,3964,894,247,0,0,0,2020-12-06T04:18:52Z,60.13712,R+60,Smith +60,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31015,Boyd,1095,0,4,4,Released as a precinct as first report of the night,100,1095,100%,100% reported,edison,10,unknown,379,966,89,40,0,0,0,2020-12-06T04:26:28Z,80.09132,R+80,Smith +80,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31017,Brown,1639,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1639,100%,100% reported,edison,10,unknown,589,1461,129,49,0,0,0,2020-11-24T13:22:41Z,81.26907,R+81,Smith +81,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
31019,Buffalo,23149,9458,29,29,Released as a separate subtotal as first report of the night,100,23149,100%,100% reported,edison,10,all,5402,17477,4673,999,6179,2925,354,2020-11-25T03:25:22Z,55.31124,R+55,Smith +55,republican,smitha,NE-G-H-3-2020-11-03,ne-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",286770,35071,6,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,703,703,100% reporting,100%,100,286770,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T04:42:17Z,TRUE,60.83865,174467,R+61,Smith +61,republican,TRUE,"","",0,0,1604458227678
