fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_reedt,results_mitranot,results_kolsteea,results_write_ins,results_absentee_reedt,results_absentee_mitranot,results_absentee_kolsteea,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36003,Allegany,20292,0,34,34,Merged into voters' home precincts AFTER election night,100,20292,100%,100% reported,edison,10,all,14434,5623,230,5,0,0,0,0,2020-12-04T16:32:25Z,43.42105,R+43,Reed +43,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36009,Cattaraugus,33762,0,51,51,Merged into voters' home precincts AFTER election night,100,33762,100%,100% reported,edison,10,all,22182,11157,420,3,0,0,0,0,2020-12-04T16:32:57Z,32.65506,R+33,Reed +33,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36013,Chautauqua,57945,0,55,55,Merged into voters' home precincts AFTER election night,100,57945,100%,100% reported,edison,10,all,35753,21334,835,23,0,0,0,0,2020-12-04T16:33:33Z,24.88394,R+25,Reed +25,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36015,Chemung,38715,0,89,89,Merged into voters' home precincts AFTER election night,100,38715,100%,100% reported,edison,10,all,23394,14812,509,0,0,0,0,0,2020-12-04T16:34:08Z,22.16712,R+22,Reed +22,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36069,Ontario,19637,0,33,33,Merged into voters' home precincts AFTER election night,100,19637,100%,100% reported,edison,10,all,10668,8775,190,4,0,0,0,0,2020-12-04T16:42:31Z,9.63997,R+10,Reed +10,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36097,Schuyler,9598,0,19,19,Merged into voters' home precincts AFTER election night,100,9598,100%,100% reported,edison,10,all,5869,3597,125,7,0,0,0,0,2020-12-04T16:35:05Z,23.6716,R+24,Reed +24,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36099,Seneca,14948,0,27,27,Merged into voters' home precincts AFTER election night,100,14948,100%,100% reported,edison,10,all,8495,6334,116,3,0,0,0,0,2020-12-04T16:35:23Z,14.45678,R+14,Reed +14,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36101,Steuben,45338,0,85,85,Merged into voters' home precincts AFTER election night,100,45338,100%,100% reported,edison,10,all,30505,14456,367,10,0,0,0,0,2020-12-04T16:35:39Z,35.39856,R+35,Reed +35,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36107,Tioga,18366,2999,31,31,Merged into voters' home precincts AFTER election night,100,18366,100%,100% reported,edison,10,all,11525,6538,296,7,1122,1835,41,1,2020-12-04T16:35:55Z,27.15344,R+27,Reed +27,republican,reedt,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
36109,Tompkins,44807,0,63,63,Merged into voters' home precincts AFTER election night,100,44807,100%,100% reported,edison,10,all,11816,32445,493,53,0,0,0,0,2020-12-04T16:36:11Z,46.03968,D+46,Mitrano +46,democrat,mitranot,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",313842,2999,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,505,505,100% reporting,100%,100,313842,edison,100%,100% reported,edison,republican,FALSE,2020-12-04T16:52:53Z,TRUE,16.5835,52046,R+17,Reed +17,republican,TRUE,"","",7,0,1604469559147
