fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kellerf,results_griffinl,results_absentee_kellerf,results_absentee_griffinl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42015,Bradford,29499,0,61,61,None,100,29499,100%,100% reported,edison,10,unknown,2080,22220,7279,0,0,2020-12-08T22:34:20Z,50.64917,R+51,Keller +51,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42027,Centre,41489,0,42,42,Merged into voters' home precincts and released with cumulative results,100,41489,100%,100% reported,edison,10,unknown,6518,17532,23957,0,0,2020-12-08T22:34:25Z,15.48603,D+15,Griffin +15,democrat,griffinl,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42035,Clinton,17341,0,34,34,Released with cumulative results periodically election night,100,17341,100%,100% reported,edison,10,unknown,925,12045,5296,0,0,2020-12-08T22:34:30Z,38.91932,R+39,Keller +39,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42067,Juniata,11869,0,18,18,Merged into voters' home precincts and released with cumulative results,100,11869,100%,100% reported,edison,10,none,670,9765,2104,0,0,2020-11-24T13:22:22Z,64.5463,R+65,Keller +65,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42081,Lycoming,58516,0,81,81,Merged into voters' home precincts and released with cumulative results,100,58516,100%,100% reported,edison,10,some,3546,42892,15624,0,0,2020-11-24T13:22:23Z,46.59922,R+47,Keller +47,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42087,Mifflin,21139,0,26,26,Merged into voters' home precincts and released with cumulative results,100,21139,100%,100% reported,edison,10,unknown,1134,16826,4313,0,0,2020-12-08T22:34:42Z,59.19391,R+59,Keller +59,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42097,Northumberland,28036,0,49,49,None,100,28070,100%,100% reported,edison,10,some,2466,20784,7252,0,0,2020-12-08T22:13:58Z,48.26651,R+48,Keller +48,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42099,Perry,24295,635,31,31,Merged into voters' home precincts and released with cumulative results,100,24295,100%,100% reported,edison,10,some,1426,19040,5255,295,340,2020-11-24T13:22:27Z,56.74007,R+57,Keller +57,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42105,Potter,8944,0,30,30,Merged into voters' home precincts and released with cumulative results,100,8944,100%,100% reported,edison,10,unknown,790,7295,1649,0,0,2020-11-24T13:22:29Z,63.12612,R+63,Keller +63,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
42109,Snyder,18991,0,25,25,Merged into voters' home precincts and released with cumulative results,100,18991,100%,100% reported,edison,10,some,1165,14857,4134,0,0,2020-11-24T13:22:31Z,56.46359,R+56,Keller +56,republican,kellerf,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",340234,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,549,100% reporting,100%,100,340234,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T22:37:03Z,TRUE,41.68778,141836,R+42,Keller +42,republican,TRUE,"","",3,0,1604461859233
