fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_joycej,results_rowleyt,results_absentee_joycej,results_absentee_rowleyt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
42001,Adams,55678,0,50,50,Merged into voters' home precincts and released with cumulative results,100,55769,100%,100% reported,edison,10,some,3456,38329,17349,0,0,2020-12-08T22:15:45Z,37.68095,R+38,Joyce +38,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42009,Bedford,27336,5319,40,40,Merged into voters' home precincts and released with cumulative results,100,27336,100%,100% reported,edison,10,unknown,2106,23102,4234,3074,2245,2020-11-24T13:22:41Z,69.02253,R+69,Joyce +69,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42013,Blair,63187,0,92,93,Merged into voters' home precincts and released with cumulative results,100,63187,100%,100% reported,edison,10,some,4155,46944,16243,0,0,2020-11-24T13:22:42Z,48.58753,R+49,Joyce +49,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42021,Cambria,22702,0,41,41,Merged into voters' home precincts AFTER election night,100,22718,100%,100% reported,edison,10,unknown,4526,13650,9052,0,0,2020-12-09T14:18:22Z,20.25372,R+20,Joyce +20,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42041,Cumberland,22881,0,20,20,Merged into voters' home precincts and released with cumulative results,100,22881,100%,100% reported,edison,10,unknown,10347,16426,6455,0,0,2020-12-09T14:14:07Z,43.57764,R+44,Joyce +44,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42055,Franklin,79482,0,73,73,Merged into voters' home precincts and released with cumulative results,100,79590,100%,100% reported,edison,10,unknown,4866,58229,21253,0,0,2020-12-09T14:14:10Z,46.52122,R+47,Joyce +47,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42057,Fulton,7838,0,13,13,Merged into voters' home precincts and released with cumulative results,100,7838,100%,100% reported,edison,10,unknown,456,6783,1055,0,0,2020-11-25T00:25:20Z,73.07987,R+73,Joyce +73,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42061,Huntingdon,22380,0,58,58,Merged into voters' home precincts and released with cumulative results,100,22383,100%,100% reported,edison,10,unknown,1354,17154,5226,0,0,2020-12-09T14:14:14Z,53.29759,R+53,Joyce +53,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42111,Somerset,40273,0,50,50,Merged into voters' home precincts and released with cumulative results,100,40273,100%,100% reported,edison,10,unknown,3224,31430,8843,0,0,2020-12-09T14:14:20Z,56.08472,R+56,Joyce +56,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
42129,Westmoreland,22644,5240,34,34,Merged into voters' home precincts and released with cumulative results,100,22657,100%,100% reported,edison,10,unknown,13342,15742,6902,1952,3288,2020-12-09T14:14:45Z,39.03904,R+39,Joyce +39,republican,joycej,PA-G-H-13-2020-11-03,pa-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",364401,10559,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,471,472,99% reporting,99%,100,364401,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:14:23Z,TRUE,46.9749,171177,R+47,Joyce +47,republican,TRUE,"","",3,0,1609886186417,FALSE
