fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsong,results_williamsr,results_absentee_thompsong,results_absentee_williamsr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42005,Armstrong,35563,0,60,62,Merged into voters' home precincts AFTER election night,100,35563,100%,100% reported,edison,10,unknown,2059,26934,8629,0,0,2020-11-28T04:52:07Z,51.47204,R+51,Thompson +51,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42019,Butler,20547,0,17,17,Released as a separate subtotal at the end of tabulation,100,20547,100%,100% reported,edison,10,none,7869,15652,4895,0,0,2020-12-02T12:00:58Z,52.35314,R+52,Thompson +52,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42021,Cambria,47079,0,81,84,Merged into voters' home precincts AFTER election night,100,47093,100%,100% reported,edison,10,unknown,4526,33817,13262,0,0,2020-12-08T22:19:35Z,43.66066,R+44,Thompson +44,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42023,Cameron,2417,0,10,10,Merged into voters' home precincts AFTER election night,100,2417,100%,100% reported,edison,10,none,235,1861,556,0,0,2020-11-24T13:23:07Z,53.99255,R+54,Thompson +54,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42027,Centre,35084,0,47,48,Merged into voters' home precincts and released with cumulative results,100,35086,100%,100% reported,edison,10,unknown,6518,22053,13031,0,0,2020-12-08T22:19:56Z,25.71543,R+26,Thompson +26,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42031,Clarion,19312,0,39,41,Merged into voters' home precincts and released with cumulative results,100,19312,100%,100% reported,edison,10,some,1514,15061,4251,0,0,2020-11-28T04:52:40Z,55.97556,R+56,Thompson +56,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42033,Clearfield,38987,0,69,70,Merged into voters' home precincts and released with cumulative results,100,38987,100%,100% reported,edison,10,some,2733,30028,8959,0,0,2020-11-24T13:23:09Z,54.04109,R+54,Thompson +54,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42047,Elk,16750,0,29,29,None,100,16750,100%,100% reported,edison,10,all,1149,12595,4155,0,0,2020-11-24T13:23:09Z,50.38806,R+50,Thompson +50,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42053,Forest,2618,0,8,9,Merged into voters' home precincts and released with cumulative results,100,2618,100%,100% reported,edison,10,all,302,1934,684,0,0,2020-11-24T13:23:10Z,47.74637,R+48,Thompson +48,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
42063,Indiana,40499,0,64,69,None,100,40499,100%,100% reported,edison,10,unknown,2701,28053,12446,0,0,2020-11-28T04:53:20Z,38.53675,R+39,Thompson +39,republican,thompsong,PA-G-H-15-2020-11-03,pa-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",347206,5747,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,577,595,97% reporting,97%,97,359000,edison,97%,97% reported,edison,republican,FALSE,2020-12-08T22:19:57Z,TRUE,46.91854,162904,R+47,Thompson +47,republican,FALSE,"","",3,0,1604462105199
