fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_desjarlaiss,results_halec,results_absentee_desjarlaiss,results_absentee_halec,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
47003,Bedford,17765,0,11,11,Released as a separate subtotal as first report of the night,100,17797,100%,100% reported,edison,2,all,10626,13258,4507,0,0,2020-12-16T15:14:55Z,49.25978,R+49,DesJarlais +49,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47007,Bledsoe,5445,0,12,12,None,100,5396,100%,100% reported,edison,2,unknown,1711,4319,1126,0,0,2020-12-03T03:09:23Z,58.64096,R+59,DesJarlais +59,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47011,Bradley,31337,24487,12,12,Released as a separate subtotal as first report of the night,100,31329,100%,100% reported,edison,6,all,30918,23081,8256,17971,6516,2020-12-16T15:17:11Z,47.30829,R+47,DesJarlais +47,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47051,Franklin,18122,10163,17,18,Released as a separate subtotal as first report of the night,100,18113,100%,100% reported,edison,6,all,10688,13127,4995,7233,2930,2020-12-16T15:32:11Z,44.87363,R+45,DesJarlais +45,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47061,Grundy,5318,0,10,10,Released as a precinct as first report of the night,96,5523,96%,96% reported,edison,2,all,2619,4375,943,0,0,2020-12-16T16:27:53Z,64.53554,R+65,DesJarlais +65,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47103,Lincoln,15066,0,19,20,Released as a separate subtotal as first report of the night,98,15428,98%,98% reported,edison,2,all,7444,12084,2982,0,0,2020-12-16T17:50:07Z,60.41418,R+60,DesJarlais +60,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47115,Marion,12831,0,17,17,Merged into voters' home precincts and released with cumulative results,100,12588,100%,100% reported,edison,2,all,6153,9437,3394,0,0,2020-12-16T17:53:16Z,47.09687,R+47,DesJarlais +47,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47117,Marshall,13675,0,9,9,Released as a separate subtotal as first report of the night,100,13253,100%,100% reported,edison,2,all,8159,9872,3803,0,0,2020-12-16T17:53:44Z,44.38026,R+44,DesJarlais +44,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47119,Maury,34497,21128,15,15,Released as a separate subtotal as first report of the night,100,34430,100%,100% reported,edison,6,all,27483,23292,11205,14381,6747,2020-12-16T18:10:15Z,35.03783,R+35,DesJarlais +35,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
47121,Meigs,5014,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5007,100%,100% reported,edison,2,all,3052,3889,1125,0,0,2020-12-16T18:09:54Z,55.12565,R+55,DesJarlais +55,republican,desjarlaiss,TN-G-H-4-2020-11-03,tn-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",335710,170304,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,206,210,98% reporting,98%,100,321000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:35:36Z,TRUE,33.33055,111894,R+33,DesJarlais +33,republican,FALSE,"","",0,0,1604455997828,FALSE
