fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rosej,results_finleyc,results_mondayc,results_absentee_rosej,results_absentee_finleyc,results_absentee_mondayc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
47015,Cannon,5951,2372,9,9,Released as a precinct as first report of the night,100,5951,100%,100% reported,edison,10,unknown,2997,4702,1111,138,1848,452,72,2020-12-03T03:11:47Z,60.3428,R+60,Rose +60,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47021,Cheatham,5223,4379,2,2,Released as a separate subtotal as first report of the night,100,5223,100%,100% reported,edison,10,all,12907,3998,1107,118,3334,966,79,2021-03-06T23:03:31Z,55.35133,R+55,Rose +55,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47027,Clay,3060,0,7,7,Released as a separate subtotal as first report of the night,100,3060,100%,100% reported,edison,10,unknown,1984,2415,585,60,0,0,0,2021-03-06T23:03:52Z,59.80392,R+60,Rose +60,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47031,Coffee,23091,16330,23,23,Released as a separate subtotal as first report of the night,100,23091,100%,100% reported,edison,10,all,13744,17317,5246,528,11905,4120,305,2020-12-16T15:24:04Z,52.27578,R+52,Rose +52,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47035,Cumberland,29463,21132,24,24,Released as a separate subtotal as first report of the night,100,29463,100%,100% reported,edison,10,all,21382,23060,5862,541,16002,4814,316,2021-03-06T23:04:01Z,58.37152,R+58,Rose +58,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47041,DeKalb,7552,0,15,15,Released as a precinct as first report of the night,100,7552,100%,100% reported,edison,10,all,4360,5806,1586,160,0,0,0,2021-03-06T23:04:07Z,55.87924,R+56,Rose +56,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47049,Fentress,7786,0,13,13,Other,100,7786,100%,100% reported,edison,10,all,6047,6653,998,135,0,0,0,2021-03-06T23:04:11Z,72.63036,R+73,Rose +73,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47087,Jackson,4766,0,12,12,Released as a precinct as first report of the night,100,4766,100%,100% reported,edison,10,all,2474,3691,986,89,0,0,0,2021-03-06T23:04:17Z,56.75619,R+57,Rose +57,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47111,Macon,8488,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8488,100%,100% reported,edison,10,all,5998,7252,1084,152,0,0,0,2020-12-16T17:51:58Z,72.6673,R+73,Rose +73,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
47133,Overton,8584,0,9,9,Other,100,8584,100%,100% reported,edison,10,all,5765,6806,1599,179,0,0,0,2021-03-06T23:04:23Z,60.65937,R+61,Rose +61,republican,rosej,TN-G-H-6-2020-11-03,tn-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349578,44213,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,349578,edison,100%,100% reported,edison,republican,FALSE,2021-03-06T23:10:33Z,TRUE,49.6942,173720,R+50,Rose +50,republican,TRUE,"","",0,0,1604454121027,FALSE
