fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_greenm,results_sreepadak,results_brownr,results_vieiras,results_absentee_greenm,results_absentee_sreepadak,results_absentee_brownr,results_absentee_vieiras,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47005,Benton,6796,0,6,6,Merged into voters' home precincts and released with cumulative results,93,7292,93%,93% reported,edison,2,all,4922,5358,1261,135,42,0,0,0,0,2020-12-16T15:15:21Z,60.28546,R+60,Green +60,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47023,Chester,7273,0,11,11,Released as a separate subtotal as first report of the night,97,7505,97%,97% reported,edison,2,all,4605,5908,1241,85,39,0,0,0,0,2020-12-16T15:22:35Z,64.16884,R+64,Green +64,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47039,Decatur,4872,3505,12,13,"Released as first report, then NOT included in cumulative results",92,5319,92%,92% reported,edison,2,unknown,3109,3995,784,73,20,2819,626,51,9,2020-12-03T03:22:04Z,65.90722,R+66,Green +66,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47055,Giles,12007,0,13,14,"As a subtotal in the FIRST cumulative report, along with regular precincts",93,12908,93%,93% reported,edison,2,all,7703,9055,2652,236,64,0,0,0,0,2020-12-16T16:21:16Z,53.32723,R+53,Green +53,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47069,Hardeman,8944,0,11,13,None,83,10742,83%,83% reported,edison,2,all,5839,5302,3386,203,53,0,0,0,0,2020-12-16T16:32:29Z,21.42218,R+21,Green +21,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47071,Hardin,10837,0,13,14,"Released as first report, then NOT included in cumulative results",94,11541,94%,94% reported,edison,2,all,6210,9122,1532,148,35,0,0,0,0,2020-12-16T18:45:36Z,70.03783,R+70,Green +70,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47077,Henderson,11432,0,14,14,Released as a separate subtotal as first report of the night,97,11830,97%,97% reported,edison,2,unknown,7043,9457,1746,184,45,0,0,0,0,2020-12-03T13:52:22Z,67.45101,R+67,Green +67,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47081,Hickman,9329,0,14,14,Released as a separate subtotal as first report of the night,100,9017,100%,100% reported,edison,2,unknown,5573,7193,1888,206,42,0,0,0,0,2020-12-03T13:55:00Z,56.86569,R+57,Green +57,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47083,Houston,3519,0,7,7,Merged into voters' home precincts and released with cumulative results,96,3675,96%,96% reported,edison,2,all,2292,2698,748,57,16,0,0,0,0,2020-12-16T17:38:40Z,55.41347,R+55,Green +55,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
47085,Humphreys,7780,0,8,8,Released as a separate subtotal as first report of the night,94,8284,94%,94% reported,edison,2,all,5279,5856,1715,167,42,0,0,0,0,2020-12-16T17:39:50Z,53.22622,R+53,Green +53,republican,greenm,TN-G-H-7-2020-11-03,tn-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",350635,119107,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,243,254,96% reporting,96%,100,339000,edison,100%,100% reported,edison,republican,FALSE,2020-12-16T14:53:14Z,TRUE,42.59387,149349,R+43,Green +43,republican,FALSE,"","",0,0,1604453063452
