fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_pflugera,results_hoggj,results_codyw,results_absentee_pflugera,results_absentee_hoggj,results_absentee_codyw,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48003,Andrews,5800,4735,5,5,Released as a precinct as first report of the night,100,5800,100%,100% reported,edison,10,unknown,4805,4893,798,109,4003,653,79,2020-11-27T13:43:52Z,70.60345,R+71,Pfluger +71,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48049,Brown,15632,12288,19,19,Released as a precinct as first report of the night,100,15632,100%,100% reported,edison,10,unknown,14372,13470,1911,251,10581,1537,170,2020-11-28T14:48:46Z,73.94447,R+74,Pfluger +74,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48059,Callahan,6613,5327,8,8,Released as a precinct as first report of the night,100,6613,100%,100% reported,edison,10,unknown,4184,5840,653,120,4702,544,81,2020-11-28T14:48:51Z,78.43641,R+78,Pfluger +78,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48081,Coke,1738,1209,5,5,Released as a precinct as first report of the night,100,1738,100%,100% reported,edison,10,unknown,1206,1534,158,46,1064,118,27,2020-11-27T14:19:03Z,79.17146,R+79,Pfluger +79,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48083,Coleman,4054,3494,5,5,Released as a precinct as first report of the night,100,4054,100%,100% reported,edison,10,unknown,3691,3611,400,43,3108,351,35,2020-11-28T14:48:55Z,79.20572,R+79,Pfluger +79,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48093,Comanche,5911,4550,15,15,Released as a precinct as first report of the night,100,5911,100%,100% reported,edison,10,unknown,4034,5006,805,100,3839,646,65,2020-11-28T14:49:00Z,71.07088,R+71,Pfluger +71,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48095,Concho,1246,773,9,9,Released as a precinct as first report of the night,100,1246,100%,100% reported,edison,10,unknown,569,1052,172,22,637,121,15,2021-02-17T16:45:17Z,70.626,R+71,Pfluger +71,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48115,Dawson,3574,2773,10,10,Released as a precinct as first report of the night,100,3574,100%,100% reported,edison,10,unknown,3346,2697,826,51,2157,584,32,2021-02-17T16:47:03Z,52.35031,R+52,Pfluger +52,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48133,Eastland,8020,6311,10,10,Released as a precinct as first report of the night,100,8020,100%,100% reported,edison,10,unknown,5907,6979,899,142,5498,720,93,2021-02-17T16:48:13Z,75.81047,R+76,Pfluger +76,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48135,Ector,43330,34486,41,41,Released as a precinct as first report of the night,100,43330,100%,100% reported,edison,10,unknown,35298,31848,10501,981,25396,8428,662,2021-01-08T19:56:47Z,49.2661,R+49,Pfluger +49,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
