fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_jacksonr,results_trujillog,results_westbrookj,results_absentee_jacksonr,results_absentee_trujillog,results_absentee_westbrookj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48009,Archer,4704,3553,12,12,Released as a precinct as first report of the night,100,4704,100%,100% reported,edison,10,unknown,2737,4229,404,71,3184,331,38,2020-11-28T14:55:24Z,81.31378,R+81,Jackson +81,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48011,Armstrong,1110,844,8,8,Released as a precinct as first report of the night,100,1110,100%,100% reported,edison,10,unknown,777,1025,69,16,774,56,14,2020-12-11T21:42:01Z,86.12613,R+86,Jackson +86,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48023,Baylor,1687,1368,5,5,Released as a precinct as first report of the night,100,1687,100%,100% reported,edison,10,unknown,1554,1480,167,40,1205,139,24,2020-11-28T14:55:32Z,77.83047,R+78,Jackson +78,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48045,Briscoe,724,452,6,6,Released as a precinct as first report of the night,100,724,100%,100% reported,edison,10,unknown,503,637,77,10,397,50,5,2020-11-28T14:55:37Z,77.34807,R+77,Jackson +77,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48065,Carson,3107,1889,9,9,Released as a precinct as first report of the night,100,3107,100%,100% reported,edison,10,unknown,1767,2731,306,70,1637,212,40,2020-12-14T16:39:37Z,78.04957,R+78,Jackson +78,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48075,Childress,2261,1777,5,5,Released as a precinct as first report of the night,100,2261,100%,100% reported,edison,10,unknown,1817,1957,272,32,1543,209,25,2021-02-17T16:44:19Z,74.52455,R+75,Jackson +75,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48077,Clay,5679,4115,17,17,Released as a precinct as first report of the night,100,5679,100%,100% reported,edison,10,unknown,3005,4977,592,110,3595,454,66,2021-02-17T16:44:31Z,77.2143,R+77,Jackson +77,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48087,Collingsworth,1184,821,8,8,Released as a precinct as first report of the night,100,1184,100%,100% reported,edison,10,unknown,1021,1035,135,14,712,100,9,2021-02-17T16:45:00Z,76.01351,R+76,Jackson +76,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48097,Cooke,18695,13414,30,30,Released as a precinct as first report of the night,100,18695,100%,100% reported,edison,10,unknown,10395,15418,2818,459,10860,2256,298,2021-02-17T16:45:30Z,67.3977,R+67,Jackson +67,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48101,Cottle,661,490,5,5,Released as a precinct as first report of the night,100,661,100%,100% reported,edison,10,unknown,690,543,112,6,400,86,4,2020-11-28T14:56:02Z,65.20424,R+65,Jackson +65,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
