fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_sessionsp,results_kennedyr,results_brownt,results_absentee_sessionsp,results_absentee_kennedyr,results_absentee_brownt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48021,Bastrop,517,452,1,1,Released as a precinct as first report of the night,100,517,100%,100% reported,edison,10,unknown,25791,336,159,22,287,146,19,2020-12-11T21:42:46Z,34.23598,R+34,Sessions +34,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48041,Brazos,82374,69536,99,99,Released as a precinct as first report of the night,100,82374,100%,100% reported,edison,10,unknown,57474,47340,31778,3256,39642,27508,2386,2020-12-11T21:44:25Z,18.89188,R+19,Sessions +19,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48051,Burleson,8440,6556,14,14,Released as a precinct as first report of the night,100,8440,100%,100% reported,edison,10,unknown,5572,6585,1704,151,5068,1391,97,2020-11-29T04:08:11Z,57.83175,R+58,Sessions +58,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48145,Falls,6019,3638,13,13,Released as a precinct as first report of the night,100,6019,100%,100% reported,edison,10,unknown,3515,4149,1771,99,2349,1237,52,2020-11-29T04:08:14Z,39.50822,R+40,Sessions +40,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48161,Freestone,8555,6413,16,16,Released as a precinct as first report of the night,100,8555,100%,100% reported,edison,10,unknown,7301,6899,1509,147,5123,1204,86,2020-11-29T04:08:18Z,63.00409,R+63,Sessions +63,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48287,Lee,2652,2048,5,5,Released as a precinct as first report of the night,100,2652,100%,100% reported,edison,10,unknown,5270,2090,499,63,1602,403,43,2020-11-28T14:43:40Z,59.99246,R+60,Sessions +60,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48289,Leon,4478,2913,10,10,Released as a precinct as first report of the night,100,4478,100%,100% reported,edison,10,unknown,4924,3875,531,72,2508,362,43,2020-11-29T04:08:21Z,74.67619,R+75,Sessions +75,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48293,Limestone,9007,6819,21,21,Released as a precinct as first report of the night,100,9007,100%,100% reported,edison,10,unknown,6531,6782,2084,141,5049,1675,95,2020-11-29T04:08:25Z,52.15943,R+52,Sessions +52,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48309,McLennan,95428,78259,92,92,Released as a precinct as first report of the night,100,95428,100%,100% reported,edison,10,unknown,70693,59653,33093,2682,48032,28370,1857,2020-12-14T20:12:03Z,27.8325,R+28,Sessions +28,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
48331,Milam,10314,8699,12,12,Released as a precinct as first report of the night,100,10314,100%,100% reported,edison,10,unknown,7689,7799,2320,195,6590,1969,140,2020-11-29T04:08:32Z,53.12197,R+53,Sessions +53,republican,sessionsp,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306873,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,328,328,100% reporting,100%,100,306873,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:46:59Z,FALSE,14.93289,45825,R+15,Sessions +15,republican,TRUE,"","",1,0,1609886186418,FALSE
