fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_arringtonj,results_watsont,results_burnesj,results_absentee_arringtonj,results_absentee_watsont,results_absentee_burnesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48017,Bailey,1826,1270,5,5,Released as a precinct as first report of the night,100,1826,100%,100% reported,edison,10,unknown,1464,1450,333,43,1042,211,17,2021-02-22T20:00:35Z,61.17196,R+61,Arrington +61,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48033,Borden,411,303,8,8,Released as a precinct as first report of the night,100,411,100%,100% reported,edison,10,unknown,320,390,18,3,292,10,1,2021-02-22T20:01:02Z,90.51095,R+91,Arrington +91,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48069,Castro,2012,1094,9,9,Released as a precinct as first report of the night,100,2012,100%,100% reported,edison,10,unknown,1417,1588,399,25,850,234,10,2021-02-17T16:43:56Z,59.09543,R+59,Arrington +59,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48079,Cochran,988,669,4,4,Released as a precinct as first report of the night,100,988,100%,100% reported,edison,10,unknown,604,808,163,17,552,110,7,2021-02-17T16:44:42Z,65.2834,R+65,Arrington +65,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48107,Crosby,1888,1192,5,5,Released as a precinct as first report of the night,100,1888,100%,100% reported,edison,10,unknown,1368,1422,435,31,894,285,13,2021-02-17T16:46:08Z,52.27754,R+52,Arrington +52,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48151,Fisher,1806,1293,5,5,Released as a precinct as first report of the night,100,1806,100%,100% reported,edison,10,unknown,1044,1451,326,29,1033,245,15,2021-02-17T16:49:16Z,62.29236,R+62,Arrington +62,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48153,Floyd,1150,943,4,4,Released as a precinct as first report of the night,100,1150,100%,100% reported,edison,10,unknown,2191,892,240,18,748,185,10,2021-02-17T16:49:26Z,56.69565,R+57,Arrington +57,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48165,Gaines,5742,4994,9,9,Released as a precinct as first report of the night,100,5742,100%,100% reported,edison,10,unknown,3944,5148,498,96,4519,403,72,2021-01-08T19:57:55Z,80.98224,R+81,Arrington +81,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48169,Garza,1613,1215,7,7,Released as a precinct as first report of the night,100,1613,100%,100% reported,edison,10,unknown,1568,1395,199,19,1058,144,13,2021-02-17T16:50:36Z,74.14755,R+74,Arrington +74,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48189,Hale,9387,7364,31,31,Released as a precinct as first report of the night,100,9387,100%,100% reported,edison,10,unknown,8534,7306,1898,183,5821,1428,115,2021-02-17T17:07:14Z,57.61159,R+58,Arrington +58,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
