fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_royc,results_davisw,results_dibiancaa,results_absentee_royc,results_absentee_davisw,results_absentee_dibiancaa,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48019,Bandera,12405,10839,11,11,Released as a precinct as first report of the night,100,12405,>98%,>98% reported,edison,10,all,10011,9861,2338,206,8535,2145,159,2020-11-29T04:15:51Z,60.6449,R+61,Roy +61,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48029,Bexar,139931,126006,152,152,Released as a precinct as first report of the night,100,139931,>98%,>98% reported,edison,10,unknown,609654,70273,67124,2534,62765,61197,2044,2020-11-29T04:33:09Z,2.25039,R+2,Roy +2,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48031,Blanco,7297,6329,7,7,Released as a precinct as first report of the night,100,7297,>98%,>98% reported,edison,10,all,4204,5367,1829,101,4568,1681,80,2020-11-29T04:16:36Z,48.48568,R+48,Roy +48,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48091,Comal,70333,64496,24,24,Released as a precinct as first report of the night,100,70333,>98%,>98% reported,edison,10,all,64101,52400,16795,1138,47819,15754,923,2020-11-29T04:17:23Z,50.62346,R+51,Roy +51,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48171,Gillespie,15593,12476,14,14,Released as a precinct as first report of the night,100,15593,>98%,>98% reported,edison,10,all,13119,12339,3033,221,9628,2689,159,2020-11-29T04:18:03Z,59.68063,R+60,Roy +60,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48209,Hays,27966,25371,19,19,Released as a precinct as first report of the night,100,27966,>98%,>98% reported,edison,10,all,65929,13138,14124,704,11690,13101,580,2020-11-29T04:18:37Z,3.52571,D+4,Davis +4,democrat,davisw,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48259,Kendall,26205,23342,11,11,Released as a precinct as first report of the night,100,26205,>98%,>98% reported,edison,10,all,20363,20302,5538,365,17947,5103,292,2020-11-29T04:19:06Z,56.34039,R+56,Roy +56,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48265,Kerr,27196,23609,21,21,Released as a precinct as first report of the night,100,27196,>98%,>98% reported,edison,10,all,26771,20693,6097,406,17829,5450,330,2020-11-29T04:19:35Z,53.66966,R+54,Roy +54,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48385,Real,1933,1608,6,6,Released as a precinct as first report of the night,100,1933,>98%,>98% reported,edison,10,all,1530,1626,286,21,1350,241,17,2020-11-29T04:19:53Z,69.3223,R+69,Roy +69,republican,royc,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
48453,Travis,121327,112298,53,53,Released as a precinct as first report of the night,100,121327,>98%,>98% reported,edison,10,all,391428,29741,88616,2970,26119,83727,2452,2020-11-29T04:20:26Z,48.52588,D+49,Davis +49,democrat,davisw,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450186,406374,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,318,318,100% reporting,100%,100,450186,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-29T13:52:10Z,TRUE,6.65503,29960,R+7,Roy +7,republican,TRUE,"","",1,0,1604473409804
