fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_williamsr,results_oliverj,results_kelseyb,results_absentee_williamsr,results_absentee_oliverj,results_absentee_kelseyb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48027,Bell,11910,9466,4,4,Released as a precinct as first report of the night,100,11910,100%,100% reported,edison,10,all,89466,3566,7993,351,2607,6612,247,2020-12-11T21:43:31Z,37.17045,D+37,Oliver +37,democrat,oliverj,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48035,Bosque,9018,6446,12,12,Released as a precinct as first report of the night,100,9018,100%,100% reported,edison,10,unknown,4229,7411,1477,130,5269,1104,73,2020-12-11T21:43:54Z,65.80173,R+66,Williams +66,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48053,Burnet,24249,20422,21,21,Released as a precinct as first report of the night,100,24249,100%,100% reported,edison,10,unknown,17630,18576,5183,490,15527,4538,357,2020-11-29T04:26:33Z,55.23114,R+55,Williams +55,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48099,Coryell,23196,19042,16,16,Released as a precinct as first report of the night,100,23196,100%,100% reported,edison,10,some,16701,15475,7074,647,12534,6045,463,2020-12-14T16:48:39Z,36.21745,R+36,Williams +36,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48143,Erath,7392,6114,10,10,Released as a precinct as first report of the night,100,7392,100%,100% reported,edison,10,unknown,13085,5960,1289,143,4931,1082,101,2020-11-29T04:26:37Z,63.18994,R+63,Williams +63,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48193,Hamilton,4231,3200,12,12,Released as a precinct as first report of the night,100,4231,100%,100% reported,edison,10,unknown,3191,3583,578,70,2688,466,46,2020-12-14T16:52:06Z,71.0234,R+71,Williams +71,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48209,Hays,35558,33093,24,24,Released as a precinct as first report of the night,100,35558,100%,100% reported,edison,10,some,65929,20251,14562,745,18576,13898,619,2020-12-14T16:52:30Z,15.99921,R+16,Williams +16,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48217,Hill,14709,9500,22,22,Released as a precinct as first report of the night,100,14709,100%,100% reported,edison,10,unknown,8740,11833,2681,195,7509,1881,110,2020-11-29T04:26:46Z,62.22041,R+62,Williams +62,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48251,Johnson,70858,60135,36,36,Released as a precinct as first report of the night,100,70858,100%,100% reported,edison,10,unknown,51853,54339,15316,1203,45965,13284,886,2020-11-29T04:26:50Z,55.07212,R+55,Williams +55,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
48281,Lampasas,10298,8549,10,10,Released as a precinct as first report of the night,100,10298,100%,100% reported,edison,10,unknown,6404,8109,1979,210,6665,1739,145,2020-11-24T13:26:51Z,59.52612,R+60,Williams +60,republican,williamsr,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",393523,343884,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,249,249,100% reporting,100%,100,393523,edison,100%,100% reported,edison,republican,FALSE,2020-11-29T13:56:46Z,TRUE,13.82156,54391,R+14,Williams +14,republican,TRUE,"","",1,0,1604470079991
