fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_velaf,results_gonzalezr,results_cristoa,results_royalc,results_absentee_velaf,results_absentee_gonzalezr,results_absentee_cristoa,results_absentee_royalc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48025,Bee,8980,7214,18,18,Released as a precinct as first report of the night,100,8980,100%,100% reported,edison,10,unknown,7301,3259,5462,131,128,2711,4317,88,98,2020-12-11T21:43:12Z,24.53229,R+25,Gonzalez +25,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48061,Cameron,111855,94013,104,104,Released as a precinct as first report of the night,100,111855,100%,100% reported,edison,10,unknown,71585,68852,39961,1847,1195,58200,33452,1430,931,2020-12-14T16:39:14Z,25.82898,D+26,Vela +26,democrat,velaf,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48123,De Witt,7781,5987,10,10,Released as a precinct as first report of the night,100,7781,100%,100% reported,edison,10,unknown,5965,1335,6300,70,76,1085,4796,51,55,2020-11-29T04:32:20Z,63.80928,R+64,Gonzalez +64,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48175,Goliad,3875,2822,10,10,Released as a precinct as first report of the night,93,4181,93%,93% reported,edison,2,unknown,3358,850,2938,37,50,662,2107,22,31,2020-12-11T21:47:11Z,53.88387,R+54,Gonzalez +54,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48177,Gonzales,2158,1607,5,5,Released as a precinct as first report of the night,100,2158,100%,100% reported,edison,10,unknown,5788,404,1704,27,23,307,1268,15,17,2020-12-14T16:51:17Z,60.24096,R+60,Gonzalez +60,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48215,Hidalgo,29761,25476,38,38,Released as a precinct as first report of the night,100,29761,100%,100% reported,edison,10,unknown,168180,18311,10443,640,367,16014,8694,474,294,2020-11-29T04:32:30Z,26.43728,D+26,Vela +26,democrat,velaf,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48249,Jim Wells,13280,9693,22,22,Released as a precinct as first report of the night,100,13280,100%,100% reported,edison,10,unknown,4321,6301,6684,159,136,4721,4787,90,95,2020-11-29T04:32:33Z,2.88404,R+3,Gonzalez +3,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48261,Kenedy,168,114,6,6,Released as a precinct as first report of the night,100,168,100%,100% reported,edison,10,unknown,104,89,75,2,2,59,52,2,1,2020-11-29T04:32:36Z,8.33333,D+8,Vela +8,democrat,velaf,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48273,Kleberg,10648,8591,18,18,Released as a precinct as first report of the night,100,10648,100%,100% reported,edison,10,all,8039,5276,5113,148,111,4403,4007,100,81,2020-12-11T21:51:04Z,1.5308,D+1.5,Vela +1.5,democrat,velaf,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
48409,San Patricio,7245,6053,8,8,Released as a precinct as first report of the night,100,7245,100%,100% reported,edison,10,unknown,19161,3398,3664,90,93,2907,3003,67,76,2020-11-29T04:32:40Z,3.6715,R+4,Gonzalez +4,republican,gonzalezr,TX-G-H-34-2020-11-03,tx-house-general-district-034-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-34.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 34,U.S. House,H,solid-dem,34,District 34,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",201027,164960,11,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,256,256,100% reporting,100%,100,201027,edison,100%,100% reported,edison,democrat,FALSE,2020-11-29T14:04:07Z,TRUE,13.59021,27320,D+14,Vela +14,democrat,FALSE,"","",1,0,1604461378381
