fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_mcmorris_rodgersc,results_wilsond,results_write_ins,results_absentee_mcmorris_rodgersc,results_absentee_wilsond,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
53003,Asotin,11768,0,26,26,None,100,11768,100%,100% reported,edison,10,all,8195,3550,23,0,0,0,2020-12-08T16:05:14Z,39.47145,R+39,McMorris Rodgers +39,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53013,Columbia,2465,0,13,13,None,100,2465,100%,100% reported,edison,10,all,1893,565,7,0,0,0,2020-12-08T16:05:55Z,53.87424,R+54,McMorris Rodgers +54,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53019,Ferry,4273,0,19,19,None,100,4273,100%,100% reported,edison,10,all,2966,1292,15,0,0,0,2020-12-08T16:06:18Z,39.17622,R+39,McMorris Rodgers +39,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53023,Garfield,1468,0,12,12,None,100,1468,100%,100% reported,edison,10,all,1190,275,3,0,0,0,2020-12-08T16:06:33Z,62.3297,R+62,McMorris Rodgers +62,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53043,Lincoln,6918,0,46,46,None,100,6918,100%,100% reported,edison,10,all,5540,1362,16,0,0,0,2020-12-08T16:08:07Z,60.39318,R+60,McMorris Rodgers +60,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53051,Pend Oreille,8436,0,27,27,None,100,8436,100%,100% reported,edison,10,all,6076,2343,17,0,0,0,2020-12-08T16:08:50Z,44.25083,R+44,McMorris Rodgers +44,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53063,Spokane,292243,0,362,362,None,100,292243,100%,100% reported,edison,10,all,172838,118812,593,0,0,0,2020-12-08T16:09:48Z,18.48667,R+18,McMorris Rodgers +18,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53065,Stevens,28042,0,58,58,None,100,28042,100%,100% reported,edison,10,all,21112,6860,70,0,0,0,2020-12-08T16:09:58Z,50.82376,R+51,McMorris Rodgers +51,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53071,Walla Walla,28053,0,57,57,None,100,28053,100%,100% reported,edison,10,all,16945,11069,39,0,0,0,2020-12-08T16:10:22Z,20.94607,R+21,McMorris Rodgers +21,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
53075,Whitman,20694,0,69,69,None,100,20694,100%,100% reported,edison,10,all,11060,9609,25,0,0,0,2020-12-08T16:10:36Z,7.01169,R+7,McMorris Rodgers +7,republican,mcmorris_rodgersc,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",404360,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,689,689,100% reporting,100%,100,404360,edison,100%,100% reported,edison,republican,FALSE,2020-12-08T17:20:47Z,TRUE,22.77129,92078,R+23,McMorris Rodgers +23,republican,TRUE,"","",20,0,1604474383651
