fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mooneya,results_kunkelc,results_absentee_mooneya,results_absentee_kunkelc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
54003,Berkeley,50470,0,66,66,Merged into voters' home precincts and released with cumulative results,100,50470,100%,100% reported,edison,10,unknown,15549,33772,16698,0,0,2020-11-24T13:25:12Z,33.83,R+34,Mooney +34,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54007,Braxton,5358,0,18,18,Merged into voters' home precincts and released with cumulative results,100,5358,100%,100% reported,edison,10,unknown,2472,3460,1898,0,0,2020-12-06T13:49:13Z,29.15267,R+29,Mooney +29,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54013,Calhoun,2767,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2767,100%,100% reported,edison,10,unknown,965,1917,850,0,0,2020-11-24T13:25:13Z,38.56162,R+39,Mooney +39,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54015,Clay,3201,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3201,100%,100% reported,edison,10,unknown,1368,2234,967,0,0,2020-11-24T13:25:13Z,39.58138,R+40,Mooney +40,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54027,Hampshire,9710,0,24,24,None,100,9710,100%,100% reported,edison,10,all,2597,7662,2048,0,0,2020-11-24T13:25:13Z,57.81668,R+58,Mooney +58,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54031,Hardy,6161,0,14,14,Other,100,6161,100%,100% reported,edison,10,unknown,1837,4684,1477,0,0,2020-11-24T13:25:13Z,52.05324,R+52,Mooney +52,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54035,Jackson,13024,0,31,31,Merged into voters' home precincts and released with cumulative results,100,13024,100%,100% reported,edison,10,unknown,6758,9066,3958,0,0,2020-12-06T13:45:24Z,39.2199,R+39,Mooney +39,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54037,Jefferson,27182,0,32,32,Released as a separate subtotal as first report of the night,100,27182,100%,100% reported,edison,10,some,10602,15712,11470,0,0,2020-11-24T13:25:13Z,15.60592,R+16,Mooney +16,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54039,Kanawha,78859,40944,169,169,Merged into voters' home precincts and released with cumulative results,100,78859,100%,100% reported,edison,10,all,23987,40844,38015,17690,23254,2020-12-06T13:44:42Z,3.58742,R+4,Mooney +4,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
54041,Lewis,7250,0,24,24,Merged into voters' home precincts and released with cumulative results,100,7250,100%,100% reported,edison,10,unknown,2592,5272,1978,0,0,2020-12-06T13:45:51Z,45.43448,R+45,Mooney +45,republican,mooneya,WV-G-H-2-2020-11-03,wv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",272994,58476,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,542,542,100% reporting,100%,100,272994,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T13:50:15Z,TRUE,26.15296,71396,R+26,Mooney +26,republican,TRUE,"","",6,0,1609886186419,FALSE
