fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
01001,Autauga,27770,0,19,19,Released as a precinct as first report of the night,100,25781,>98%,>98% reported,edison,2,all,,1896,,,19838,7503,350,79,0,0,0,0,2020-11-23T19:37:28Z,44.41844,R+44,Trump +44,republican,44.41844,24973,49,23973,45.95,alabama,2020-11-23T20:21:27.744576Z
01003,Baldwin,109679,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,106641,>98%,>98% reported,edison,4,all,,6293,,,83544,24578,1229,328,0,0,0,0,2020-11-23T19:38:00Z,53.76234,R+54,Trump +54,republican,53.76234,95215,57.2,85491,55.67,alabama,2020-11-23T20:21:27.744576Z
01005,Barbour,10518,0,17,17,Released as a precinct as first report of the night,100,10457,>98%,>98% reported,edison,6,all,,1554,,,5622,4816,68,12,0,0,0,0,2020-11-23T19:38:50Z,7.66305,R+8,Trump +8,republican,7.66305,10469,5.6,11517,-3.14,alabama,2020-11-23T20:21:27.744576Z
01007,Bibb,9595,571,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9104,>98%,>98% reported,edison,2,all,,410,,,7525,1986,74,10,352,215,4,0,2020-11-23T19:39:26Z,57.72798,R+58,Trump +58,republican,57.72798,8819,55.2,8420,46.67,alabama,2020-11-23T20:21:27.744576Z
01009,Blount,27588,0,25,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27459,>98%,>98% reported,edison,6,all,,1181,,,24711,2640,209,28,0,0,0,0,2020-11-23T19:39:49Z,80.00217,R+80,Trump +80,republican,80.00217,25588,80.9,24060,73.93,alabama,2020-11-23T20:21:27.744576Z
01011,Bullock,4613,0,16,16,Released as a precinct as first report of the night,100,4603,>98%,>98% reported,edison,6,all,,557,,,1146,3446,19,2,0,0,0,0,2020-11-23T19:40:07Z,49.85909,D+50,Biden +50,democrat,-49.85909,4710,-50.7,5322,-52.8,alabama,2020-11-23T20:21:27.744576Z
01013,Butler,9488,1053,23,23,Released as a precinct as first report of the night,100,9466,>98%,>98% reported,edison,6,all,,4735,,,5458,3965,59,6,429,616,8,0,2020-11-23T19:40:23Z,15.73567,R+16,Trump +16,republican,15.73567,8732,13.5,9502,7.5,alabama,2020-11-23T20:21:27.744576Z
01015,Calhoun,50983,0,45,45,Released with cumulative results periodically election night,100,49412,>98%,>98% reported,edison,2,all,,1917,,,35101,15216,553,113,0,0,0,0,2020-11-23T19:40:44Z,39.0032,R+39,Trump +39,republican,39.0032,47864,41,46364,31.85,alabama,2020-11-23T20:21:27.744576Z
01017,Chambers,15284,0,21,21,Released as a precinct as first report of the night,100,15083,>98%,>98% reported,edison,2,all,,883,,,8753,6365,141,25,0,0,0,0,2020-11-23T19:41:02Z,15.62418,R+16,Trump +16,republican,15.62418,13900,14.8,14629,5.16,alabama,2020-11-23T20:21:27.744576Z
01019,Cherokee,12301,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12275,>98%,>98% reported,edison,6,all,,800,,,10583,1624,82,12,0,0,0,0,2020-11-23T19:41:19Z,72.83148,R+73,Trump +73,republican,72.83148,10733,69,9792,54.88,alabama,2020-11-23T20:21:27.744576Z
01021,Chilton,19310,0,19,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,19581,>98%,>98% reported,edison,2,all,,1819,,,16085,3073,123,29,0,0,0,0,2020-11-23T19:41:37Z,67.38477,R+67,Trump +67,republican,67.38477,18369,66.3,17485,60.25,alabama,2020-11-23T20:21:27.744576Z
01023,Choctaw,7464,0,35,35,Released as a separate subtotal in the middle of the tabulation,100,7198,>98%,>98% reported,edison,2,all,,1080,,,4296,3127,38,3,0,0,0,0,2020-11-23T19:41:55Z,15.66184,R+16,Trump +16,republican,15.66184,7292,13.7,7976,4.59,alabama,2020-11-23T20:21:27.744576Z
01025,Clarke,13135,0,21,21,Released as a precinct at the end of tabulation,100,12512,>98%,>98% reported,edison,4,all,,1469,,,7324,5755,49,7,0,0,0,0,2020-11-23T19:42:21Z,11.94518,R+12,Trump +12,republican,11.94518,13031,10.7,13860,8.2,alabama,2020-11-23T20:21:27.744576Z
01027,Clay,6930,557,16,16,Released as a separate subtotal as first report of the night,100,6904,>98%,>98% reported,edison,6,all,,950,,,5601,1267,53,9,376,177,4,0,2020-11-23T19:42:44Z,62.53968,R+63,Trump +63,republican,62.53968,6624,60.5,6679,45.52,alabama,2020-11-23T20:21:27.744576Z
01029,Cleburne,7227,0,16,16,Released as a precinct as first report of the night,100,6068,>98%,>98% reported,edison,6,all,,483,,,6484,675,60,8,0,0,0,0,2020-11-23T19:43:06Z,80.37913,R+80,Trump +80,republican,80.37913,6593,77.1,6319,68.06,alabama,2020-11-23T20:21:27.744576Z
01031,Coffee,22275,0,31,31,"As a precinct in the FIRST cumulative report, along with regular precincts",100,22180,>98%,>98% reported,edison,6,all,,1406,,,16899,5076,264,36,0,0,0,0,2020-11-23T19:43:25Z,53.07744,R+53,Trump +53,republican,53.07744,20767,56.1,19821,49.14,alabama,2020-11-23T20:21:27.744576Z
01033,Colbert,27886,1510,35,35,Released as a precinct as first report of the night,100,24668,>98%,>98% reported,edison,6,all,,1442,,,19203,8343,272,68,614,875,14,7,2020-11-23T19:44:04Z,38.94427,R+39,Trump +39,republican,38.94427,24915,37.9,23444,20.35,alabama,2020-11-23T20:21:27.744576Z
01035,Conecuh,6441,0,28,28,Released as a precinct in the middle of the night,100,6419,>98%,>98% reported,edison,6,all,,526,,,3442,2966,32,1,0,0,0,0,2020-11-23T19:44:30Z,7.39016,R+7,Trump +7,republican,7.39016,6585,5.2,7025,-1.65,alabama,2020-11-23T20:21:27.744576Z
01037,Coosa,5479,364,13,13,Released as a precinct as first report of the night,100,5439,>98%,>98% reported,edison,4,all,,288,,,3631,1796,46,6,201,163,0,0,2020-11-23T19:44:50Z,33.49151,R+33,Trump +33,republican,33.49151,5252,30.4,5282,16.24,alabama,2020-11-23T20:21:27.744576Z
01039,Covington,17430,1521,25,25,Released as a precinct as first report of the night,100,17418,>98%,>98% reported,edison,6,all,,1227,,,14586,2721,97,26,1011,496,12,2,2020-11-23T19:45:28Z,68.07229,R+68,Trump +68,republican,68.07229,15940,68.3,15439,58.26,alabama,2020-11-23T20:21:27.744576Z
01041,Crenshaw,6617,0,19,19,Released as a precinct as first report of the night,100,6625,>98%,>98% reported,edison,2,all,,402,,,4864,1700,44,9,0,0,0,0,2020-11-23T19:45:46Z,47.81623,R+48,Trump +48,republican,47.81623,6267,45.5,6424,35.51,alabama,2020-11-23T20:21:27.744576Z
01043,Cullman,41851,0,50,50,Released as a precinct in the middle of the night,100,40374,>98%,>98% reported,edison,2,all,,1880,,,36880,4478,418,75,0,0,0,0,2020-11-23T19:46:07Z,77.42228,R+77,Trump +77,republican,77.42228,37873,77.1,34555,69.3,alabama,2020-11-23T20:21:27.744576Z
01045,Dale,19738,0,20,20,None,100,19699,>98%,>98% reported,edison,6,all,,1464,,,14303,5170,233,32,0,0,0,0,2020-11-23T19:46:32Z,46.27115,R+46,Trump +46,republican,46.27115,18749,50.1,18601,42.05,alabama,2020-11-23T20:21:27.744576Z
01047,Dallas,17864,0,30,30,Released as a precinct in the middle of the night,94,18927,94%,94% reported,edison,4,all,,1571,,,5524,12230,90,20,0,0,0,0,2020-11-23T19:46:49Z,37.53918,D+38,Biden +38,democrat,-37.53918,18792,-37.5,20964,-39.71,alabama,2020-11-23T20:21:27.744576Z
01049,DeKalb,29356,0,53,53,Released as a precinct as first report of the night,100,29322,>98%,>98% reported,edison,6,all,,1682,,,24767,4281,250,58,0,0,0,0,2020-11-23T19:47:07Z,69.78471,R+70,Trump +70,republican,69.78471,25826,68.9,23950,54.66,alabama,2020-11-23T20:21:27.744576Z
01051,Elmore,41030,0,30,30,"As a precinct in the FIRST cumulative report, along with regular precincts",100,40891,>98%,>98% reported,edison,6,all,,2117,,,30164,10367,398,101,0,0,0,0,2020-11-23T19:47:36Z,48.25006,R+48,Trump +48,republican,48.25006,37260,51.5,35546,48.67,alabama,2020-11-23T20:21:27.744576Z
01053,Escambia,15910,0,33,33,None,100,15861,>98%,>98% reported,edison,6,all,,848,,,10869,4918,94,29,0,0,0,0,2020-11-23T19:48:05Z,37.40415,R+37,Trump +37,republican,37.40415,14845,35.9,14894,25.5,alabama,2020-11-23T20:21:27.744576Z
01055,Etowah,47728,0,32,32,"As a precinct in the FIRST cumulative report, along with regular precincts",100,47358,>98%,>98% reported,edison,6,all,,2245,,,35528,11567,531,102,0,0,0,0,2020-11-23T19:48:33Z,50.20323,R+50,Trump +50,republican,50.20323,44164,49.6,42624,38.3,alabama,2020-11-23T20:21:27.744576Z
01057,Fayette,8766,477,28,28,Released as a precinct as first report of the night,100,8794,>98%,>98% reported,edison,4,all,,362,,,7300,1395,56,15,285,190,1,1,2020-11-23T19:48:54Z,67.36254,R+67,Trump +67,republican,67.36254,8249,64.9,7958,53.24,alabama,2020-11-23T20:21:27.744576Z
01059,Franklin,12578,0,25,25,Released as a precinct as first report of the night,100,12564,>98%,>98% reported,edison,6,all,,653,,,10376,2086,106,10,0,0,0,0,2020-11-23T19:49:18Z,65.90873,R+66,Trump +66,republican,65.90873,12040,60.4,10881,40.4,alabama,2020-11-23T20:21:27.744576Z
01061,Geneva,12545,0,28,28,Released separately AFTER election night,100,12534,>98%,>98% reported,edison,2,all,,507,,,10848,1595,90,12,0,0,0,0,2020-11-23T19:49:44Z,73.75847,R+74,Trump +74,republican,73.75847,11758,72,11331,62.98,alabama,2020-11-23T20:21:27.744576Z
01063,Greene,4775,1561,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",99,4824,>98%,>98% reported,edison,2,all,,590,,,875,3884,8,8,96,1465,0,0,2020-11-23T19:49:59Z,63.01571,D+63,Biden +63,democrat,-63.01571,4880,-65.1,5343,-69.57,alabama,2020-11-23T20:21:27.744576Z
01065,Hale,7900,1474,15,15,None,100,7922,>98%,>98% reported,edison,6,all,,982,,,3192,4663,37,8,172,1291,8,3,2020-11-23T19:50:28Z,18.62025,D+19,Biden +19,democrat,-18.62025,8040,-19.9,8647,-25.45,alabama,2020-11-23T20:21:27.744576Z
01067,Henry,9298,0,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9043,>98%,>98% reported,edison,4,all,,994,,,6607,2606,69,16,0,0,0,0,2020-11-23T19:51:01Z,43.03076,R+43,Trump +43,republican,43.03076,8072,41.4,8766,29.03,alabama,2020-11-23T20:21:27.744576Z
01069,Houston,46173,0,28,28,Released as a precinct as first report of the night,100,45750,>98%,>98% reported,edison,6,all,,3363,,,32618,12917,533,105,0,0,0,0,2020-11-23T19:51:30Z,42.66779,R+43,Trump +43,republican,42.66779,42639,47.1,41984,40.26,alabama,2020-11-23T20:21:27.744576Z
01071,Jackson,23636,0,31,31,Released as a precinct as first report of the night,100,22369,>98%,>98% reported,edison,4,all,,1483,,,19670,3717,208,41,0,0,0,0,2020-11-23T19:51:48Z,67.4945,R+67,Trump +67,republican,67.4945,20984,61.9,20632,41.77,alabama,2020-11-23T20:21:27.744576Z
01073,Jefferson,325848,0,173,173,Released as a precinct as first report of the night,100,275449,>98%,>98% reported,edison,6,all,,15352,,,138843,181688,3578,1739,0,0,0,0,2020-11-23T19:52:20Z,13.14877,D+13,Biden +13,democrat,-13.14877,304191,-7.3,304523,-5.97,alabama,2020-11-23T20:21:27.744576Z
01075,Lamar,7193,474,26,26,Released as a precinct as first report of the night,100,7187,>98%,>98% reported,edison,6,all,,790,,,6174,978,33,8,350,122,1,1,2020-11-23T19:52:42Z,72.2369,R+72,Trump +72,republican,72.2369,6966,68.7,7176,53.11,alabama,2020-11-23T20:21:27.744576Z
01077,Lauderdale,44339,0,32,32,Released as a precinct as first report of the night,100,44149,>98%,>98% reported,edison,6,all,,2931,,,31721,11915,537,166,0,0,0,0,2020-11-23T19:53:25Z,44.66948,R+45,Trump +45,republican,44.66948,39525,45.4,37032,30.78,alabama,2020-11-23T20:21:27.744576Z
01079,Lawrence,16031,866,30,30,Released as a precinct in the middle of the night,100,15957,>98%,>98% reported,edison,6,all,,725,,,12322,3562,126,21,437,419,8,2,2020-11-23T19:53:46Z,54.64413,R+55,Trump +55,republican,54.64413,14829,48.6,14148,26.89,alabama,2020-11-23T20:21:27.744576Z
01081,Lee,71449,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,66294,>98%,>98% reported,edison,2,all,,4032,,,42221,27860,1019,349,0,0,0,0,2020-11-23T19:54:11Z,20.09965,R+20,Trump +20,republican,20.09965,59191,22.6,54496,19.84,alabama,2020-11-23T20:21:27.744576Z
01083,Limestone,49235,0,26,26,Released as a precinct as first report of the night,100,49000,>98%,>98% reported,edison,2,all,,2880,,,34640,13672,748,175,0,0,0,0,2020-11-23T19:54:45Z,42.58759,R+43,Trump +43,republican,42.58759,40294,48.6,35540,43.52,alabama,2020-11-23T20:21:27.744576Z
01085,Lowndes,6835,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6794,>98%,>98% reported,edison,2,all,,576,,,1836,4972,26,1,0,0,0,0,2020-11-23T19:55:05Z,45.88149,D+46,Biden +46,democrat,-45.88149,6684,-46.9,7523,-53.05,alabama,2020-11-23T20:21:27.744576Z
01087,Macon,8723,0,14,14,Released as a precinct as first report of the night,100,8697,>98%,>98% reported,edison,6,all,,715,,,1541,7108,52,22,0,0,0,0,2020-11-23T19:55:25Z,63.81979,D+64,Biden +64,democrat,-63.81979,9140,-67.1,10396,-74.2,alabama,2020-11-23T20:21:27.744576Z
01089,Madison,194767,0,73,73,Released as a precinct at the end of tabulation,100,195000,>98%,>98% reported,edison,2,all,,14142,,,102780,87286,3699,1002,0,0,0,0,2020-11-23T19:55:57Z,7.95515,R+8,Trump +8,republican,7.95515,163389,16.3,155428,18.57,alabama,2020-11-23T20:21:27.744576Z
01091,Marengo,10900,0,20,20,None,100,10882,>98%,>98% reported,edison,6,all,,1014,,,5343,5488,59,10,0,0,0,0,2020-11-23T19:56:28Z,1.33028,D+1.3,Biden +1.3,democrat,-1.33028,10994,-3.5,11543,-7.2,alabama,2020-11-23T20:21:27.744576Z
01093,Marion,13807,0,21,21,Merged into voters' home precincts AFTER election night,100,12231,>98%,>98% reported,edison,6,all,,666,,,12205,1463,115,24,0,0,0,0,2020-11-23T19:56:45Z,77.80112,R+78,Trump +78,republican,77.80112,12984,75.8,12129,61.41,alabama,2020-11-23T20:21:27.744576Z
01095,Marshall,39655,0,28,28,Released as a precinct as first report of the night,100,39425,>98%,>98% reported,edison,6,all,,2110,,,33191,5943,435,86,0,0,0,0,2020-11-23T19:57:10Z,68.71265,R+69,Trump +69,republican,68.71265,35316,68.9,32644,59.94,alabama,2020-11-23T20:21:27.744576Z
01097,Mobile,183164,0,88,88,Released as a separate subtotal as first report of the night,94,195848,94%,94% reported,edison,4,all,,11133,,,101243,79474,1938,509,0,0,0,0,2020-11-23T19:58:40Z,11.88498,R+12,Trump +12,republican,11.88498,172737,13.3,175140,9.21,alabama,2020-11-23T20:21:27.744576Z
01099,Monroe,10668,1256,31,31,Merged into voters' home precincts and released with cumulative results,100,10610,>98%,>98% reported,edison,6,all,,827,,,6147,4455,53,13,367,887,2,0,2020-11-23T20:04:10Z,15.86052,R+16,Trump +16,republican,15.86052,10271,14.2,10717,7.72,alabama,2020-11-23T20:21:27.744576Z
01101,Montgomery,98476,0,45,49,Released as a separate subtotal as first report of the night,100,98153,>98%,>98% reported,edison,6,all,,7544,,,33122,64065,916,373,0,0,0,0,2020-11-16T21:56:25Z,31.42187,D+31,Biden +31,democrat,-31.42187,95878,-26,102067,-24.25,alabama,2020-11-23T20:21:27.744576Z
01103,Morgan,53482,0,39,41,Released as a precinct in the middle of the night,99,53987,>98%,>98% reported,edison,4,all,,3189,,,39504,13159,700,119,0,0,0,0,2020-11-16T15:48:12Z,49.25956,R+49,Trump +49,republican,49.25956,50644,51.8,49459,44.38,alabama,2020-11-23T20:21:27.744576Z
