fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_write_ins,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_write_ins,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02901,ED 1,7360,3688,9,9,Released as a separate subtotal as first report of the night,96,7634,96%,96% reported,edison,2,all,,4000,,,3511,3477,216,50,46,34,24,2,1412,2138,68,27,20,18,5,0,2020-12-01T14:00:00Z,0.46196,R+0.46,Trump +0.46,republican,0.46196,6638,9.1,alaska,2020-12-02T04:26:10.460482Z
02910,ED 10,11205,5700,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,8081,2727,286,64,,22,19,6,3636,1902,119,23,,11,8,1,2020-12-01T13:29:05Z,47.78224,R+48,Trump +48,republican,47.78224,9040,49.2,alaska,2020-12-02T04:26:10.460482Z
02911,ED 11,10628,5951,9,9,Released as a separate subtotal as first report of the night,95,11142,95%,95% reported,edison,2,unknown,,4000,,,7096,3130,269,88,,22,17,6,3491,2245,144,48,,13,6,4,2020-12-01T13:29:04Z,37.31652,R+37,Trump +37,republican,37.31652,9689,44.4,alaska,2020-12-02T04:26:10.460482Z
02912,ED 12,11238,5716,7,7,Released as a separate subtotal as first report of the night,100,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7893,2957,288,54,,28,15,3,3429,2113,129,24,,15,6,0,2020-12-01T13:29:03Z,43.92241,R+44,Trump +44,republican,43.92241,9543,49.3,alaska,2020-12-02T04:26:10.460482Z
02913,ED 13,7713,4427,6,6,Released as a separate subtotal as first report of the night,100,7513,>98%,>98% reported,edison,2,unknown,,4000,,,4652,2666,308,40,,16,25,6,2284,1943,155,23,,6,14,2,2020-12-01T13:29:03Z,25.74874,R+26,Trump +26,republican,25.74874,6533,35.9,alaska,2020-12-02T04:26:10.460482Z
02914,ED 14,11443,7188,7,7,Released as a separate subtotal as first report of the night,95,11983,95%,95% reported,edison,2,unknown,,4000,,,6714,4261,356,50,,46,10,6,3597,3328,197,29,,28,5,4,2020-12-01T13:29:02Z,21.43669,R+21,Trump +21,republican,21.43669,10420,28.2,alaska,2020-12-02T04:26:10.460482Z
02915,ED 15,5559,3185,5,5,Released as a separate subtotal as first report of the night,97,5729,97%,97% reported,edison,2,unknown,,4000,,,2671,2622,197,36,,10,13,10,1309,1741,105,15,,6,4,5,2020-12-01T13:29:01Z,0.88145,R+0.88,Trump +0.88,republican,0.88145,4982,14,alaska,2020-12-02T04:26:10.460482Z
02916,ED 16,8121,4635,7,7,Released as a separate subtotal as first report of the night,95,8551,95%,95% reported,edison,2,unknown,,4000,,,3519,4273,211,64,,27,15,12,1506,2972,91,33,,17,8,8,2020-11-24T13:21:59Z,9.28457,D+9,Biden +9,democrat,-9.28457,7436,-1.2,alaska,2020-12-02T04:26:10.460482Z
02917,ED 17,7239,4445,6,7,Released as a separate subtotal as first report of the night,93,7806,93%,93% reported,edison,2,unknown,,4000,,,2810,4136,184,64,,18,18,9,1310,2980,101,30,,10,8,6,2020-12-01T13:29:00Z,18.31745,D+18,Biden +18,democrat,-18.31745,6788,-9.9,alaska,2020-12-02T04:26:10.460482Z
02918,ED 18,7720,5127,9,10,Released as a separate subtotal as first report of the night,91,8512,91%,91% reported,edison,2,unknown,,4000,,,2760,4681,157,79,,24,15,4,1454,3517,91,46,,11,5,3,2020-12-01T13:29:00Z,24.88342,D+25,Biden +25,democrat,-24.88342,7402,-16.5,alaska,2020-12-02T04:26:10.460482Z
