fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
04001,Apache,35183,24033,44,44,Released as a separate subtotal as first report of the night,100,35172,100%,100% reported,edison,10,all,,14686,,,23293,11442,437,11,16460,7262,311,0,2020-11-30T21:17:04Z,33.68388,D+34,Biden +34,democrat,bidenj,-33.68388,27661,-32,25917,-34.33,arizona,2021-05-09T20:13:50.443967Z
04003,Cochise,60473,48428,49,49,Released as a separate subtotal as first report of the night,100,60442,100%,100% reported,edison,10,all,,40322,,,23732,35557,1153,31,21563,25934,931,0,2020-11-30T21:18:23Z,19.55418,R+20,Trump +20,republican,trumpd,19.55418,50015,21.3,49201,22.26,arizona,2021-05-09T20:13:50.443967Z
04005,Coconino,73346,60874,71,71,Released as a separate subtotal as first report of the night,100,73272,100%,100% reported,edison,10,all,,37503,,,44698,27052,1522,74,39430,20311,1133,0,2020-11-30T21:16:44Z,24.05857,D+24,Biden +24,democrat,bidenj,-24.05857,59784,-18.9,51962,-15.47,arizona,2021-05-09T20:13:50.443967Z
04007,Gila,27678,22765,39,39,Released as a separate subtotal as first report of the night,100,27662,100%,100% reported,edison,10,all,,22311,,,8943,18377,342,16,7481,15005,279,0,2020-11-30T21:19:20Z,34.08483,R+34,Trump +34,republican,trumpd,34.08483,22515,31.9,21595,26.66,arizona,2021-05-09T20:13:50.443967Z
04009,Graham,14996,10378,22,22,Released separately AFTER election night,100,14996,100%,100% reported,edison,10,all,,9380,,,4034,10749,212,1,2944,7289,145,0,2020-11-30T21:16:28Z,44.77861,R+45,Trump +45,republican,trumpd,44.77861,12281,38.5,11905,37.52,arizona,2021-05-09T20:13:50.443967Z
04011,Greenlee,3688,2618,8,8,Released as a separate subtotal as first report of the night,100,3688,100%,100% reported,edison,10,all,,2450,,,1182,2433,70,3,996,1571,51,0,2020-11-30T21:16:20Z,33.92082,R+34,Trump +34,republican,trumpd,33.92082,3300,24.2,2986,9.44,arizona,2021-05-09T20:13:50.443967Z
04012,La Paz,7460,4495,11,11,Merged into voters' home precincts and released with cumulative results,100,7460,100%,100% reported,edison,10,all,,3932,,,2236,5129,93,2,1508,2936,51,0,2020-11-30T21:49:29Z,38.78016,R+39,Trump +39,republican,trumpd,38.78016,5951,40.8,5735,31.98,arizona,2021-05-09T20:13:50.443967Z
04013,Maricopa,2069475,1895742,743,743,Released as a separate subtotal as first report of the night,100,2068144,100%,100% reported,edison,10,all,,1489023,,,1040774,995665,31705,1331,978457,889400,27885,0,2020-11-30T21:24:05Z,2.17973,D+2,Biden +2,democrat,bidenj,-2.17973,1567834,2.8,1380959,10.69,arizona,2021-05-09T20:13:50.443967Z
04015,Mohave,104705,79622,24,24,Released as a separate subtotal as first report of the night,100,104705,100%,100% reported,edison,10,all,,66610,,,24831,78535,1302,37,21783,56914,925,0,2020-11-30T21:19:58Z,51.29077,R+51,Trump +51,republican,trumpd,51.29077,79943,51.1,70328,42.14,arizona,2021-05-09T20:13:50.443967Z
04017,Navajo,51783,36163,14,14,Merged into voters' home precincts and released with cumulative results,100,51783,100%,100% reported,edison,10,all,,28592,,,23383,27657,727,16,16867,18787,509,0,2020-11-30T21:15:44Z,8.25367,R+8,Trump +8,republican,trumpd,8.25367,40294,10.2,37465,7.84,arizona,2021-05-09T20:13:50.443967Z
04019,Pima,520735,454681,249,249,Released as a separate subtotal as first report of the night,100,520735,100%,100% reported,edison,10,all,,406810,,,304981,207758,7658,338,282457,165747,6477,0,2020-11-30T21:18:28Z,18.67034,D+19,Biden +19,democrat,bidenj,-18.67034,421640,-13.6,383173,-6.91,arizona,2021-05-09T20:13:50.443967Z
04021,Pinal,185037,147527,102,102,Released as a separate subtotal as first report of the night,100,185037,100%,100% reported,edison,10,all,,88536,,,75106,107077,2791,63,65042,80293,2192,0,2020-11-30T21:20:07Z,17.27817,R+17,Trump +17,republican,trumpd,17.27817,129546,19.2,108682,16.35,arizona,2021-05-09T20:13:50.443967Z
04023,Santa Cruz,19561,15652,24,24,Released as a separate subtotal as first report of the night,100,19561,100%,100% reported,edison,10,all,,11041,,,13138,6194,224,5,10994,4481,177,0,2020-11-30T21:14:45Z,35.49921,D+35,Biden +35,democrat,bidenj,-35.49921,16433,-47.4,13911,-37.75,arizona,2021-05-09T20:13:50.443967Z
04025,Yavapai,143280,125043,45,45,Released as a separate subtotal as first report of the night,100,143280,100%,100% reported,edison,10,all,,100553,,,49602,91527,2092,59,46865,76416,1762,0,2020-11-30T21:20:18Z,29.26089,R+29,Trump +29,republican,trumpd,29.26089,114450,31.2,100667,30.35,arizona,2021-05-09T20:13:50.443967Z
04027,Yuma,69926,59275,44,44,Released as a separate subtotal as first report of the night,100,69926,100%,100% reported,edison,10,all,,37798,,,32210,36534,1137,45,28134,30226,915,0,2020-11-30T21:20:25Z,6.18368,R+6,Trump +6,republican,trumpd,6.18368,53010,1.1,42073,12.58,arizona,2021-05-09T20:13:50.443967Z
