fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06001,Alameda,769864,292999,521,521,"Released as first report, then NOT included in cumulative results",100,769864,100%,100% reported,edison,10,unknown,,533518,,,617659,136309,6295,4664,2538,2399,,250884,37712,1745,1383,704,571,,2020-12-05T21:31:21Z,62.52403,D+63,Biden +63,democrat,bidenj,-62.52403,659543,-63.5,595642,-60.69,california,2020-12-31T11:36:45.374686Z
06003,Alpine,741,731,5,5,Other,100,741,100%,100% reported,edison,10,unknown,,1050,,,476,244,15,4,2,0,,473,238,14,4,2,0,,2020-12-05T21:02:10Z,31.30904,D+31,Biden +31,democrat,bidenj,-31.30904,602,-19.4,653,-23.43,california,2020-12-31T11:36:45.374686Z
06005,Amador,22302,17773,30,30,Released as a separate subtotal as first report of the night,100,22302,100%,100% reported,edison,10,none,,17509,,,8153,13585,349,110,41,64,,7294,10068,248,84,29,50,,2020-11-28T03:39:50Z,24.35656,R+24,Trump +24,republican,trumpd,24.35656,17963,24.9,17649,19.55,california,2020-12-31T11:36:45.374686Z
06007,Butte,102042,0,157,157,Released as a separate subtotal as first report of the night,100,102042,100%,100% reported,edison,10,unknown,,90845,,,50426,48730,1774,507,281,324,0,0,0,0,0,0,0,0,2020-12-05T20:55:10Z,1.66206,D+1.7,Biden +1.7,democrat,bidenj,-1.66206,97002,3.7,90752,1.99,california,2020-12-31T11:36:45.374686Z
06009,Calaveras,27164,18851,29,29,Merged into voters' home precincts and released with cumulative results,100,27164,100%,100% reported,edison,10,some,,23685,,,10046,16518,359,125,44,72,,8168,10318,208,82,28,47,,2020-12-01T17:40:41Z,23.82565,R+24,Trump +24,republican,trumpd,23.82565,23531,23.7,21786,16.96,california,2020-12-31T11:36:45.374686Z
06011,Colusa,7951,0,18,18,None,100,7951,100%,100% reported,edison,10,all,,5440,,,3234,4554,81,25,27,30,,0,0,0,0,0,0,,2020-11-26T03:48:14Z,16.60169,R+17,Trump +17,republican,trumpd,16.60169,6697,13.3,6034,21.33,california,2020-12-31T11:36:45.374686Z
06013,Contra Costa,581230,313531,957,957,Released as a separate subtotal as first report of the night,100,581230,100%,100% reported,edison,10,all,,393525,,,416386,152877,6116,2618,1284,1949,,244659,63738,2639,1137,556,802,,2020-12-05T21:06:46Z,45.33644,D+45,Biden +45,democrat,bidenj,-45.33644,473014,-43,438226,-35.21,california,2020-12-31T11:36:45.374686Z
06015,Del Norte,11452,0,18,18,Released as a separate subtotal as first report of the night,100,11452,100%,100% reported,edison,10,unknown,,8414,,,4677,6461,150,78,33,53,,0,0,0,0,0,0,,2020-12-01T20:40:48Z,15.57806,R+16,Trump +16,republican,trumpd,15.57806,9558,17.3,8770,9.38,california,2020-12-31T11:36:45.374686Z
06017,El Dorado,116138,82522,202,202,Released as a separate subtotal as first report of the night,100,116138,100%,100% reported,edison,10,unknown,,102390,,,51621,61838,1871,460,108,240,,41456,39485,1075,296,68,142,,2020-11-28T03:40:24Z,8.79729,R+9,Trump +9,republican,trumpd,8.79729,95149,13.5,88774,17.81,california,2020-12-31T11:36:45.374686Z
06019,Fresno,364809,231308,384,384,Merged into voters' home precincts and released with cumulative results,100,364809,100%,100% reported,edison,10,all,,227374,,,193025,164464,4031,1474,668,1147,,130464,96873,2133,903,375,560,,2020-11-30T17:40:43Z,7.82903,D+8,Biden +8,democrat,bidenj,-7.82903,287062,-6,258827,-1.79,california,2020-12-31T11:36:45.374686Z
