fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12001,Alachua,142604,127597,64,64,Merged into voters' home precincts and released with cumulative results,100,142604,100%,100% reported,edison,10,all,,106798,,,50972,89704,1390,302,94,70,52,20,43725,82315,1118,254,77,61,47,0,2020-11-24T13:21:45Z,27.16053,D+27,Biden +27,democrat,bidenj,-27.16053,130100,-22.3,120418,-17.36,florida,2021-04-29T07:27:29.837352Z
12003,Baker,14059,9978,9,9,Released as a precinct as first report of the night,100,14059,100%,100% reported,edison,10,all,,8770,,,11911,2037,93,10,3,4,1,0,8513,1465,0,0,0,0,0,0,2020-11-24T13:21:47Z,70.23259,R+70,Trump +70,republican,trumpd,70.23259,12705,64.4,11368,58.62,florida,2021-04-29T07:27:29.837352Z
12005,Bay,93024,28654,44,44,Released as a precinct as first report of the night,100,93024,100%,100% reported,edison,10,unknown,,82646,,,66097,25614,1004,142,45,54,52,16,15999,12239,296,57,16,16,31,0,2020-11-24T13:21:50Z,43.51888,R+44,Trump +44,republican,trumpd,43.51888,88222,45.8,79861,43.61,florida,2021-04-29T07:27:29.837352Z
12007,Bradford,13632,11662,14,14,Released as a separate subtotal as first report of the night,100,13632,100%,100% reported,edison,10,all,,9374,,,10334,3160,110,11,3,7,6,1,9164,2416,67,3,2,6,4,0,2020-11-24T13:21:52Z,52.62617,R+53,Trump +53,republican,trumpd,52.62617,12158,49.3,11635,42.06,florida,2021-04-29T07:27:29.837352Z
12009,Brevard,360764,0,174,174,Released as a separate subtotal as first report of the night,100,360764,100%,100% reported,edison,10,unknown,,228190,,,207883,148549,3178,553,164,222,171,44,0,0,0,0,0,0,0,0,2021-01-26T18:46:30Z,16.44676,R+16,Trump +16,republican,trumpd,16.44676,318141,19.5,285559,12.71,florida,2021-04-29T07:27:29.837352Z
12011,Broward,957672,831693,577,577,Released as a separate subtotal as first report of the night,100,957672,100%,100% reported,edison,10,unknown,,668379,,,333409,618752,3114,1253,417,426,238,63,270318,559844,0,1005,0,335,191,0,2021-01-26T18:55:27Z,29.79548,D+30,Biden +30,democrat,bidenj,-29.79548,837388,-34.9,756422,-34.93,florida,2021-04-29T07:27:29.837352Z
12013,Calhoun,6526,4663,15,15,Released as a precinct as first report of the night,100,6526,100%,100% reported,edison,10,unknown,,5416,,,5274,1209,29,4,4,4,2,0,3710,925,19,3,3,2,1,0,2021-01-26T18:46:40Z,62.2893,R+62,Trump +62,republican,trumpd,62.2893,6128,55.7,6152,43.92,florida,2021-04-29T07:27:29.837352Z
12015,Charlotte,116340,100696,68,68,Released as a precinct as first report of the night,100,116340,100%,100% reported,edison,10,all,,97168,,,73243,42273,565,129,32,49,45,4,61031,39057,396,104,27,43,38,0,2020-11-24T13:22:00Z,26.62025,R+27,Trump +27,republican,trumpd,26.62025,97187,27.5,84682,14.28,florida,2021-04-29T07:27:29.837352Z
12017,Citrus,93208,72480,31,31,Released as a separate subtotal as first report of the night,100,93208,100%,100% reported,edison,10,unknown,,76410,,,65352,27092,548,86,30,42,49,9,47888,24071,364,63,22,31,41,0,2021-01-26T18:52:35Z,41.04798,R+41,Trump +41,republican,trumpd,41.04798,80412,39.4,73935,21.91,florida,2021-04-29T07:27:29.837352Z
12019,Clay,124405,93331,47,47,"Released as first report, then NOT included in cumulative results",100,124405,100%,100% reported,edison,10,some,,97059,,,84480,38317,1286,153,55,45,57,12,61945,30409,777,99,34,30,37,0,2020-11-24T13:22:04Z,37.10703,R+37,Trump +37,republican,trumpd,37.10703,107317,43.9,96589,45.83,florida,2021-04-29T07:27:29.837352Z
12021,Collier,207818,178545,59,59,Released as a separate subtotal as first report of the night,100,207818,100%,100% reported,edison,10,unknown,,162717,,,128950,77621,889,186,50,64,39,19,107535,70113,644,136,33,51,33,0,2021-01-26T18:46:42Z,24.69902,R+25,Trump +25,republican,trumpd,24.69902,172510,25.7,149112,30.06,florida,2021-04-29T07:27:29.837352Z
12023,Columbia,33042,26079,22,22,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,33042,100%,100% reported,edison,10,unknown,,28810,,,23836,8914,224,28,20,12,8,0,18461,7474,144,0,0,0,0,0,2021-01-26T18:46:51Z,45.1607,R+45,Trump +45,republican,trumpd,45.1607,28864,44.2,27163,36.69,florida,2021-04-29T07:27:29.837352Z
12027,DeSoto,12659,9331,15,15,Released as a precinct as first report of the night,100,12659,100%,100% reported,edison,10,all,,8368,,,8313,4259,52,8,11,12,4,0,5902,3370,34,7,8,8,2,0,2020-11-24T13:22:14Z,32.02465,R+32,Trump +32,republican,trumpd,32.02465,10903,27.5,9865,14.32,florida,2021-04-29T07:27:29.837352Z
12029,Dixie,8167,5627,12,12,Released as a separate subtotal as first report of the night,100,8167,100%,100% reported,edison,10,unknown,,5219,,,6759,1365,27,5,2,5,4,0,4523,1104,0,0,0,0,0,0,2021-01-26T18:46:55Z,66.04628,R+66,Trump +66,republican,trumpd,66.04628,7246,62.8,6941,46.88,florida,2021-04-29T07:27:29.837352Z
12031,Duval,492820,0,199,199,Released as a precinct as first report of the night,100,492820,100%,100% reported,edison,10,all,,411733,,,233762,252556,4788,772,328,319,218,77,0,0,0,0,0,0,0,0,2020-11-24T13:22:17Z,3.81356,D+4,Biden +4,democrat,bidenj,-3.81356,436573,1.4,411848,3.61,florida,2021-04-29T07:27:29.837352Z
12033,Escambia,170372,0,80,80,Released as a precinct as first report of the night,100,170372,100%,100% reported,edison,10,unknown,,132013,,,96674,70929,2146,256,137,105,92,33,0,0,0,0,0,0,0,0,2021-01-26T18:50:30Z,15.11105,R+15,Trump +15,republican,trumpd,15.11105,154172,20.3,148502,20.56,florida,2021-04-29T07:27:29.837352Z
12035,Flagler,71716,0,25,25,Released as a precinct as first report of the night,100,71716,100%,100% reported,edison,10,unknown,,48915,,,43043,28161,359,69,29,30,20,5,0,0,0,0,0,0,0,0,2020-11-24T13:22:20Z,20.7513,R+21,Trump +21,republican,trumpd,20.7513,57987,20.4,50595,7.44,florida,2021-04-29T07:27:29.837352Z
12037,Franklin,6849,5119,8,8,Released as a precinct as first report of the night,100,6849,100%,100% reported,edison,10,all,,4651,,,4675,2120,27,12,8,4,3,,3252,1828,18,10,5,4,2,,2020-11-24T13:22:21Z,37.30472,R+37,Trump +37,republican,trumpd,37.30472,6059,39.3,5474,31.51,florida,2021-04-29T07:27:29.837352Z
12039,Gadsden,23762,17995,25,25,Released as a precinct as first report of the night,100,23762,100%,100% reported,edison,10,all,,21954,,,7465,16153,96,21,10,8,9,,5144,12772,51,14,5,5,4,,2020-11-24T13:22:23Z,36.56258,D+37,Biden +37,democrat,bidenj,-36.56258,22214,-37.3,22499,-40.62,florida,2021-04-29T07:27:29.837352Z
12041,Gilchrist,9685,6034,10,10,Released as a precinct as first report of the night,100,9685,100%,100% reported,edison,10,some,,5958,,,7895,1700,61,13,2,6,5,3,4710,1324,0,0,0,0,0,0,2020-11-24T13:22:24Z,63.96489,R+64,Trump +64,republican,trumpd,63.96489,8472,62.3,7909,50.98,florida,2021-04-29T07:27:29.837352Z
12043,Glades,5193,0,13,13,Released as a precinct as first report of the night,100,5193,100%,100% reported,edison,10,unknown,,2314,,,3782,1385,21,4,1,0,0,0,0,0,0,0,0,0,0,0,2021-01-26T18:53:55Z,46.15829,R+46,Trump +46,republican,trumpd,46.15829,4382,39.4,3989,18.58,florida,2021-04-29T07:27:29.837352Z
