fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13001,Appling,8390,6237,9,9,None,100,8390,100%,100% reported,edison,10,all,,4621,,,1784,6570,36,0,1442,4764,31,0,2020-12-04T23:22:16Z,57.0441,R+57,Trump +57,republican,trumpd,57.0441,7012,57.9,7086,49.04,georgia,2021-05-04T17:41:56.389976Z
13003,Atkinson,3155,2174,4,4,None,100,3155,100%,100% reported,edison,10,unknown,,2338,,,825,2300,30,0,575,1583,16,0,2020-11-24T13:25:19Z,46.75119,R+47,Trump +47,republican,trumpd,46.75119,2610,45.2,2902,34.73,georgia,2021-05-04T17:41:56.389976Z
13005,Bacon,4667,4087,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4667,100%,100% reported,edison,10,all,,3600,,,625,4017,25,0,484,3586,17,0,2020-12-04T23:22:45Z,72.68052,R+73,Trump +73,republican,trumpd,72.68052,4029,68.4,3931,58.56,georgia,2021-05-04T17:41:56.389976Z
13007,Baker,1555,1111,5,5,"Released as first report, then NOT included in cumulative results",100,1555,100%,100% reported,edison,10,unknown,,1091,,,652,897,6,0,503,604,4,0,2020-11-24T13:25:22Z,15.75563,R+16,Trump +16,republican,trumpd,15.75563,1440,8.7,1589,-0.57,georgia,2021-05-04T17:41:56.389976Z
13009,Baldwin,18261,14783,14,14,Other,100,18261,100%,100% reported,edison,10,unknown,,14066,,,9140,8903,208,10,7612,7026,145,0,2021-03-06T23:24:00Z,1.29785,D+1.3,Biden +1.3,democrat,bidenj,-1.29785,16116,-1.7,16238,-5.51,georgia,2021-05-04T17:41:56.389976Z
13011,Banks,8805,6974,13,13,None,100,8805,100%,100% reported,edison,10,unknown,,3683,,,932,7795,74,4,779,6141,54,0,2021-01-12T21:52:55Z,77.94435,R+78,Trump +78,republican,trumpd,77.94435,6975,78.1,6195,73.83,georgia,2021-05-04T17:41:56.389976Z
13013,Barrow,37946,30087,8,8,None,100,37946,100%,100% reported,edison,10,unknown,,20877,,,10453,26804,664,25,8733,20916,438,0,2021-01-12T21:53:07Z,43.09018,R+43,Trump +43,republican,trumpd,43.09018,29174,49.8,25199,50.39,georgia,2021-05-04T17:41:56.389976Z
13015,Bartow,50486,37807,17,17,None,100,50486,100%,100% reported,edison,10,all,,25757,,,12091,37672,701,22,9909,27475,423,0,2021-01-12T21:53:20Z,50.66949,R+51,Trump +51,republican,trumpd,50.66949,39733,54.6,35802,51.62,georgia,2021-05-04T17:41:56.389976Z
13017,Ben Hill,6564,5764,3,3,Other,100,6564,100%,100% reported,edison,10,all,,5778,,,2393,4111,60,0,2056,3668,40,0,2020-12-04T23:25:01Z,26.17307,R+26,Trump +26,republican,trumpd,26.17307,5936,27.6,5956,14.84,georgia,2021-05-04T17:41:56.389976Z
13019,Berrien,7744,5543,5,5,Released as a separate subtotal as first report of the night,100,7744,100%,100% reported,edison,10,unknown,,4416,,,1269,6419,55,1,935,4574,34,0,2021-01-12T21:53:29Z,66.5031,R+67,Trump +67,republican,trumpd,66.5031,6613,66.2,6201,57.57,georgia,2021-05-04T17:41:56.389976Z
13021,Bibb,70763,53704,31,31,Released as a separate subtotal in the middle of the tabulation,100,70763,100%,100% reported,edison,10,all,,38674,,,43408,26559,747,49,34648,18609,447,0,2021-01-13T16:51:47Z,23.81047,D+24,Biden +24,democrat,bidenj,-23.81047,62880,-20.3,64718,-20.03,georgia,2021-05-04T17:41:56.389976Z
13023,Bleckley,5710,4447,1,1,Merged into voters' home precincts and released with cumulative results,100,5710,100%,100% reported,edison,10,all,,4032,,,1312,4329,67,2,1016,3384,47,0,2021-01-12T21:54:12Z,52.83713,R+53,Trump +53,republican,trumpd,52.83713,4974,52.6,4907,47.24,georgia,2021-05-04T17:41:56.389976Z
13025,Brantley,7749,5577,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",100,7749,100%,100% reported,edison,10,all,,3280,,,700,6993,56,0,553,4992,32,0,2020-12-04T23:27:59Z,81.21048,R+81,Trump +81,republican,trumpd,81.21048,6301,78.5,6002,67.06,georgia,2021-05-04T17:41:56.389976Z
13027,Brooks,7101,5129,7,7,Released as a precinct as first report of the night,100,7101,100%,100% reported,edison,10,unknown,,5648,,,2791,4261,49,0,2264,2831,34,0,2021-03-07T02:37:59Z,20.70131,R+21,Trump +21,republican,trumpd,20.70131,6336,18.5,6742,6.17,georgia,2021-05-04T17:41:56.389976Z
