fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_pierceb,results_blankenshipd,results_de_la_fuenter,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_pierceb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
16001,Ada,259700,178548,154,154,Merged into voters' home precincts and released with cumulative results,100,259389,100%,100% reported,edison,10,all,,80688,,,130699,120539,5310,1172,875,438,356,311,75310,98696,2932,607,517,265,221,0,2021-01-05T15:14:35Z,3.91221,R+4,Trump +4,republican,trumpd,3.91221,195669,9.2,180562,11.31,idaho,2021-05-09T15:58:18.806021Z
16003,Adams,2586,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2586,100%,100% reported,edison,10,unknown,,936,,,1941,591,34,5,6,6,3,0,0,0,0,0,0,0,0,0,2021-03-07T03:18:49Z,52.20418,R+52,Trump +52,republican,trumpd,52.20418,2183,52.3,2061,40.56,idaho,2021-05-09T15:58:18.806021Z
16005,Bannock,39587,0,54,54,Released as a precinct as first report of the night,100,39553,100%,100% reported,edison,10,all,,14147,,,23331,14682,947,205,212,87,89,34,0,0,0,0,0,0,0,0,2021-01-05T15:15:50Z,21.84808,R+22,Trump +22,republican,trumpd,21.84808,33416,20.5,35264,22.11,idaho,2021-05-09T15:58:18.806021Z
16007,Bear Lake,3316,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3315,100%,100% reported,edison,10,unknown,,670,,,2914,350,25,11,3,8,4,1,0,0,0,0,0,0,0,0,2021-01-05T15:15:56Z,77.32207,R+77,Trump +77,republican,trumpd,77.32207,2928,62.7,2822,77.5,idaho,2021-05-09T15:58:18.806021Z
16009,Benewah,4975,0,11,11,Merged into voters' home precincts and released with cumulative results,100,4973,100%,100% reported,edison,10,unknown,,1083,,,3878,977,58,28,17,9,6,2,0,0,0,0,0,0,0,0,2021-01-05T15:16:03Z,58.31156,R+58,Trump +58,republican,trumpd,58.31156,4185,55.7,3885,36.86,idaho,2021-05-09T15:58:18.806021Z
16011,Bingham,19996,8720,29,29,Released as a precinct as first report of the night,100,20094,100%,100% reported,edison,10,all,,6344,,,15295,4124,307,100,65,56,49,0,5951,2530,138,37,24,19,21,0,2021-01-05T15:16:10Z,55.86617,R+56,Trump +56,republican,trumpd,55.86617,16625,48,17606,54.63,idaho,2021-05-09T15:58:18.806021Z
16013,Blaine,13289,11676,16,16,Released as a precinct as first report of the night,100,13306,100%,100% reported,edison,10,all,,5939,,,4032,8919,168,53,36,47,34,0,3608,7759,158,49,31,40,31,0,2021-01-08T16:50:44Z,36.77478,D+37,Biden +37,democrat,bidenj,-36.77478,10724,-28.7,10194,-20.14,idaho,2021-05-09T15:58:18.806021Z
16015,Boise,4822,0,6,6,Released as a precinct at the end of tabulation,100,4820,100%,100% reported,edison,10,unknown,,1222,,,3485,1204,67,30,15,12,7,2,0,0,0,0,0,0,0,0,2021-01-05T15:16:29Z,47.30402,R+47,Trump +47,republican,trumpd,47.30402,3814,49.7,3446,35.72,idaho,2021-05-09T15:58:18.806021Z
16017,Bonner,27352,14507,32,32,Merged into voters' home precincts and released with cumulative results,100,27352,100%,100% reported,edison,10,all,,7483,,,18369,8310,401,102,60,56,37,17,7692,6507,191,37,27,35,18,0,2020-11-24T13:25:51Z,36.7761,R+37,Trump +37,republican,trumpd,36.7761,20943,35.9,18536,26.26,idaho,2021-05-09T15:58:18.806021Z
16019,Bonneville,54034,28217,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,53995,100%,100% reported,edison,10,unknown,,14317,,,37805,14254,1288,259,186,113,90,39,17024,10278,611,116,87,55,46,0,2021-03-07T03:38:44Z,43.58552,R+44,Trump +44,republican,trumpd,43.58552,44221,40.2,43217,51.77,idaho,2021-05-09T15:58:18.806021Z
