fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17001,Adams,33527,19045,74,74,Released as a separate subtotal at the end of tabulation,100,32202,100%,100% reported,edison,2,some,,8885,,,8633,24220,483,102,64,25,0,6454,12260,221,53,46,11,0,2020-12-08T15:56:42Z,46.49089,R+46,Trump +46,republican,trumpd,46.49089,32310,46.8,30607,35.18,illinois,2021-01-04T11:36:42.359396Z
17003,Alexander,2618,0,11,11,None,87,3010,87%,87% reported,edison,6,unknown,,1150,,,1114,1486,7,5,0,6,0,0,0,0,0,0,0,0,2020-12-16T21:33:56Z,14.20932,R+14,Trump +14,republican,trumpd,14.20932,2820,8.3,3501,-13.65,illinois,2021-01-04T11:36:42.359396Z
17005,Bond,8144,0,24,25,Released as a precinct at the end of tabulation,100,1160,100%,100% reported,edison,6,unknown,,2398,,,2288,5625,158,41,22,10,0,0,0,0,0,0,0,0,2020-12-04T17:41:14Z,40.97495,R+41,Trump +41,republican,trumpd,40.97495,7570,37.3,7336,14.65,illinois,2021-01-04T11:36:42.359396Z
17007,Boone,24979,0,37,38,Other,100,22910,100%,100% reported,edison,4,unknown,,4522,,,10542,13883,360,146,26,22,0,0,0,0,0,0,0,0,2020-12-08T17:43:21Z,13.37524,R+13,Trump +13,republican,trumpd,13.37524,23001,14.3,21365,5.68,illinois,2021-01-04T11:36:42.359396Z
17009,Brown,2525,0,14,14,None,97,2604,97%,97% reported,edison,4,some,,594,,,486,1931,47,10,39,8,4,0,0,0,0,0,0,0,2020-12-04T19:30:38Z,57.22772,R+57,Trump +57,republican,trumpd,57.22772,2379,55.5,2364,30.71,illinois,2021-01-04T11:36:42.359396Z
17011,Bureau,17434,7409,50,50,Merged into voters' home precincts and released with cumulative results,96,18093,96%,96% reported,edison,4,some,,3786,,,6669,10411,209,95,37,13,0,3932,3375,52,33,12,5,0,2020-12-08T15:58:20Z,21.46381,R+21,Trump +21,republican,trumpd,21.46381,16571,19.6,16631,0.18,illinois,2021-01-04T11:36:42.359396Z
17013,Calhoun,2773,0,7,7,Other,98,2827,98%,98% reported,edison,4,all,,710,,,677,2046,36,8,4,1,1,0,0,0,0,0,0,0,2020-12-08T16:24:38Z,49.36891,R+49,Trump +49,republican,trumpd,49.36891,2571,38.2,2576,13.98,illinois,2021-01-04T11:36:42.359396Z
17015,Carroll,8024,0,22,22,Merged into voters' home precincts and released with cumulative results,100,1062,100%,100% reported,edison,6,unknown,,1638,,,2748,5105,111,39,11,10,0,0,0,0,0,0,0,0,2020-12-08T15:59:24Z,29.37438,R+29,Trump +29,republican,trumpd,29.37438,7445,26.7,7386,-1.49,illinois,2021-01-04T11:36:42.359396Z
17017,Cass,5326,0,21,21,Other,95,5603,95%,95% reported,edison,4,some,,1222,,,1615,3625,50,17,6,4,9,0,0,0,0,0,0,0,2020-12-08T16:01:00Z,37.73939,R+38,Trump +38,republican,trumpd,37.73939,5124,31.1,4862,13.45,illinois,2021-01-04T11:36:42.359396Z
17019,Champaign,95568,65966,118,118,None,94,101437,94%,94% reported,edison,4,unknown,,23782,,,57067,35285,1507,671,288,234,516,44428,19687,813,424,169,159,286,2020-12-08T16:56:56Z,22.79215,D+23,Biden +23,democrat,bidenj,-22.79215,91628,-18.3,78359,-7.04,illinois,2021-01-04T11:36:42.359396Z
