fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,30641,0,26,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,30641,100%,100% reported,edison,10,unknown,,4312,,,9158,20886,308,130,120,39,0,0,0,0,0,0,2021-03-06T23:13:04Z,38.27551,R+38,Trump +38,republican,trumpd,38.27551,30654,43.7,29850,31.57,maryland,2021-05-06T18:04:03.068569Z
24003,Anne Arundel,309617,0,202,202,Released as a precinct as first report of the night,100,309617,100%,100% reported,edison,10,none,,61018,,,172823,127821,4652,2693,1247,381,0,0,0,0,0,0,2020-12-09T15:12:49Z,14.53473,D+15,Biden +15,democrat,bidenj,-14.53473,270081,-2.2,260155,0.08,maryland,2021-05-06T18:04:03.068569Z
24005,Baltimore,414932,0,236,236,Released separately AFTER election night,100,414932,100%,100% reported,edison,10,none,,89978,,,258409,146202,4927,3026,1820,548,0,0,0,0,0,0,2020-12-09T15:13:22Z,27.04226,D+27,Biden +27,democrat,bidenj,-27.04226,390682,-17.6,384782,-17,maryland,2021-05-06T18:04:03.068569Z
24510,Baltimore City,237461,0,296,296,Other,100,237461,100%,100% reported,edison,10,unknown,,72816,,,207260,25374,1761,1272,1338,456,0,0,0,0,0,0,2021-03-06T23:13:19Z,76.59616,D+77,Biden +77,democrat,bidenj,-76.59616,239402,-74.1,254005,-76.1,maryland,2021-05-06T18:04:03.068569Z
24009,Calvert,49112,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,49112,100%,100% reported,edison,10,unknown,,11262,,,22587,25346,733,280,127,39,0,0,0,0,0,0,2021-03-06T23:13:20Z,5.61777,R+6,Trump +6,republican,trumpd,5.61777,47408,16.8,45518,7.52,maryland,2021-05-06T18:04:03.068569Z
24011,Caroline,15794,0,8,8,Released as a precinct as first report of the night,100,15794,100%,100% reported,edison,10,unknown,,3784,,,5095,10283,229,65,90,32,0,0,0,0,0,0,2020-12-08T01:49:51Z,32.84792,R+33,Trump +33,republican,trumpd,32.84792,14113,38,13357,23.42,maryland,2021-05-06T18:04:03.068569Z
24013,Carroll,100327,58185,36,36,Released separately AFTER election night,100,100327,100%,100% reported,edison,10,unknown,,16653,,,36456,60218,2028,919,537,169,24488,32426,898,0,283,90,2021-03-06T23:13:26Z,23.68455,R+24,Trump +24,republican,trumpd,23.68455,91848,34.5,87536,32.93,maryland,2021-05-06T18:04:03.068569Z
24015,Cecil,47462,0,28,28,Other,100,47462,100%,100% reported,edison,10,unknown,,9424,,,16809,29439,706,189,229,90,0,0,0,0,0,0,2021-03-06T23:13:32Z,26.61076,R+27,Trump +27,republican,trumpd,26.61076,45269,33.6,42480,19.42,maryland,2021-05-06T18:04:03.068569Z
24017,Charles,89498,0,44,44,Released as a precinct as first report of the night,100,89498,100%,100% reported,edison,10,unknown,,19179,,,62171,25579,769,435,408,136,0,0,0,0,0,0,2020-12-08T01:50:24Z,40.88583,D+41,Biden +41,democrat,bidenj,-40.88583,78303,-30.3,75222,-31.37,maryland,2021-05-06T18:04:03.068569Z
24019,Dorchester,15977,0,39,39,Other,100,15977,100%,100% reported,edison,10,unknown,,3944,,,6857,8764,174,43,97,42,0,0,0,0,0,0,2021-03-06T23:13:37Z,11.93591,R+12,Trump +12,republican,trumpd,11.93591,15225,14.2,15444,4.66,maryland,2021-05-06T18:04:03.068569Z
24021,Frederick,145615,52530,79,79,Released as a precinct as first report of the night,100,145615,100%,100% reported,edison,10,some,,22179,,,77675,63682,2282,1047,686,243,20063,31486,681,0,208,92,2020-12-08T01:50:40Z,9.60959,D+10,Biden +10,democrat,bidenj,-9.60959,125677,2.4,117115,3.12,maryland,2021-05-06T18:04:03.068569Z
24023,Garrett,15611,0,20,20,Released separately AFTER election night,100,15611,100%,100% reported,edison,10,none,,2480,,,3281,12002,212,32,64,20,0,0,0,0,0,0,2020-12-08T01:50:47Z,55.86445,R+56,Trump +56,republican,trumpd,55.86445,14011,58.6,13157,50.31,maryland,2021-05-06T18:04:03.068569Z
24025,Harford,148186,68976,86,86,Released as a separate subtotal as first report of the night,100,148186,100%,100% reported,edison,10,unknown,,26224,,,63095,80930,2473,965,577,146,22216,45623,899,0,200,38,2021-03-06T23:13:42Z,12.03555,R+12,Trump +12,republican,trumpd,12.03555,133672,23,125954,18.41,maryland,2021-05-06T18:04:03.068569Z
24027,Howard,183062,60430,119,119,Released separately AFTER election night,100,183062,100%,100% reported,edison,10,some,,48738,,,129433,48390,2471,1738,785,245,35872,23430,810,0,248,70,2020-12-09T15:05:09Z,44.27079,D+44,Biden +44,democrat,bidenj,-44.27079,162193,-34,153108,-21.97,maryland,2021-05-06T18:04:03.068569Z
24029,Kent,10794,0,11,11,None,100,10794,100%,100% reported,edison,10,none,,3816,,,5329,5195,117,54,68,31,0,0,0,0,0,0,2020-12-09T16:02:33Z,1.24143,D+1.2,Biden +1.2,democrat,bidenj,-1.24143,10021,3,9904,0.28,maryland,2021-05-06T18:04:03.068569Z
24031,Montgomery,533743,0,269,269,Released as a precinct as first report of the night,100,533743,100%,100% reported,edison,10,unknown,,124702,,,419569,101222,4247,4174,3091,1440,0,0,0,0,0,0,2021-03-06T23:13:55Z,59.64425,D+60,Biden +60,democrat,bidenj,-59.64425,478873,-55.4,455992,-43.87,maryland,2021-05-06T18:04:03.068569Z
24033,Prince George's,424855,306363,288,288,None,100,424855,100%,100% reported,edison,10,unknown,,111886,,,379208,37090,1810,2004,3349,1394,278000,24509,982,0,2015,857,2021-03-06T23:14:01Z,80.52583,D+81,Biden +81,democrat,bidenj,-80.52583,390385,-79.7,387744,-80.52,maryland,2021-05-06T18:04:03.068569Z
24035,Queen Anne's,30290,0,12,12,Other,100,30290,100%,100% reported,edison,10,unknown,,6419,,,10709,18741,411,211,164,54,0,0,0,0,0,0,2020-12-08T01:51:46Z,26.517,R+27,Trump +27,republican,trumpd,26.517,26523,34,24888,29.2,maryland,2021-05-06T18:04:03.068569Z
24039,Somerset,10147,0,23,23,None,100,10147,100%,100% reported,edison,10,unknown,,2648,,,4241,5739,82,30,38,17,0,0,0,0,0,0,2021-03-06T23:14:06Z,14.76298,R+15,Trump +15,republican,trumpd,14.76298,9900,11.6,10399,-1.9,maryland,2021-05-06T18:04:03.068569Z
24037,St. Mary's,55665,0,37,37,"As a precinct in the FIRST cumulative report, along with regular precincts",100,55665,100%,100% reported,edison,10,none,,11354,,,23138,30826,1112,326,200,63,0,0,0,0,0,0,2020-12-08T01:51:53Z,13.81119,R+14,Trump +14,republican,trumpd,13.81119,49842,22.3,47824,14.82,maryland,2021-05-06T18:04:03.068569Z
24041,Talbot,22555,0,12,12,Released as a separate subtotal as first report of the night,100,22555,100%,100% reported,edison,10,unknown,,9517,,,11062,10946,274,155,83,35,0,0,0,0,0,0,2020-12-08T01:52:07Z,0.5143,D+0.51,Biden +0.51,democrat,bidenj,-0.5143,20553,10.1,20459,12.37,maryland,2021-05-06T18:04:03.068569Z
