fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_write_ins,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26001,Alcona,7064,0,12,12,Merged into voters' home precincts and released with cumulative results,100,7064,100%,100% reported,edison,10,all,,731,,,2142,4848,50,12,11,1,0,0,0,0,0,0,0,0,2020-11-29T18:42:45Z,38.30691,R+38,Trump +38,republican,trumpd,38.30691,6198,39.8,6104,18,michigan,2021-05-08T21:24:14.670866Z
26003,Alger,5128,0,9,9,Merged into voters' home precincts and released with cumulative results,100,5128,100%,100% reported,edison,10,all,,484,,,2053,3014,41,9,9,0,2,0,0,0,0,0,0,0,2020-11-29T18:43:24Z,18.74025,R+19,Trump +19,republican,trumpd,18.74025,4518,20.4,4618,2.56,michigan,2021-05-08T21:24:14.670866Z
26005,Allegan,67094,0,42,42,Merged into voters' home precincts and released with cumulative results,100,67094,100%,100% reported,edison,10,all,,9594,,,24449,41392,943,118,143,12,37,0,0,0,0,0,0,0,2020-11-29T18:43:59Z,25.25263,R+25,Trump +25,republican,trumpd,25.25263,56120,28.7,52619,19.61,michigan,2021-05-08T21:24:14.670866Z
26007,Alpena,16969,0,19,19,Merged into voters' home precincts and released with cumulative results,100,16969,100%,100% reported,edison,10,all,,2738,,,6000,10686,220,26,28,3,6,0,0,0,0,0,0,0,2020-11-29T18:44:24Z,27.61506,R+28,Trump +28,republican,trumpd,27.61506,14768,28.5,14014,5.34,michigan,2021-05-08T21:24:14.670866Z
26009,Antrim,15949,0,16,16,Merged into voters' home precincts AFTER election night,100,15949,100%,100% reported,edison,10,all,,2188,,,5960,9748,189,16,28,0,8,0,0,0,0,0,0,0,2020-11-29T18:44:48Z,23.75071,R+24,Trump +24,republican,trumpd,23.75071,13667,29.4,13195,21.3,michigan,2021-05-08T21:24:14.670866Z
26011,Arenac,8831,0,15,15,Merged into voters' home precincts and released with cumulative results,100,8831,100%,100% reported,edison,10,all,,563,,,2774,5928,97,17,12,0,3,0,0,0,0,0,0,0,2020-11-29T18:45:31Z,35.71509,R+36,Trump +36,republican,trumpd,35.71509,7729,33.2,7841,4.95,michigan,2021-05-08T21:24:14.670866Z
26013,Baraga,4038,0,8,8,Merged into voters' home precincts and released with cumulative results,100,4038,100%,100% reported,edison,10,all,,489,,,1478,2512,31,5,10,2,0,0,0,0,0,0,0,0,2020-11-29T18:45:56Z,25.60674,R+26,Trump +26,republican,trumpd,25.60674,3518,28.5,3490,8.37,michigan,2021-05-08T21:24:14.670866Z
26015,Barry,35905,0,24,24,Merged into voters' home precincts and released with cumulative results,100,35905,100%,100% reported,edison,10,all,,5623,,,11797,23471,479,59,83,0,16,0,0,0,0,0,0,0,2020-11-29T18:46:24Z,32.51358,R+33,Trump +33,republican,trumpd,32.51358,30517,33.1,28512,18.11,michigan,2021-05-08T21:24:14.670866Z
26017,Bay,60255,0,75,75,Merged into voters' home precincts and released with cumulative results,100,60255,100%,100% reported,edison,10,all,,11503,,,26151,33125,688,102,155,2,32,0,0,0,0,0,0,0,2020-11-29T18:47:06Z,11.57414,R+12,Trump +12,republican,trumpd,11.57414,53274,12.6,53381,-5.56,michigan,2021-05-08T21:24:14.670866Z
26019,Benzie,12262,0,13,13,Merged into voters' home precincts and released with cumulative results,100,12262,100%,100% reported,edison,10,all,,2388,,,5480,6601,128,13,29,2,9,0,0,0,0,0,0,0,2020-11-30T03:04:33Z,9.14206,R+9,Trump +9,republican,trumpd,9.14206,10228,14,9901,3.94,michigan,2021-05-08T21:24:14.670866Z
26021,Berrien,82391,0,62,62,Merged into voters' home precincts and released with cumulative results,100,82391,100%,100% reported,edison,10,unknown,,15349,,,37438,43519,1062,140,173,12,47,0,0,0,0,0,0,0,2021-03-07T03:32:37Z,7.38066,R+7,Trump +7,republican,trumpd,7.38066,72031,12.7,72497,6.54,michigan,2021-05-08T21:24:14.670866Z
26023,Branch,20536,0,22,22,Merged into voters' home precincts and released with cumulative results,100,20536,100%,100% reported,edison,10,all,,2519,,,6159,14064,216,38,47,0,12,0,0,0,0,0,0,0,2020-11-30T03:05:38Z,38.49338,R+38,Trump +38,republican,trumpd,38.49338,17663,38.1,17147,18.21,michigan,2021-05-08T21:24:14.670866Z
