fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29001,Adair,10336,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,10337,100%,100% reported,edison,6,all,,2792,,,6413,3710,157,42,13,1,0,0,0,0,0,0,2020-12-09T03:28:03Z,26.15132,R+26,Trump +26,republican,trumpd,26.15132,10226,24.7,10126,14.14,missouri,2020-12-09T08:27:51.293878Z
29003,Andrew,9752,0,19,20,Released as a precinct in the middle of the night,100,9774,100%,100% reported,edison,6,all,,1074,,,7255,2351,120,19,7,0,0,0,0,0,0,0,2020-12-09T03:28:56Z,50.28712,R+50,Trump +50,republican,trumpd,50.28712,9194,50.3,8306,33.81,missouri,2020-12-09T08:27:51.293878Z
29005,Atchison,2814,2814,6,6,None,100,2770,100%,100% reported,edison,6,unknown,,334,,,2199,564,47,3,1,,2199,564,47,3,1,,2020-11-24T13:22:00Z,58.10235,R+58,Trump +58,republican,trumpd,58.10235,2730,55.6,2709,42.3,missouri,2020-12-09T08:27:51.293878Z
29007,Audrain,10656,0,15,16,Released as a precinct as first report of the night,100,10660,100%,100% reported,edison,6,all,,1222,,,7732,2704,175,27,12,6,0,0,0,0,0,0,2020-12-09T03:32:24Z,47.18468,R+47,Trump +47,republican,trumpd,47.18468,10133,43.5,9952,26.6,missouri,2020-12-09T08:27:51.293878Z
29009,Barry,15598,0,17,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15301,100%,100% reported,edison,2,unknown,,2301,,,12425,2948,180,27,18,,0,0,0,0,0,,2020-11-24T13:22:03Z,60.75779,R+61,Trump +61,republican,trumpd,60.75779,14605,59.7,13806,44.65,missouri,2020-12-09T08:27:51.293878Z
29011,Barton,6077,1052,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6077,100%,100% reported,edison,6,all,,813,,,5168,844,47,13,5,0,795,247,5,4,1,0,2020-11-24T13:22:06Z,71.15353,R+71,Trump +71,republican,trumpd,71.15353,5939,70.1,5746,55.48,missouri,2020-12-09T08:27:51.293878Z
29013,Bates,8438,0,15,16,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8414,100%,100% reported,edison,4,none,,1267,,,6597,1672,120,14,13,22,0,0,0,0,0,0,2020-12-09T03:32:50Z,58.36691,R+58,Trump +58,republican,trumpd,58.36691,8083,54.2,7771,31.69,missouri,2020-12-09T08:27:51.293878Z
29015,Benton,10478,0,8,8,Released as a precinct as first report of the night,100,10047,100%,100% reported,edison,4,all,,2155,,,8106,2179,150,22,12,9,0,0,0,0,0,0,2020-11-24T13:22:09Z,56.56614,R+57,Trump +57,republican,trumpd,56.56614,9590,54.1,9157,34.33,missouri,2020-12-09T08:27:51.293878Z
29017,Bollinger,5983,0,9,9,Released as a precinct as first report of the night,100,5981,100%,100% reported,edison,6,all,,626,,,5167,750,51,13,2,,0,0,0,0,0,,2020-12-08T21:30:53Z,73.82584,R+74,Trump +74,republican,trumpd,73.82584,5676,72.6,5456,52.82,missouri,2020-12-09T08:27:51.293878Z
29019,Boone,91326,0,77,78,Merged into voters' home precincts and released with cumulative results,99,92255,99%,99% reported,edison,4,all,,9142,,,38646,50064,1968,312,140,196,0,0,0,0,0,0,2020-11-24T13:22:12Z,12.50246,D+13,Biden +13,democrat,bidenj,-12.50246,83868,-5.9,79422,-3.08,missouri,2020-12-09T08:27:51.293878Z
29021,Buchanan,36713,0,22,24,Released as a precinct as first report of the night,95,38486,95%,95% reported,edison,2,some,,4203,,,22450,13445,529,127,47,115,0,0,0,0,0,0,2020-11-24T13:22:13Z,24.5281,R+25,Trump +25,republican,trumpd,24.5281,35964,25.9,35106,8.73,missouri,2020-12-09T08:27:51.293878Z
29023,Butler,18165,0,25,26,Released as a precinct as first report of the night,100,18082,100%,100% reported,edison,4,none,,2331,,,14599,3301,187,41,8,29,0,0,0,0,0,0,2020-11-24T13:22:14Z,62.19653,R+62,Trump +62,republican,trumpd,62.19653,17259,61.5,16889,46.69,missouri,2020-12-09T08:27:51.293878Z
29025,Caldwell,4696,0,11,11,None,100,4517,100%,100% reported,edison,2,unknown,,552,,,3725,897,50,7,3,14,0,0,0,0,0,0,2020-11-24T13:22:14Z,60.22147,R+60,Trump +60,republican,trumpd,60.22147,4312,55.5,4167,33.81,missouri,2020-12-09T08:27:51.293878Z
29027,Callaway,21178,4506,28,28,"As a precinct in the FIRST cumulative report, along with regular precincts",100,21096,100%,100% reported,edison,6,unknown,,2664,,,14812,5868,371,64,20,43,2378,2063,40,13,4,8,2020-11-24T13:22:16Z,42.23251,R+42,Trump +42,republican,trumpd,42.23251,19333,41.7,18232,31.12,missouri,2020-12-09T08:27:51.293878Z
29029,Camden,24812,6636,20,20,Released as a precinct as first report of the night,100,24774,100%,100% reported,edison,6,all,,5960,,,18850,5652,255,32,23,,4204,2387,36,4,5,,2020-12-08T21:30:53Z,53.192,R+53,Trump +53,republican,trumpd,53.192,22680,53.7,21945,39.34,missouri,2020-12-09T08:27:51.293878Z
29031,Cape Girardeau,40309,0,36,36,Released as a precinct as first report of the night,99,40742,99%,99% reported,edison,2,unknown,,4680,,,28907,10760,520,84,38,,0,0,0,0,0,,2020-12-08T21:30:52Z,45.01972,R+45,Trump +45,republican,trumpd,45.01972,37311,49.7,35716,43.8,missouri,2020-12-09T08:27:51.293878Z
29033,Carroll,4532,0,12,13,Released as a precinct as first report of the night,99,4569,99%,99% reported,edison,2,unknown,,694,,,3706,786,32,6,2,,0,0,0,0,0,,2020-12-08T21:30:52Z,64.43071,R+64,Trump +64,republican,trumpd,64.43071,4361,62.7,4304,44.56,missouri,2020-12-09T08:27:51.293878Z
29035,Carter,2906,538,6,6,None,100,2906,100%,100% reported,edison,6,all,,512,,,2451,418,18,6,4,9,391,141,2,2,2,0,2020-11-24T13:22:23Z,69.95871,R+70,Trump +70,republican,trumpd,69.95871,2850,66.2,2799,43.73,missouri,2020-12-09T08:27:51.293878Z
29037,Cass,57524,0,41,41,Released as a precinct as first report of the night,100,57524,100%,100% reported,edison,6,all,,5946,,,37172,19035,907,162,79,169,0,0,0,0,0,0,2020-11-24T13:22:24Z,31.52945,R+32,Trump +32,republican,trumpd,31.52945,51410,35.5,48913,28.35,missouri,2020-12-09T08:27:51.293878Z
29039,Cedar,7043,1374,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6588,100%,100% reported,edison,4,all,,1147,,,5788,1145,80,13,17,,937,421,11,1,4,,2020-12-08T21:30:52Z,65.92361,R+66,Trump +66,republican,trumpd,65.92361,6327,63.4,6045,46.96,missouri,2020-12-09T08:27:51.293878Z
29041,Chariton,4076,540,12,13,Released as a precinct as first report of the night,100,4074,100%,100% reported,edison,6,unknown,,437,,,3111,916,40,4,5,,318,218,2,1,1,,2020-12-08T21:30:52Z,53.85182,R+54,Trump +54,republican,trumpd,53.85182,3969,52,3821,27.82,missouri,2020-12-09T08:27:51.293878Z
29043,Christian,46904,0,26,26,Released as a precinct as first report of the night,100,44823,100%,100% reported,edison,2,unknown,,6005,,,34904,11126,638,82,54,100,0,0,0,0,0,0,2020-11-24T13:22:31Z,50.69504,R+51,Trump +51,republican,trumpd,50.69504,41863,53.6,37964,46.52,missouri,2020-12-09T08:27:51.293878Z
