fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
30001,Beaverhead,5661,0,16,16,Merged into voters' home precincts AFTER election night,100,5665,100%,100% reported,edison,10,all,,4174,,,3923,1608,130,0,0,0,0,0,2020-11-24T13:22:15Z,40.89384,R+41,Trump +41,republican,trumpd,40.89384,4849,45.6,4812,39.86,montana,2021-05-06T23:29:45.969757Z
30003,Big Horn,4787,0,19,19,Released as a separate subtotal as first report of the night,100,4794,100%,100% reported,edison,10,unknown,,2040,,,2207,2491,86,3,0,0,0,0,2021-03-06T23:15:12Z,5.93273,D+6,Biden +6,democrat,bidenj,-5.93273,4237,-5.7,4626,-26.26,montana,2021-05-06T23:29:45.969757Z
30005,Blaine,3118,0,8,8,Merged into voters' home precincts AFTER election night,99,3135,99%,99% reported,edison,10,all,,1576,,,1469,1589,59,1,0,0,0,0,2021-01-15T20:20:37Z,3.84862,D+4,Biden +4,democrat,bidenj,-3.84862,2684,2.5,2859,-15.32,montana,2021-05-06T23:29:45.969757Z
30007,Broadwater,4097,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4110,100%,100% reported,edison,10,all,,2206,,,3173,835,89,0,0,0,0,0,2020-12-01T13:56:14Z,57.06615,R+57,Trump +57,republican,trumpd,57.06615,3133,56.7,3011,46.1,montana,2021-05-06T23:29:45.969757Z
30009,Carbon,7053,0,13,13,Merged into voters' home precincts and released with cumulative results,99,7101,99%,99% reported,edison,10,all,,4579,,,4468,2421,163,1,0,0,0,0,2021-01-15T20:20:15Z,29.02311,R+29,Trump +29,republican,trumpd,29.02311,5991,32,5847,23.72,montana,2021-05-06T23:29:45.969757Z
30011,Carter,864,0,4,4,Merged into voters' home precincts and released with cumulative results,100,864,100%,100% reported,edison,10,unknown,,414,,,775,74,15,0,0,0,0,0,2020-11-24T13:22:22Z,81.13426,R+81,Trump +81,republican,trumpd,81.13426,786,77.4,796,73.12,montana,2021-05-06T23:29:45.969757Z
30013,Cascade,39885,0,23,23,Merged into voters' home precincts and released with cumulative results,100,40039,100%,100% reported,edison,10,unknown,,42859,,,23315,15456,1114,0,0,0,0,0,2021-03-06T23:15:25Z,19.70415,R+20,Trump +20,republican,trumpd,19.70415,34571,21.6,34576,9,montana,2021-05-06T23:29:45.969757Z
30015,Chouteau,2965,0,9,9,Merged into voters' home precincts and released with cumulative results,99,2992,99%,99% reported,edison,10,all,,2205,,,1891,991,83,0,0,0,0,0,2021-01-15T20:21:07Z,30.35413,R+30,Trump +30,republican,trumpd,30.35413,2603,36.4,2821,27.65,montana,2021-05-06T23:29:45.969757Z
30017,Custer,5860,0,14,14,Merged into voters' home precincts AFTER election night,100,5883,100%,100% reported,edison,10,unknown,,3874,,,4205,1514,141,0,0,0,0,0,2021-01-15T20:20:59Z,45.9215,R+46,Trump +46,republican,trumpd,45.9215,5185,47.8,5365,28.7,montana,2021-05-06T23:29:45.969757Z
30019,Daniels,1014,0,4,4,Merged into voters' home precincts and released with cumulative results,98,1030,98%,98% reported,edison,10,unknown,,595,,,799,195,20,0,0,0,0,0,2020-11-24T13:22:26Z,59.56607,R+60,Trump +60,republican,trumpd,59.56607,962,58.4,1007,49.95,montana,2021-05-06T23:29:45.969757Z
30021,Dawson,4825,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4837,100%,100% reported,edison,10,all,,4322,,,3758,962,105,0,0,0,0,0,2021-01-15T20:21:21Z,57.94819,R+58,Trump +58,republican,trumpd,57.94819,4409,57.5,4423,40.92,montana,2021-05-06T23:29:45.969757Z
30023,Deer Lodge,4891,0,14,14,Merged into voters' home precincts and released with cumulative results,100,4891,100%,100% reported,edison,10,some,,3414,,,2186,2562,143,0,0,0,0,0,2020-12-01T13:58:20Z,7.68759,D+8,Biden +8,democrat,bidenj,-7.68759,4206,-7,4460,-31.66,montana,2021-05-06T23:29:45.969757Z
30025,Fallon,1575,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1576,100%,100% reported,edison,10,unknown,,899,,,1375,172,28,0,0,0,0,0,2020-11-24T13:22:32Z,76.38095,R+76,Trump +76,republican,trumpd,76.38095,1484,75.8,1406,63.37,montana,2021-05-06T23:29:45.969757Z
30027,Fergus,6507,0,16,16,None,100,6534,100%,100% reported,edison,10,unknown,,5078,,,4869,1496,142,0,0,0,0,0,2021-01-15T20:33:33Z,51.83648,R+52,Trump +52,republican,trumpd,51.83648,5840,52.5,6071,43.11,montana,2021-05-06T23:29:45.969757Z
30029,Flathead,59938,0,42,42,Merged into voters' home precincts and released with cumulative results,99,60258,99%,99% reported,edison,10,some,,38453,,,38321,20274,1341,2,0,0,0,0,2021-01-15T20:22:23Z,30.10945,R+30,Trump +30,republican,trumpd,30.10945,47496,35.7,43476,33.16,montana,2021-05-06T23:29:45.969757Z
30031,Gallatin,70988,0,32,32,Merged into voters' home precincts and released with cumulative results,99,71507,99%,99% reported,edison,10,unknown,,51851,,,31696,37044,2239,9,0,0,0,0,2021-01-15T20:22:14Z,7.53367,D+8,Biden +8,democrat,bidenj,-7.53367,53819,-0.8,47908,5,montana,2021-05-06T23:29:45.969757Z
30033,Garfield,813,0,4,4,Merged into voters' home precincts and released with cumulative results,100,813,100%,100% reported,edison,10,unknown,,432,,,764,41,8,0,0,0,0,0,2020-11-24T13:22:35Z,88.92989,R+89,Trump +89,republican,trumpd,88.92989,718,86.2,701,79.32,montana,2021-05-06T23:29:45.969757Z
