fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
31001,Adams,14653,6766,29,29,Released as a precinct as first report of the night,100,14602,100%,100% reported,edison,10,unknown,,4675,,,10085,4213,304,51,3669,2945,152,0,2021-01-19T18:11:57Z,40.07371,R+40,Trump +40,republican,trumpd,40.07371,13513,44.3,12670,33.58,nebraska,2021-04-30T18:38:10.614550Z
31003,Antelope,3587,0,14,14,Other,100,3583,100%,100% reported,edison,10,unknown,,934,,,3093,452,38,4,0,0,0,0,2021-01-19T18:12:30Z,73.62699,R+74,Trump +74,republican,trumpd,73.62699,3281,71.6,3232,62.65,nebraska,2021-04-30T18:38:10.614550Z
31005,Arthur,285,0,1,1,Merged into voters' home precincts and released with cumulative results,100,284,100%,100% reported,edison,10,unknown,,66,,,260,21,3,1,0,0,0,0,2021-01-19T18:12:38Z,83.85965,R+84,Trump +84,republican,trumpd,83.85965,273,83.2,262,75.19,nebraska,2021-04-30T18:38:10.614550Z
31007,Banner,411,0,1,1,Released as a separate subtotal at the end of tabulation,100,410,100%,100% reported,edison,10,unknown,,205,,,362,43,5,1,0,0,0,0,2021-01-19T21:50:45Z,77.61557,R+78,Trump +78,republican,trumpd,77.61557,402,84.1,411,70.8,nebraska,2021-04-30T18:38:10.614550Z
31009,Blaine,317,0,1,1,Released as a separate subtotal at the end of tabulation,100,317,100%,100% reported,edison,10,all,,230,,,280,35,2,0,0,0,0,0,2021-01-19T21:51:13Z,77.28707,R+77,Trump +77,republican,trumpd,77.28707,317,77.6,303,78.88,nebraska,2021-04-30T18:38:10.614550Z
31011,Boone,3226,0,9,9,Released as a precinct as first report of the night,100,3217,100%,100% reported,edison,10,unknown,,1536,,,2653,499,65,9,0,0,0,0,2021-01-19T21:51:26Z,66.76999,R+67,Trump +67,republican,trumpd,66.76999,2905,64.9,2806,54.28,nebraska,2021-04-30T18:38:10.614550Z
31013,Box Butte,5200,0,10,10,Released as a precinct at the end of tabulation,100,5181,100%,100% reported,edison,10,unknown,,2298,,,4002,1051,128,19,0,0,0,0,2021-01-19T21:51:53Z,56.75,R+57,Trump +57,republican,trumpd,56.75,4924,53.9,4705,25.02,nebraska,2021-04-30T18:38:10.614550Z
31015,Boyd,1155,0,4,4,Released as a precinct as first report of the night,100,1153,100%,100% reported,edison,10,unknown,,379,,,1010,135,8,2,0,0,0,0,2021-01-19T18:13:22Z,75.75758,R+76,Trump +76,republican,trumpd,75.75758,1156,74,1071,63.96,nebraska,2021-04-30T18:38:10.614550Z
31017,Brown,1684,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1679,100%,100% reported,edison,10,unknown,,589,,,1470,191,18,5,0,0,0,0,2021-01-19T21:52:43Z,75.95012,R+76,Trump +76,republican,trumpd,75.95012,1597,77.1,1555,69.32,nebraska,2021-04-30T18:38:10.614550Z
31019,Buffalo,23711,9661,29,29,Released as a separate subtotal as first report of the night,100,23589,100%,100% reported,edison,10,all,,5402,,,16640,6350,599,122,5464,3990,207,0,2021-01-19T21:52:55Z,43.39758,R+43,Trump +43,republican,trumpd,43.39758,21129,46.4,19453,42.18,nebraska,2021-04-30T18:38:10.614550Z
31021,Burt,3739,0,3,3,Released as a precinct as first report of the night,100,3731,100%,100% reported,edison,10,unknown,,925,,,2580,1063,88,8,0,0,0,0,2021-01-19T21:53:36Z,40.57235,R+41,Trump +41,republican,trumpd,40.57235,3558,40.4,3375,21.87,nebraska,2021-04-30T18:38:10.614550Z
31023,Butler,4518,0,12,12,Released as a precinct as first report of the night,100,4498,100%,100% reported,edison,10,unknown,,1013,,,3542,873,83,20,0,0,0,0,2021-01-19T21:55:52Z,59.07481,R+59,Trump +59,republican,trumpd,59.07481,3981,60,3859,43.87,nebraska,2021-04-30T18:38:10.614550Z
31025,Cass,15326,5865,30,30,Released as a separate subtotal as first report of the night,100,15284,100%,100% reported,edison,10,some,,4685,,,10121,4737,426,42,3012,2703,150,0,2021-01-19T21:56:05Z,35.12984,R+35,Trump +35,republican,trumpd,35.12984,12933,38.4,12180,26.18,nebraska,2021-04-30T18:38:10.614550Z
31027,Cedar,5015,0,13,13,Released as a precinct as first report of the night,100,4996,100%,100% reported,edison,10,unknown,,4030,,,4174,725,97,19,0,0,0,0,2021-01-19T21:56:13Z,68.77368,R+69,Trump +69,republican,trumpd,68.77368,4420,67,4334,53.53,nebraska,2021-04-30T18:38:10.614550Z
31029,Chase,2000,0,6,6,Released as a separate subtotal as first report of the night,100,1993,100%,100% reported,edison,10,unknown,,614,,,1740,226,27,7,0,0,0,0,2021-01-19T21:56:25Z,75.7,R+76,Trump +76,republican,trumpd,75.7,1898,77.8,1867,71.24,nebraska,2021-04-30T18:38:10.614550Z
31031,Cherry,3269,0,20,20,Merged into voters' home precincts and released with cumulative results,100,3265,100%,100% reported,edison,10,unknown,,3326,,,2844,373,48,4,0,0,0,0,2021-01-19T21:56:35Z,75.58887,R+76,Trump +76,republican,trumpd,75.58887,3118,74,3064,69.22,nebraska,2021-04-30T18:38:10.614550Z
31033,Cheyenne,4776,0,10,10,Released as a precinct as first report of the night,100,4765,100%,100% reported,edison,10,unknown,,1955,,,3813,855,97,11,0,0,0,0,2021-01-19T21:57:01Z,61.93467,R+62,Trump +62,republican,trumpd,61.93467,4711,62.7,4649,50.87,nebraska,2021-04-30T18:38:10.614550Z
31035,Clay,3570,0,12,12,Released as a precinct as first report of the night,100,3558,100%,100% reported,edison,10,unknown,,699,,,2848,632,78,12,0,0,0,0,2021-01-19T21:57:13Z,62.07283,R+62,Trump +62,republican,trumpd,62.07283,3065,63.5,2947,53.1,nebraska,2021-04-30T18:38:10.614550Z
31037,Colfax,3726,1506,6,6,"Released as first report, then NOT included in cumulative results",100,3726,100%,100% reported,edison,10,some,,1195,,,2636,1025,56,9,890,581,28,7,2021-01-19T21:57:24Z,43.23671,R+43,Trump +43,republican,trumpd,43.23671,3214,40.8,3069,35.26,nebraska,2021-04-30T18:38:10.614550Z
31039,Cuming,4459,0,8,8,None,100,4451,100%,100% reported,edison,10,unknown,,1174,,,3507,870,74,8,0,0,0,0,2021-01-19T21:57:44Z,59.13882,R+59,Trump +59,republican,trumpd,59.13882,4074,59,3976,46.4,nebraska,2021-04-30T18:38:10.614550Z
31041,Custer,6010,0,30,30,Released as a precinct in the middle of the night,100,5993,100%,100% reported,edison,10,unknown,,1726,,,5090,786,117,17,0,0,0,0,2021-01-19T21:57:58Z,71.61398,R+72,Trump +72,republican,trumpd,71.61398,5652,71.7,5498,58.44,nebraska,2021-04-30T18:38:10.614550Z
31043,Dakota,6817,0,14,14,Released as a precinct as first report of the night,100,6794,100%,100% reported,edison,10,unknown,,2150,,,3926,2744,124,23,0,0,0,0,2021-01-19T21:58:12Z,17.33901,R+17,Trump +17,republican,trumpd,17.33901,6279,20.7,6136,2.8,nebraska,2021-04-30T18:38:10.614550Z
31045,Dawes,4151,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4121,100%,100% reported,edison,10,unknown,,2669,,,2931,1082,108,30,0,0,0,0,2021-01-19T21:58:31Z,44.54348,R+45,Trump +45,republican,trumpd,44.54348,3676,49.8,3728,36.11,nebraska,2021-04-30T18:38:10.614550Z
31047,Dawson,9191,3382,21,21,Released as a precinct as first report of the night,100,9178,100%,100% reported,edison,10,unknown,,2261,,,6524,2497,157,13,1982,1328,72,0,2021-01-19T21:58:44Z,43.8146,R+44,Trump +44,republican,trumpd,43.8146,8635,44.6,7859,41.49,nebraska,2021-04-30T18:38:10.614550Z
