fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34001,Atlantic,140441,114510,151,151,Released separately AFTER election night,100,140441,100%,100% reported,edison,10,unknown,,14118,,,73808,64438,958,410,367,177,108,103,72,61032,51884,683,294,274,120,88,84,51,2020-12-07T23:30:00Z,6.67184,D+7,Biden +7,democrat,bidenj,-6.67184,118041,-7,113344,-16.83,new-jersey,2021-05-02T09:31:12.274617Z
34003,Bergen,497460,428024,561,561,Merged into voters' home precincts AFTER election night,100,497460,100%,100% reported,edison,10,unknown,,45653,,,285967,204417,2852,1611,1375,384,284,327,243,250139,171754,2382,1611,1137,289,245,269,198,2020-12-07T23:30:06Z,16.39328,D+16,Biden +16,democrat,bidenj,-16.39328,422213,-13.2,385990,-11.32,new-jersey,2021-05-02T09:31:12.274617Z
34005,Burlington,262650,203530,365,365,Merged into voters' home precincts and released with cumulative results,100,262650,100%,100% reported,edison,10,some,,31397,,,154595,103345,2206,1153,605,174,130,360,82,126131,74502,1449,538,409,114,85,249,53,2020-12-07T21:49:07Z,19.51266,D+20,Biden +20,democrat,bidenj,-19.51266,221283,-14.7,216339,-18.02,new-jersey,2021-05-02T09:31:12.274617Z
34007,Camden,265599,0,345,345,Released separately AFTER election night,100,265599,100%,100% reported,edison,10,unknown,,59568,,,175065,86207,1884,983,781,199,151,216,113,0,0,0,0,0,0,0,0,0,2020-12-02T15:47:12Z,33.4557,D+33,Biden +33,democrat,bidenj,-33.4557,229047,-32.3,225949,-37.27,new-jersey,2021-05-02T09:31:12.274617Z
34009,Cape May,57933,49516,127,127,Merged into voters' home precincts and released with cumulative results,100,57933,100%,100% reported,edison,10,unknown,,9231,,,23941,33158,311,219,140,19,59,31,55,21159,27756,215,174,105,10,43,20,34,2020-12-07T23:29:34Z,15.90976,R+16,Trump +16,republican,trumpd,15.90976,49257,19.7,48093,8.58,new-jersey,2021-05-02T09:31:12.274617Z
34011,Cumberland,62575,17519,92,92,Released separately AFTER election night,100,62575,100%,100% reported,edison,10,unknown,,5984,,,32742,28952,397,167,139,26,71,32,49,11098,6267,63,28,21,7,15,9,11,2020-12-07T23:29:38Z,6.05673,D+6,Biden +6,democrat,bidenj,-6.05673,54331,-6.1,55369,-24.2,new-jersey,2021-05-02T09:31:12.274617Z
34013,Essex,345311,0,550,550,Released as a separate subtotal as first report of the night,100,345311,100%,100% reported,edison,10,unknown,,24131,,,266820,75475,1296,0,978,278,104,116,244,0,0,0,0,0,0,0,0,0,2020-12-07T23:28:39Z,55.41237,D+55,Biden +55,democrat,bidenj,-55.41237,312884,-56.8,303295,-56.78,new-jersey,2021-05-02T09:31:12.274617Z
34015,Gloucester,173453,149317,229,229,Merged into voters' home precincts and released with cumulative results,100,173453,100%,100% reported,edison,10,unknown,,25391,,,86702,83340,1616,799,446,82,149,122,197,76925,69839,1181,589,349,67,122,98,147,2020-12-07T23:30:13Z,1.93828,D+1.9,Biden +1.9,democrat,bidenj,-1.93828,141254,0.5,135570,-10.74,new-jersey,2021-05-02T09:31:12.274617Z
34017,Hudson,250458,0,454,454,Released as a separate subtotal as first report of the night,100,250458,100%,100% reported,edison,10,unknown,,14745,,,181452,65698,1252,608,782,205,251,102,108,0,0,0,0,0,0,0,0,0,2020-12-07T23:29:44Z,46.21693,D+46,Biden +46,democrat,bidenj,-46.21693,220542,-52.1,197693,-56.02,new-jersey,2021-05-02T09:31:12.274617Z
34019,Hunterdon,84673,72648,116,116,Released as a separate subtotal as first report of the night,100,84673,100%,100% reported,edison,10,some,,13401,,,39457,43153,985,431,410,44,77,77,39,35318,35808,698,326,314,38,59,57,30,2020-11-24T13:24:24Z,4.36503,R+4,Trump +4,republican,trumpd,4.36503,71660,13.7,66624,17.73,new-jersey,2021-05-02T09:31:12.274617Z
34021,Mercer,177223,0,243,243,None,100,177223,100%,100% reported,edison,10,unknown,,21542,,,122532,51641,1427,619,564,125,91,88,136,0,0,0,0,0,0,0,0,0,2020-12-07T23:28:46Z,40.00102,D+40,Biden +40,democrat,bidenj,-40.00102,158058,-37.1,155355,-36.7,new-jersey,2021-05-02T09:31:12.274617Z
34023,Middlesex,375692,0,615,615,Other,100,375692,100%,100% reported,edison,10,unknown,,56703,,,226250,143467,2554,1330,1221,249,198,247,176,0,0,0,0,0,0,0,0,0,2020-12-07T23:30:19Z,22.03481,D+22,Biden +22,democrat,bidenj,-22.03481,328557,-21.3,301860,-27.58,new-jersey,2021-05-02T09:31:12.274617Z
34025,Monmouth,378390,0,511,511,Merged into voters' home precincts and released with cumulative results,100,378390,100%,100% reported,edison,10,some,,47571,,,181291,191808,2708,239,1414,181,340,227,182,0,0,0,0,0,0,0,0,0,2020-11-24T13:24:25Z,2.77941,R+3,Trump +3,republican,trumpd,2.77941,317750,9.3,284557,5.05,new-jersey,2021-05-02T09:31:12.274617Z
34027,Morris,300917,0,396,396,Merged into voters' home precincts and released with cumulative results,100,300917,100%,100% reported,edison,10,unknown,,33525,,,153881,141134,2436,1595,1005,253,224,207,182,0,0,0,0,0,0,0,0,0,2020-12-07T23:30:43Z,4.23605,D+4,Biden +4,democrat,bidenj,-4.23605,253537,4.3,227885,10.88,new-jersey,2021-05-02T09:31:12.274617Z
34029,Ocean,342746,269888,413,413,Released as a separate subtotal as first report of the night,100,342746,100%,100% reported,edison,10,unknown,,43803,,,119456,217740,2469,1230,1050,49,494,140,118,99692,166501,1562,817,714,33,367,109,93,2020-12-07T23:30:29Z,28.67546,R+29,Trump +29,republican,trumpd,28.67546,276725,33.2,251853,17.54,new-jersey,2021-05-02T09:31:12.274617Z
34031,Passaic,224330,111703,284,284,None,100,224330,100%,100% reported,edison,10,unknown,,17333,,,129097,92009,1103,623,805,161,108,145,279,67604,42806,422,252,334,65,45,63,112,2020-12-07T23:29:51Z,16.53279,D+17,Biden +17,democrat,bidenj,-16.53279,196228,-22.4,181988,-28.25,new-jersey,2021-05-02T09:31:12.274617Z
34033,Salem,34042,0,45,45,None,100,34042,100%,100% reported,edison,10,some,,3501,,,14479,18827,406,120,93,17,40,40,20,0,0,0,0,0,0,0,0,0,2020-12-02T16:36:27Z,12.77246,R+13,Trump +13,republican,trumpd,12.77246,29853,15,29622,-1.3,new-jersey,2021-05-02T09:31:12.274617Z
34035,Somerset,186891,0,265,265,Released as a separate subtotal as first report of the night,100,186891,100%,100% reported,edison,10,some,,24227,,,111173,71996,1641,1032,620,116,133,115,65,0,0,0,0,0,0,0,0,0,2020-12-07T21:59:12Z,20.96249,D+21,Biden +21,democrat,bidenj,-20.96249,157092,-12.8,143180,-5.58,new-jersey,2021-05-02T09:31:12.274617Z
34037,Sussex,88355,76645,119,119,Merged into voters' home precincts and released with cumulative results,100,88352,100%,100% reported,edison,10,some,,9122,,,34481,51701,1094,392,352,91,91,103,50,30875,44055,859,306,281,71,75,82,41,2021-03-11T21:26:01Z,19.48956,R+19,Trump +19,republican,trumpd,19.48956,75158,29.9,68194,21.29,new-jersey,2021-05-02T09:31:12.274617Z
