fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36001,Albany,153586,0,317,317,Merged into voters' home precincts AFTER election night,100,154101,100%,100% reported,edison,10,all,,,,,99474,51081,1523,779,595,134,0,0,0,0,0,0,2020-12-15T14:11:44Z,31.50873,D+32,Biden +32,democrat,bidenj,-31.50873,139818,-25.2,135767,-31.3,new-york,2021-04-29T12:39:28.156787Z
36003,Allegany,20716,0,34,34,Merged into voters' home precincts AFTER election night,100,20782,100%,100% reported,edison,10,all,,,,,6048,14135,338,88,92,15,0,0,0,0,0,0,2020-12-15T14:12:18Z,39.03746,R+39,Trump +39,republican,trumpd,39.03746,18692,40.9,16953,25.08,new-york,2021-04-29T12:39:28.156787Z
36005,Bronx,425883,0,959,959,Merged into voters' home precincts AFTER election night,100,425715,100%,100% reported,edison,10,all,,,,,355374,67740,775,1420,406,168,0,0,0,0,0,0,2020-12-15T14:12:31Z,67.53827,D+68,Biden +68,democrat,bidenj,-67.53827,399522,-79.1,370935,-83.37,new-york,2021-04-29T12:39:28.156787Z
36047,Brooklyn,913690,0,1730,1730,Merged into voters' home precincts AFTER election night,100,913246,100%,100% reported,edison,10,all,,,,,703310,202772,2504,3978,682,444,0,0,0,0,0,0,2020-12-15T14:16:08Z,54.78204,D+55,Biden +55,democrat,bidenj,-54.78204,805605,-62,730534,-65.05,new-york,2021-04-29T12:39:28.156787Z
36007,Broome,92775,20377,141,141,Merged into voters' home precincts AFTER election night,100,92794,100%,100% reported,edison,10,unknown,,,,,47002,43791,1103,432,371,76,14620,5369,196,115,77,0,2021-04-02T12:43:14Z,3.46106,D+3,Biden +3,democrat,bidenj,-3.46106,86072,2,81565,-5.31,new-york,2021-04-29T12:39:28.156787Z
36009,Cattaraugus,34760,0,51,51,Merged into voters' home precincts AFTER election night,100,34845,100%,100% reported,edison,10,all,,,,,11879,22155,450,113,154,9,0,0,0,0,0,0,2020-12-15T14:12:50Z,29.56272,R+30,Trump +30,republican,trumpd,29.56272,31161,32.7,29767,13.17,new-york,2021-04-29T12:39:28.156787Z
36011,Cayuga,36754,6137,47,47,Merged into voters' home precincts AFTER election night,100,36421,100%,100% reported,edison,10,all,,,,,16359,19632,401,185,163,14,4150,1856,64,30,37,0,2021-04-02T13:26:14Z,8.90515,R+9,Trump +9,republican,trumpd,8.90515,33172,11.6,31161,-11.4,new-york,2021-04-29T12:39:28.156787Z
36013,Chautauqua,59196,0,55,55,Merged into voters' home precincts AFTER election night,100,59304,100%,100% reported,edison,10,all,,,,,23088,34853,756,203,272,24,0,0,0,0,0,0,2021-04-02T13:23:33Z,19.87465,R+20,Trump +20,republican,trumpd,19.87465,54234,23.1,52852,7.87,new-york,2021-04-29T12:39:28.156787Z
36015,Chemung,39410,0,89,89,Merged into voters' home precincts AFTER election night,100,39410,100%,100% reported,edison,10,unknown,,,,,16636,21922,560,117,162,13,0,0,0,0,0,0,2020-12-04T16:34:08Z,13.41284,R+13,Trump +13,republican,trumpd,13.41284,36119,17.6,35010,2.33,new-york,2021-04-29T12:39:28.156787Z
36017,Chenango,22306,4984,31,31,Merged into voters' home precincts AFTER election night,100,22282,100%,100% reported,edison,10,unknown,,,,,8300,13496,316,107,80,7,3125,1728,61,37,26,7,2021-04-02T12:53:02Z,23.29418,R+23,Trump +23,republican,trumpd,23.29418,20160,25.5,19314,3.09,new-york,2021-04-29T12:39:28.156787Z
