fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42001,Adams,56714,0,50,50,Merged into voters' home precincts and released with cumulative results,100,56714,100%,100% reported,edison,10,some,,3456,,,18207,37523,810,174,0,0,0,0,2020-12-08T22:15:45Z,34.05861,R+34,Trump +34,republican,trumpd,34.05861,47990,35.8,42457,27.5,pennsylvania,2021-04-30T02:52:37.309689Z
42003,Allegheny,724800,345031,1323,1323,Merged into voters' home precincts and released with cumulative results,100,724800,100%,100% reported,edison,10,unknown,,44826,,,430759,282913,8361,2767,274774,67164,3093,0,2020-12-09T14:22:11Z,20.39818,D+20,Biden +20,democrat,bidenj,-20.39818,657189,-16.5,622081,-14.57,pennsylvania,2021-04-30T02:52:37.309689Z
42005,Armstrong,36370,0,62,62,Merged into voters' home precincts AFTER election night,100,36370,100%,100% reported,edison,10,unknown,,2059,,,8457,27489,424,0,0,0,0,0,2020-12-09T14:18:19Z,52.32884,R+52,Trump +52,republican,trumpd,52.32884,31864,51.2,29602,37.49,pennsylvania,2021-04-30T02:52:37.309689Z
42007,Beaver,94122,0,129,129,Merged into voters' home precincts and released with cumulative results,100,94122,100%,100% reported,edison,10,unknown,,6320,,,38122,54759,1241,0,0,0,0,0,2020-12-09T14:21:12Z,17.67599,R+18,Trump +18,republican,trumpd,17.67599,84462,18.5,80474,6.57,pennsylvania,2021-04-30T02:52:37.309689Z
42009,Bedford,27574,5351,40,40,Merged into voters' home precincts and released with cumulative results,100,27574,100%,100% reported,edison,10,unknown,,2106,,,4367,23025,182,,2424,2872,55,,2020-11-24T13:22:23Z,67.66519,R+68,Trump +68,republican,trumpd,67.66519,23675,67.2,21697,54.91,pennsylvania,2021-04-30T02:52:37.309689Z
42011,Berks,205540,0,202,202,Other,100,205540,100%,100% reported,edison,10,unknown,,10526,,,92895,109736,2909,0,0,0,0,0,2021-03-07T03:53:50Z,8.19354,R+8,Trump +8,republican,trumpd,8.19354,184085,9.9,170320,0.99,pennsylvania,2021-04-30T02:52:37.309689Z
42013,Blair,63595,0,93,93,Merged into voters' home precincts and released with cumulative results,100,63595,100%,100% reported,edison,10,unknown,,4155,,,17636,45306,653,0,0,0,0,0,2021-03-07T03:54:57Z,43.50971,R+44,Trump +44,republican,trumpd,43.50971,55341,45.5,50241,33.92,pennsylvania,2021-04-30T02:52:37.309689Z
42015,Bradford,30159,0,61,61,None,100,30159,100%,100% reported,edison,10,none,,2080,,,8046,21600,513,,0,0,0,,2020-12-08T22:34:21Z,44.94181,R+45,Trump +45,republican,trumpd,44.94181,25986,45.3,23426,24.7,pennsylvania,2021-04-30T02:52:37.309689Z
42017,Bucks,396234,0,304,304,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,396234,100%,100% reported,edison,10,unknown,,25432,,,204712,187367,4155,0,0,0,0,0,2020-12-08T20:17:14Z,4.37746,D+4,Biden +4,democrat,bidenj,-4.37746,345042,-0.8,321016,-1.23,pennsylvania,2021-04-30T02:52:37.309689Z
42019,Butler,113305,0,89,89,Released as a separate subtotal at the end of tabulation,100,113305,100%,100% reported,edison,10,none,,7869,,,37508,74359,1438,,0,0,0,,2020-12-09T14:19:58Z,32.52372,R+33,Trump +33,republican,trumpd,32.52372,98051,36.6,89445,34.89,pennsylvania,2021-04-30T02:52:37.309689Z
42021,Cambria,70574,0,125,125,Merged into voters' home precincts AFTER election night,100,70574,100%,100% reported,edison,10,unknown,,4526,,,21730,48085,759,0,0,0,0,0,2020-12-09T14:18:22Z,37.34378,R+37,Trump +37,republican,trumpd,37.34378,63589,36.8,60526,18.03,pennsylvania,2021-04-30T02:52:37.309689Z
42023,Cameron,2434,0,10,10,Merged into voters' home precincts AFTER election night,100,2434,100%,100% reported,edison,10,none,,235,,,634,1771,29,,0,0,0,,2020-11-24T13:22:33Z,46.71323,R+47,Trump +47,republican,trumpd,46.71323,2210,47.9,2111,30.08,pennsylvania,2021-04-30T02:52:37.309689Z
42025,Carbon,33629,9138,51,51,Merged into voters' home precincts and released with cumulative results,100,33629,100%,100% reported,edison,10,unknown,,2334,,,11212,21984,433,0,5893,3146,99,0,2021-03-07T03:53:54Z,32.03188,R+32,Trump +32,republican,trumpd,32.03188,28993,33.8,25581,7.52,pennsylvania,2021-04-30T02:52:37.309689Z
42027,Centre,77493,0,87,87,Merged into voters' home precincts and released with cumulative results,100,77493,100%,100% reported,edison,10,unknown,,6518,,,40055,36372,1066,0,0,0,0,0,2020-12-09T14:18:27Z,4.75269,D+5,Biden +5,democrat,bidenj,-4.75269,77307,-2.3,69626,-0.25,pennsylvania,2021-04-30T02:52:37.309689Z
42029,Chester,315753,148475,230,230,Merged into voters' home precincts and released with cumulative results,100,315753,100%,100% reported,edison,10,some,,26734,,,182372,128565,3565,1251,117192,29939,1344,0,2020-11-24T13:22:36Z,17.04085,D+17,Biden +17,democrat,bidenj,-17.04085,272998,-9.4,251973,0.21,pennsylvania,2021-04-30T02:52:37.309689Z
42031,Clarion,19493,0,41,41,Merged into voters' home precincts and released with cumulative results,100,19493,100%,100% reported,edison,10,unknown,,1514,,,4678,14578,237,0,0,0,0,0,2020-12-09T14:18:31Z,50.78746,R+51,Trump +51,republican,trumpd,50.78746,17660,47,16186,35.66,pennsylvania,2021-04-30T02:52:37.309689Z
42033,Clearfield,39496,0,70,70,Merged into voters' home precincts and released with cumulative results,100,39496,100%,100% reported,edison,10,some,,2733,,,9673,29203,546,74,0,0,0,0,2020-12-09T14:18:35Z,49.44805,R+49,Trump +49,republican,trumpd,49.44805,34550,48.4,31967,28.86,pennsylvania,2021-04-30T02:52:37.309689Z
42035,Clinton,17625,0,34,34,Released with cumulative results periodically election night,100,17625,100%,100% reported,edison,10,unknown,,925,,,5502,11902,221,,0,0,0,,2020-12-08T22:34:31Z,36.31206,R+36,Trump +36,republican,trumpd,36.31206,15505,34,13265,11.83,pennsylvania,2021-04-30T02:52:37.309689Z
42037,Columbia,31171,0,42,42,Merged into voters' home precincts and released with cumulative results,100,31171,100%,100% reported,edison,10,unknown,,2053,,,10532,20098,541,0,0,0,0,0,2021-03-07T03:53:58Z,30.68878,R+31,Trump +31,republican,trumpd,30.68878,28506,31.8,25623,12.88,pennsylvania,2021-04-30T02:52:37.309689Z
