fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_kennedya,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5862,0,31,31,None,100,5862,100%,100% reported,edison,10,all,,,,,1814,3907,82,26,18,10,5,0,0,0,0,0,0,0,2020-12-08T16:05:08Z,35.70454,R+36,Trump +36,republican,trumpd,35.70454,4782,37.3,4793,34.03,washington,2021-05-09T20:53:14.732363Z
53003,Asotin,11951,0,26,26,None,100,11951,100%,100% reported,edison,10,all,,,,,4250,7319,260,71,36,9,6,0,0,0,0,0,0,0,2020-12-08T16:05:14Z,25.67986,R+26,Trump +26,republican,trumpd,25.67986,9974,26.1,9901,16.68,washington,2021-05-09T20:53:14.732363Z
53005,Benton,103033,0,245,245,None,100,103033,100%,100% reported,edison,10,all,,,,,38706,60365,2706,726,354,119,57,0,0,0,0,0,0,0,2020-12-08T16:05:23Z,21.02142,R+21,Trump +21,republican,trumpd,21.02142,83592,24.9,79559,26.79,washington,2021-05-09T20:53:14.732363Z
53007,Chelan,43306,0,91,91,None,100,43306,100%,100% reported,edison,10,all,,,,,19349,22746,709,281,156,44,21,0,0,0,0,0,0,0,2020-12-08T16:05:29Z,7.84418,R+8,Trump +8,republican,trumpd,7.84418,34433,14.8,32250,16.4,washington,2021-05-09T20:53:14.732363Z
53009,Clallam,49264,0,67,67,None,100,49264,100%,100% reported,edison,10,all,,,,,24721,23062,894,239,241,63,44,0,0,0,0,0,0,0,2020-12-08T16:05:39Z,3.36757,D+3,Biden +3,democrat,bidenj,-3.36757,40533,2.8,38066,-0.38,washington,2021-05-09T20:53:14.732363Z
53011,Clark,275403,0,314,314,None,100,275403,100%,100% reported,edison,10,all,,,,,140324,126303,5320,1952,1126,238,140,0,0,0,0,0,0,0,2020-12-08T16:05:46Z,5.09108,D+5,Biden +5,democrat,bidenj,-5.09108,208485,-0.2,190805,-0.23,washington,2021-05-09T20:53:14.732363Z
53013,Columbia,2495,0,13,13,None,100,2495,100%,100% reported,edison,10,all,,,,,668,1754,51,13,5,1,3,0,0,0,0,0,0,0,2020-12-08T16:05:55Z,43.52705,R+44,Trump +44,republican,trumpd,43.52705,2229,43.6,2259,40.86,washington,2021-05-09T20:53:14.732363Z
53015,Cowlitz,60280,0,78,78,None,100,60280,100%,100% reported,edison,10,all,,,,,23938,34424,1274,311,243,45,45,0,0,0,0,0,0,0,2020-12-08T16:06:03Z,17.39549,R+17,Trump +17,republican,trumpd,17.39549,47142,13.3,44620,-4.44,washington,2021-05-09T20:53:14.732363Z
53017,Douglas,21308,0,47,47,None,100,21308,100%,100% reported,edison,10,all,,,,,7811,12955,335,125,57,13,12,0,0,0,0,0,0,0,2020-12-08T16:06:13Z,24.14117,R+24,Trump +24,republican,trumpd,24.14117,15901,29.5,14942,28.5,washington,2021-05-09T20:53:14.732363Z
53019,Ferry,4367,0,19,19,None,100,4368,100%,100% reported,edison,10,all,,,,,1486,2771,76,16,10,5,3,0,0,0,0,0,0,0,2020-12-08T16:06:19Z,29.42523,R+29,Trump +29,republican,trumpd,29.42523,3644,30.3,3440,20.38,washington,2021-05-09T20:53:14.732363Z
53021,Franklin,32404,0,105,105,None,100,32404,100%,100% reported,edison,10,all,,,,,13340,18039,683,178,110,32,22,0,0,0,0,0,0,0,2020-12-08T16:06:27Z,14.5013,R+15,Trump +15,republican,trumpd,14.5013,24614,17.6,22643,23.63,washington,2021-05-09T20:53:14.732363Z
53023,Garfield,1489,0,12,12,None,100,1489,100%,100% reported,edison,10,all,,,,,366,1069,42,8,2,1,1,0,0,0,0,0,0,0,2020-12-08T16:06:33Z,47.21289,R+47,Trump +47,republican,trumpd,47.21289,1266,45.2,1278,45.15,washington,2021-05-09T20:53:14.732363Z
53025,Grant,37680,0,75,75,None,100,37680,100%,100% reported,edison,10,all,,,,,11819,24764,710,205,112,44,26,0,0,0,0,0,0,0,2020-12-08T16:06:43Z,34.3551,R+34,Trump +34,republican,trumpd,34.3551,29258,36.6,27558,32.3,washington,2021-05-09T20:53:14.732363Z
53027,Grays Harbor,38441,0,77,77,None,100,38441,100%,100% reported,edison,10,all,,,,,17354,19877,764,185,200,30,31,0,0,0,0,0,0,0,2020-12-08T16:06:50Z,6.5633,R+7,Trump +7,republican,trumpd,6.5633,29301,7,28684,-14.11,washington,2021-05-09T20:53:14.732363Z
53029,Island,53925,0,48,48,None,100,53925,100%,100% reported,edison,10,all,,,,,29213,22746,1288,386,216,51,25,0,0,0,0,0,0,0,2020-12-08T16:07:05Z,11.99258,D+12,Biden +12,democrat,bidenj,-11.99258,44273,-5.6,42099,-4.45,washington,2021-05-09T20:53:14.732363Z
53031,Jefferson,24792,0,39,39,None,100,24792,100%,100% reported,edison,10,all,,,,,17204,6931,330,134,146,34,13,0,0,0,0,0,0,0,2020-12-08T16:07:09Z,41.43675,D+41,Biden +41,democrat,bidenj,-41.43675,20879,-31.7,19829,-31.94,washington,2021-05-09T20:53:14.732363Z
53033,King,1210507,0,2642,2642,None,100,1210507,100%,100% reported,edison,10,all,,,,,907310,269167,18148,7937,5662,1610,673,0,0,0,0,0,0,0,2021-02-17T16:40:44Z,52.717,D+53,Biden +53,democrat,bidenj,-52.717,1028450,-48.8,967154,-40.56,washington,2021-05-09T20:53:14.732363Z
53035,Kitsap,158672,0,215,215,None,100,158672,100%,100% reported,edison,10,all,,,,,90277,61563,4813,1047,723,143,106,0,0,0,0,0,0,0,2020-12-08T16:07:27Z,18.09645,D+18,Biden +18,democrat,bidenj,-18.09645,128770,-11,123367,-11.7,washington,2021-05-09T20:53:14.732363Z
53037,Kittitas,26364,0,62,62,None,100,26364,100%,100% reported,edison,10,all,,,,,11421,14105,540,166,101,22,9,0,0,0,0,0,0,0,2020-12-08T16:07:36Z,10.18055,R+10,Trump +10,republican,trumpd,10.18055,19615,13.3,18171,10.09,washington,2021-05-09T20:53:14.732363Z
53039,Klickitat,13560,0,29,29,None,100,13560,100%,100% reported,edison,10,all,,,,,5959,7237,211,79,50,13,11,0,0,0,0,0,0,0,2020-12-08T16:07:47Z,9.42478,R+9,Trump +9,republican,trumpd,9.42478,11074,14.4,10274,6.99,washington,2021-05-09T20:53:14.732363Z
