fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
54001,Barbour,6677,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6677,100%,100% reported,edison,10,unknown,,2032,,,5116,1457,81,23,,0,0,0,0,,2021-01-28T14:45:46Z,54.80006,R+55,Trump +55,republican,trumpd,54.80006,6116,54,5761,35.69,west-virginia,2021-05-05T05:29:09.596196Z
54003,Berkeley,51539,0,66,66,Merged into voters' home precincts and released with cumulative results,100,51535,100%,100% reported,edison,10,unknown,,15549,,,33279,17186,889,181,4,0,0,0,0,0,2021-01-28T14:19:25Z,31.2249,R+31,Trump +31,republican,trumpd,31.2249,43364,36.7,37172,21.2,west-virginia,2021-05-05T05:29:09.596196Z
54005,Boone,9013,0,26,26,Other,100,9012,100%,100% reported,edison,10,unknown,,2061,,,6816,2041,122,33,1,0,0,0,0,0,2021-01-28T14:47:19Z,52.97903,R+53,Trump +53,republican,trumpd,52.97903,8779,53.7,8500,31.49,west-virginia,2021-05-05T05:29:09.596196Z
54007,Braxton,5664,0,18,18,Merged into voters' home precincts and released with cumulative results,100,5664,100%,100% reported,edison,10,unknown,,2472,,,4120,1457,62,25,,0,0,0,0,,2021-01-28T14:19:49Z,47.01624,R+47,Trump +47,republican,trumpd,47.01624,5100,43.5,4804,15.13,west-virginia,2021-05-05T05:29:09.596196Z
54009,Brooke,10656,0,22,22,Merged into voters' home precincts and released with cumulative results,100,10656,100%,100% reported,edison,10,some,,3091,,,7545,2947,138,26,,0,0,0,0,,2021-01-28T14:45:51Z,43.1494,R+43,Trump +43,republican,trumpd,43.1494,9696,41.8,9294,11.35,west-virginia,2021-05-05T05:29:09.596196Z
54011,Cabell,37360,0,71,71,None,100,37360,100%,100% reported,edison,10,unknown,,13914,,,21721,14994,527,118,,0,0,0,0,,2021-01-28T14:47:25Z,18.00589,R+18,Trump +18,republican,trumpd,18.00589,33591,25,32144,13.74,west-virginia,2021-05-05T05:29:09.596196Z
54013,Calhoun,2971,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2971,100%,100% reported,edison,10,unknown,,965,,,2364,568,29,10,,0,0,0,0,,2021-01-28T14:20:19Z,60.45103,R+60,Trump +60,republican,trumpd,60.45103,2638,59.9,2207,22.7,west-virginia,2021-05-05T05:29:09.596196Z
54015,Clay,3365,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3365,100%,100% reported,edison,10,unknown,,1368,,,2679,641,37,8,,0,0,0,0,,2021-01-28T14:20:27Z,60.56464,R+61,Trump +61,republican,trumpd,60.56464,2995,57.8,3012,34.53,west-virginia,2021-05-05T05:29:09.596196Z
54017,Doddridge,3101,0,12,12,Merged into voters' home precincts and released with cumulative results,100,3101,100%,100% reported,edison,10,unknown,,1440,,,2619,435,30,17,0,0,0,0,0,0,2021-01-28T14:20:34Z,70.42889,R+70,Trump +70,republican,trumpd,70.42889,2863,69.7,2769,56.16,west-virginia,2021-05-05T05:29:09.596196Z
54019,Fayette,16870,0,37,37,Merged into voters' home precincts and released with cumulative results,100,16862,100%,100% reported,edison,10,unknown,,4426,,,11580,5063,158,61,8,0,0,0,0,0,2021-01-28T14:47:31Z,38.63071,R+39,Trump +39,republican,trumpd,38.63071,15478,39.2,14070,20.83,west-virginia,2021-05-05T05:29:09.596196Z
54021,Gilmer,2662,0,10,10,Other,100,2662,100%,100% reported,edison,10,unknown,,1074,,,2012,599,39,12,0,0,0,0,0,0,2021-01-28T14:20:55Z,53.08039,R+53,Trump +53,republican,trumpd,53.08039,2579,52.4,2509,30.09,west-virginia,2021-05-05T05:29:09.596196Z
54023,Grant,5510,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5509,100%,100% reported,edison,10,unknown,,2250,,,4871,607,20,11,1,0,0,0,0,0,2021-01-28T14:21:03Z,77.38657,R+77,Trump +77,republican,trumpd,77.38657,4965,77.2,4586,66.83,west-virginia,2021-05-05T05:29:09.596196Z
54025,Greenbrier,15850,0,29,29,Other,100,15850,100%,100% reported,edison,10,all,,5698,,,10925,4655,210,60,,0,0,0,0,,2021-01-28T14:47:38Z,39.55836,R+40,Trump +40,republican,trumpd,39.55836,14224,40.7,12963,24.84,west-virginia,2021-05-05T05:29:09.596196Z
54027,Hampshire,10086,0,24,24,None,100,10086,100%,100% reported,edison,10,all,,2597,,,8033,1939,93,21,,0,0,0,0,,2021-01-28T14:21:20Z,60.42038,R+60,Trump +60,republican,trumpd,60.42038,8679,58.9,7986,40.37,west-virginia,2021-05-05T05:29:09.596196Z
54029,Hancock,13802,0,24,24,Merged into voters' home precincts and released with cumulative results,100,13800,100%,100% reported,edison,10,unknown,,3621,,,9806,3790,161,43,2,0,0,0,0,0,2021-01-28T14:21:36Z,43.58789,R+44,Trump +44,republican,trumpd,43.58789,12802,44.1,12118,21.45,west-virginia,2021-05-05T05:29:09.596196Z
54031,Hardy,6333,0,14,14,Other,100,6331,100%,100% reported,edison,10,unknown,,1837,,,4859,1381,72,19,2,0,0,0,0,0,2021-01-28T14:21:48Z,54.91868,R+55,Trump +55,republican,trumpd,54.91868,5674,55,5168,39.74,west-virginia,2021-05-05T05:29:09.596196Z
54033,Harrison,30465,0,67,67,Other,100,30465,100%,100% reported,edison,10,unknown,,6885,,,20683,9215,461,106,0,0,0,0,0,0,2021-01-28T14:22:01Z,37.6432,R+38,Trump +38,republican,trumpd,37.6432,28351,39,26147,23.5,west-virginia,2021-05-05T05:29:09.596196Z
54035,Jackson,13509,0,31,31,Merged into voters' home precincts and released with cumulative results,100,13508,100%,100% reported,edison,10,unknown,,6758,,,10093,3207,171,37,1,0,0,0,0,0,2021-01-28T14:22:11Z,50.97343,R+51,Trump +51,republican,trumpd,50.97343,12304,51.7,11544,30.79,west-virginia,2021-05-05T05:29:09.596196Z
54037,Jefferson,27705,0,32,32,Released as a separate subtotal as first report of the night,100,27703,100%,100% reported,edison,10,some,,10602,,,15033,12127,424,119,2,0,0,0,0,0,2021-01-28T14:22:20Z,10.48908,R+10,Trump +10,republican,trumpd,10.48908,24508,15,22138,3.88,west-virginia,2021-05-05T05:29:09.596196Z
54039,Kanawha,82250,42262,169,169,Merged into voters' home precincts and released with cumulative results,100,82244,100%,100% reported,edison,10,unknown,,23987,,,46398,34344,1224,278,6,19434,22203,486,139,0,2021-01-28T14:22:28Z,14.65532,R+15,Trump +15,republican,trumpd,14.65532,76888,20.3,75077,11.83,west-virginia,2021-05-05T05:29:09.596196Z
54041,Lewis,7459,0,24,24,Merged into voters' home precincts and released with cumulative results,100,7457,100%,100% reported,edison,10,unknown,,2592,,,5782,1538,116,21,2,0,0,0,0,0,2021-01-28T14:22:35Z,56.89771,R+57,Trump +57,republican,trumpd,56.89771,6936,56.6,6287,41.98,west-virginia,2021-05-05T05:29:09.596196Z
