fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
01001,Autauga,27707,0,19,19,Released as a precinct as first report of the night,100,27770,100%,100% reported,edison,10,all,,1896,,,19387,8277,43,0,0,0,2020-12-10T01:14:32Z,40.09817,R+40,Tuberville +40,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01003,Baldwin,109350,0,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,109679,100%,100% reported,edison,10,all,,6293,,,80200,28925,225,0,0,0,2020-12-10T01:36:30Z,46.89072,R+47,Tuberville +47,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01005,Barbour,10479,0,17,17,Released as a precinct as first report of the night,100,10518,100%,100% reported,edison,10,all,,1554,,,5449,5021,9,0,0,0,2021-03-07T03:11:09Z,4.08436,R+4,Tuberville +4,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01007,Bibb,9581,570,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9595,100%,100% reported,edison,10,all,,410,,,7320,2244,17,336,234,0,2020-12-10T01:16:44Z,52.97986,R+53,Tuberville +53,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01009,Blount,27506,0,25,25,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27588,100%,100% reported,edison,10,all,,1181,,,24163,3290,53,0,0,0,2021-03-07T03:17:31Z,75.88526,R+76,Tuberville +76,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01011,Bullock,4600,0,16,16,Released as a precinct as first report of the night,100,4613,100%,100% reported,edison,10,unknown,,557,,,1108,3490,2,0,0,0,2021-03-07T03:17:25Z,51.78261,D+52,Jones +52,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01013,Butler,9436,1045,23,23,Released as a precinct as first report of the night,99,9488,99%,99% reported,edison,10,unknown,,4735,,,5232,4193,11,419,626,0,2021-03-07T03:11:19Z,11.01102,R+11,Tuberville +11,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01015,Calhoun,50821,0,45,45,Released with cumulative results periodically election night,100,50983,100%,100% reported,edison,10,unknown,,1917,,,33936,16808,77,0,0,0,2021-03-07T03:11:28Z,33.7026,R+34,Tuberville +34,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01017,Chambers,15234,0,21,21,Released as a precinct as first report of the night,100,15284,100%,100% reported,edison,10,all,,883,,,8312,6908,14,0,0,0,2020-12-10T01:18:11Z,9.21623,R+9,Tuberville +9,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01019,Cherokee,12251,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12301,100%,100% reported,edison,10,all,,800,,,10122,2112,17,0,0,0,2020-12-10T01:18:28Z,65.38242,R+65,Tuberville +65,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01021,Chilton,19229,0,19,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,19310,100%,100% reported,edison,10,all,,1819,,,15708,3499,22,0,0,0,2021-03-07T03:11:35Z,63.49264,R+63,Tuberville +63,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01023,Choctaw,7416,0,35,35,Released as a separate subtotal in the middle of the tabulation,99,7464,99%,99% reported,edison,10,all,,1080,,,4188,3225,3,0,0,0,2021-03-07T03:11:43Z,12.98544,R+13,Tuberville +13,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01025,Clarke,13087,0,21,21,Released as a precinct at the end of tabulation,100,13135,100%,100% reported,edison,10,all,,1469,,,7061,6017,9,0,0,0,2021-03-07T03:11:49Z,7.97738,R+8,Tuberville +8,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01027,Clay,6903,548,16,16,Released as a separate subtotal as first report of the night,100,6930,100%,100% reported,edison,10,all,,950,,,5454,1441,8,353,195,0,2021-03-07T03:11:55Z,58.13414,R+58,Tuberville +58,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01029,Cleburne,7169,0,16,16,Released as a precinct as first report of the night,99,7227,99%,99% reported,edison,10,unknown,,483,,,6321,843,5,0,0,0,2021-03-07T03:12:00Z,76.41233,R+76,Tuberville +76,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01031,Coffee,22178,0,31,31,"As a precinct in the FIRST cumulative report, along with regular precincts",100,22275,100%,100% reported,edison,10,unknown,,1406,,,16400,5753,25,0,0,0,2021-03-07T03:12:05Z,48.00703,R+48,Tuberville +48,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01033,Colbert,27781,1504,35,35,Released as a precinct as first report of the night,100,27886,100%,100% reported,edison,10,all,,1442,,,18320,9408,53,586,911,7,2021-03-07T03:12:14Z,32.07948,R+32,Tuberville +32,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01035,Conecuh,6396,0,28,28,Released as a precinct in the middle of the night,99,6441,99%,99% reported,edison,10,unknown,,526,,,3294,3098,4,0,0,0,2021-03-07T03:12:21Z,3.06442,R+3,Tuberville +3,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01037,Coosa,5467,363,13,13,Released as a precinct as first report of the night,100,5479,100%,100% reported,edison,10,all,,288,,,3559,1899,9,198,165,0,2021-03-07T03:12:28Z,30.364,R+30,Tuberville +30,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01039,Covington,17353,1511,25,25,Released as a precinct as first report of the night,100,17430,100%,100% reported,edison,10,unknown,,1227,,,14120,3214,19,986,523,2,2021-03-07T03:12:37Z,62.84792,R+63,Tuberville +63,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01041,Crenshaw,6589,0,19,19,Released as a precinct as first report of the night,100,6617,100%,100% reported,edison,10,unknown,,402,,,4671,1910,8,0,0,0,2021-03-07T03:12:42Z,41.90317,R+42,Tuberville +42,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01043,Cullman,41735,0,50,50,Released as a precinct in the middle of the night,100,41851,100%,100% reported,edison,10,all,,1880,,,35949,5693,93,0,0,0,2021-03-07T03:12:50Z,72.49551,R+72,Tuberville +72,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01045,Dale,19641,0,20,20,None,100,19738,100%,100% reported,edison,10,unknown,,1464,,,13653,5955,33,0,0,0,2021-03-07T03:13:00Z,39.19352,R+39,Tuberville +39,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01047,Dallas,17816,0,30,30,Released as a precinct in the middle of the night,100,17864,100%,100% reported,edison,10,all,,1571,,,5298,12503,15,0,0,0,2021-03-07T03:13:12Z,40.44118,D+40,Jones +40,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
