fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cottont,results_harringtonr,results_absentee_cottont,results_absentee_harringtonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
05001,Arkansas,6068,5333,30,30,Released as a precinct as first report of the night,96,6292,96%,96% reported,edison,10,unknown,,6286,,,4567,1501,4017,1316,2020-11-30T18:24:27Z,50.52736,R+51,Cotton +51,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05003,Ashley,7750,7739,30,30,Released as a separate subtotal as first report of the night,98,7926,98%,98% reported,edison,10,unknown,,5934,,,5801,1949,5793,1946,2020-11-30T18:24:29Z,49.70323,R+50,Cotton +50,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05005,Baxter,20386,17331,43,43,Merged into voters' home precincts and released with cumulative results,97,21007,97%,97% reported,edison,10,unknown,,16848,,,16094,4292,13584,3747,2020-11-30T18:24:33Z,57.89267,R+58,Cotton +58,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05007,Benton,117485,100574,117,117,Released as a separate subtotal as first report of the night,98,119912,98%,98% reported,edison,10,some,,64995,,,76068,41417,64334,36240,2020-11-24T13:21:53Z,29.49398,R+29,Cotton +29,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05009,Boone,16807,12536,30,30,Released as a separate subtotal as first report of the night,98,17114,98%,98% reported,edison,10,unknown,,15309,,,13753,3054,10042,2494,2020-11-30T18:24:39Z,63.658,R+64,Cotton +64,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05011,Bradley,3563,2471,14,14,Released as a precinct as first report of the night,98,3654,98%,98% reported,edison,10,unknown,,2557,,,2485,1078,1657,814,2020-11-30T18:24:48Z,39.48919,R+39,Cotton +39,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05013,Calhoun,2142,1378,20,20,Released as a precinct as first report of the night,98,2182,98%,98% reported,edison,10,unknown,,1190,,,1714,428,1081,297,2020-11-30T18:24:49Z,60.03735,R+60,Cotton +60,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05015,Carroll,11592,9135,13,13,Other,98,11797,98%,98% reported,edison,10,all,,6619,,,7676,3916,5727,3408,2020-11-24T13:22:01Z,32.43616,R+32,Cotton +32,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05017,Chicot,3654,2582,13,13,Released as a precinct as first report of the night,89,4103,89%,89% reported,edison,10,unknown,,2805,,,1945,1709,1491,1091,2020-11-30T18:25:13Z,6.45868,R+6,Cotton +6,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05019,Clark,8067,6245,27,27,Merged into voters' home precincts and released with cumulative results,96,8395,96%,96% reported,edison,10,unknown,,6814,,,5089,2978,3721,2524,2020-11-24T13:22:03Z,26.16834,R+26,Cotton +26,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
05021,Clay,5099,1375,17,17,Other,98,5183,98%,98% reported,edison,10,unknown,,3371,,,4196,903,1108,267,2020-11-30T18:25:21Z,64.58129,R+65,Cotton +65,republican,cottont,arkansas,2021-05-05T10:30:12.677985Z
