fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
08001,Adams,235714,0,260,260,Other,100,236740,100%,100% reported,edison,10,unknown,,,,,130409,98341,4916,1071,963,14,0,0,0,0,0,0,2021-01-12T19:37:50Z,13.60462,D+14,Hickenlooper +14,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08003,Alamosa,7707,0,8,8,Other,99,7808,99%,99% reported,edison,10,all,,,,,3734,3800,104,40,29,,0,0,0,0,0,,2020-12-06T15:48:12Z,0.85636,R+0.86,Gardner +0.86,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08005,Arapahoe,348655,0,390,390,Other,100,350183,100%,100% reported,edison,10,unknown,,,,,204054,136713,5694,1074,1111,9,0,0,0,0,0,0,2021-01-26T18:19:41Z,19.31451,D+19,Hickenlooper +19,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08007,Archuleta,9020,0,8,8,Other,99,9144,99%,99% reported,edison,10,all,,,,,3591,5225,163,26,14,1,0,0,0,0,0,0,2021-01-12T19:31:29Z,18.1153,R+18,Gardner +18,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08009,Baca,2196,0,9,9,Other,99,2225,99%,99% reported,edison,10,unknown,,,,,329,1816,32,12,7,0,0,0,0,0,0,0,2020-12-06T15:44:51Z,67.71403,R+68,Gardner +68,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08011,Bent,2256,0,5,5,Other,99,2274,99%,99% reported,edison,10,unknown,,,,,702,1488,33,26,7,,0,0,0,0,0,,2020-11-24T13:22:43Z,34.84043,R+35,Gardner +35,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08013,Boulder,205536,0,240,240,Other,100,206111,100%,100% reported,edison,10,unknown,,,,,154552,47321,2869,317,457,20,0,0,0,0,0,0,2021-01-12T19:31:38Z,52.1714,D+52,Hickenlooper +52,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08014,Broomfield,46196,0,37,37,Other,99,46632,99%,99% reported,edison,10,all,,,,,27447,17855,712,82,100,,0,0,0,0,0,,2020-11-24T13:22:07Z,20.7637,D+21,Hickenlooper +21,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08015,Chaffee,13578,0,9,9,Other,99,13718,99%,99% reported,edison,10,unknown,,,,,6948,6344,232,32,22,,0,0,0,0,0,,2021-01-12T19:20:38Z,4.44837,D+4,Hickenlooper +4,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08017,Cheyenne,1125,0,5,5,Other,99,1136,99%,99% reported,edison,10,unknown,,,,,119,995,7,2,2,0,0,0,0,0,0,0,2020-12-06T15:45:01Z,77.86667,R+78,Gardner +78,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08019,Clear Creek,6477,0,9,9,Other,99,6548,99%,99% reported,edison,10,some,,,,,3494,2835,121,15,12,,0,0,0,0,0,,2020-12-06T15:45:10Z,10.17446,D+10,Hickenlooper +10,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
