fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
13001,Appling,8187,6104,9,9,None,98,8390,98%,98% reported,edison,10,unknown,,4621,,,6306,1753,128,,4611,1398,95,,2020-12-04T23:22:18Z,55.61256,R+56,Perdue +56,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13003,Atkinson,3097,2144,4,4,None,98,3155,98%,98% reported,edison,10,unknown,,2338,,,2272,773,52,0,1562,553,29,0,2020-11-24T13:26:16Z,48.40168,R+48,Perdue +48,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13005,Bacon,4590,4021,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",98,4667,98%,98% reported,edison,10,some,,3600,,,3929,591,70,,3512,463,46,,2020-12-04T23:22:47Z,72.72331,R+73,Perdue +73,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13007,Baker,1534,1094,5,5,"Released as first report, then NOT included in cumulative results",99,1555,99%,99% reported,edison,10,unknown,,1091,,,873,648,13,,582,503,9,,2020-11-24T13:26:01Z,14.66754,R+15,Perdue +15,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13009,Baldwin,18082,14622,14,14,Other,99,18261,99%,99% reported,edison,10,unknown,,14066,,,8873,8783,426,0,7024,7282,316,0,2021-03-06T23:24:00Z,0.49773,R+0.50,Perdue +0.50,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13011,Banks,8725,6908,13,13,None,99,8805,99%,99% reported,edison,10,unknown,,3683,,,7636,899,190,,6030,745,133,,2021-01-12T21:52:56Z,77.2149,R+77,Perdue +77,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13013,Barrow,37627,29762,8,8,None,99,37946,99%,99% reported,edison,10,unknown,,20877,,,26317,10066,1193,51,20630,8300,832,0,2021-01-12T21:53:07Z,43.18973,R+43,Perdue +43,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13015,Bartow,50034,37419,17,17,None,99,50486,99%,99% reported,edison,10,unknown,,25757,,,37009,11664,1361,,27074,9467,878,,2021-01-12T21:53:21Z,50.65555,R+51,Perdue +51,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13017,Ben Hill,6477,5686,3,3,Other,99,6564,99%,99% reported,edison,10,unknown,,5778,,,4077,2284,116,,3650,1945,91,,2020-12-04T23:25:02Z,27.68257,R+28,Perdue +28,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13019,Berrien,7650,5471,5,5,Released as a separate subtotal as first report of the night,99,7744,99%,99% reported,edison,10,unknown,,4416,,,6286,1204,160,,4488,879,104,,2021-01-12T21:53:30Z,66.43137,R+66,Perdue +66,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13021,Bibb,69987,52909,31,31,Released as a separate subtotal in the middle of the tabulation,99,70763,99%,99% reported,edison,10,unknown,,38674,,,26645,41928,1414,,18728,33210,971,,2021-01-13T16:51:49Z,21.83691,D+22,Ossoff +22,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13023,Bleckley,5644,4386,1,1,Merged into voters' home precincts and released with cumulative results,99,5710,99%,99% reported,edison,10,unknown,,4032,,,4281,1249,114,,3348,957,81,,2021-01-12T21:54:13Z,53.72077,R+54,Perdue +54,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13025,Brantley,7616,5475,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",98,7749,98%,98% reported,edison,10,unknown,,3280,,,6812,688,116,,4881,524,70,,2020-12-04T23:28:04Z,80.40966,R+80,Perdue +80,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
