fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_rischj,results_jordanp,results_flemingn,results_writzr,results_absentee_rischj,results_absentee_jordanp,results_absentee_flemingn,results_absentee_writzr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
16001,Ada,258014,178312,154,154,Merged into voters' home precincts and released with cumulative results,99,259389,99%,99% reported,edison,10,all,,80688,,,130446,118718,6940,1910,77874,95560,3949,929,2021-01-05T15:14:40Z,4.54549,R+5,Risch +5,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16003,Adams,2561,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",99,2586,99%,99% reported,edison,10,none,,936,,,1828,625,62,46,0,0,0,0,2021-03-07T03:18:49Z,46.97384,R+47,Risch +47,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16005,Bannock,39413,0,54,54,Released as a precinct as first report of the night,100,39553,100%,100% reported,edison,10,all,,14147,,,22048,15472,1433,460,0,0,0,0,2021-01-05T15:15:51Z,16.68485,R+17,Risch +17,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16007,Bear Lake,3301,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3315,100%,100% reported,edison,10,unknown,,670,,,2791,355,91,64,0,0,0,0,2021-01-05T15:15:56Z,73.79582,R+74,Risch +74,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16009,Benewah,4873,0,11,11,Merged into voters' home precincts and released with cumulative results,98,4973,98%,98% reported,edison,10,unknown,,1083,,,3584,1081,103,105,0,0,0,0,2021-01-05T15:16:03Z,51.36466,R+51,Risch +51,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16011,Bingham,19835,8716,29,29,Released as a precinct as first report of the night,99,20094,99%,99% reported,edison,10,all,,6344,,,14644,4313,625,253,6001,2423,203,89,2021-01-05T15:16:10Z,52.0847,R+52,Risch +52,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16013,Blaine,13307,11699,16,16,Released as a precinct as first report of the night,100,13306,100%,100% reported,edison,10,all,,5939,,,4226,8739,288,54,3798,7587,264,50,2021-01-08T16:50:44Z,33.91448,D+34,Jordan +34,democrat,jordanp,idaho,2021-05-06T19:27:28.216812Z
16015,Boise,4791,0,6,6,Released as a precinct at the end of tabulation,99,4820,99%,99% reported,edison,10,unknown,,1222,,,3323,1247,128,93,0,0,0,0,2021-01-05T15:16:29Z,43.33125,R+43,Risch +43,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16017,Bonner,27021,14422,32,32,Merged into voters' home precincts and released with cumulative results,99,27352,99%,99% reported,edison,10,all,,7483,,,17964,8079,601,377,7770,6249,256,147,2020-11-24T13:23:23Z,36.58266,R+37,Risch +37,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16019,Bonneville,53028,28030,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",98,53995,98%,98% reported,edison,10,unknown,,14317,,,36490,13913,1972,653,17353,9557,867,253,2021-03-07T03:38:44Z,42.57562,R+43,Risch +43,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16021,Boundary,6258,0,7,7,Released with cumulative results periodically election night,99,6313,99%,99% reported,edison,10,none,,2026,,,4800,1212,131,115,0,0,0,0,2021-01-05T14:57:20Z,57.33461,R+57,Risch +57,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16023,Butte,1410,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1415,100%,100% reported,edison,10,unknown,,339,,,1120,222,39,29,0,0,0,0,2020-11-24T13:23:25Z,63.68794,R+64,Risch +64,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16025,Camas,675,0,2,2,Merged into voters' home precincts and released with cumulative results,90,754,90%,90% reported,edison,10,unknown,,150,,,488,156,17,14,0,0,0,0,2020-11-24T13:23:26Z,49.18519,R+49,Risch +49,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16027,Canyon,89597,63705,64,64,Merged into voters' home precincts and released with cumulative results,99,90438,99%,99% reported,edison,10,all,,24616,,,59060,26603,2550,1384,40796,20582,1545,782,2021-01-05T14:57:28Z,36.22554,R+36,Risch +36,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16029,Caribou,3196,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",94,3416,94%,94% reported,edison,10,unknown,,702,,,2603,442,97,54,0,0,0,0,2021-03-07T03:18:59Z,67.61577,R+68,Risch +68,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16031,Cassia,9586,4140,24,24,Merged into voters' home precincts and released with cumulative results,100,9629,100%,100% reported,edison,10,unknown,,1930,,,7564,1508,322,192,3079,867,130,64,2021-03-07T03:38:53Z,63.17546,R+63,Risch +63,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16033,Clark,311,0,3,3,Merged into voters' home precincts and released with cumulative results,100,311,100%,100% reported,edison,10,none,,106,,,254,42,12,3,0,0,0,0,2020-11-24T13:23:31Z,68.1672,R+68,Risch +68,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16035,Clearwater,4379,0,15,15,Released as a precinct in the middle of the night,99,4419,99%,99% reported,edison,10,unknown,,1067,,,3357,883,104,35,0,0,0,0,2020-11-24T13:23:31Z,56.49692,R+56,Risch +56,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16037,Custer,2708,0,10,10,Released as a separate subtotal at the end of tabulation,99,2739,99%,99% reported,edison,10,unknown,,853,,,1978,603,74,53,0,0,0,0,2020-11-24T13:23:32Z,50.77548,R+51,Risch +51,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16039,Elmore,10119,0,18,18,"As a precinct in the FIRST cumulative report, along with regular precincts",99,10205,99%,99% reported,edison,10,none,,3600,,,6797,2814,317,191,0,0,0,0,2021-01-05T14:57:51Z,39.3616,R+39,Risch +39,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16041,Franklin,6614,0,18,18,Released as a separate subtotal as first report of the night,99,6664,99%,99% reported,edison,10,none,,1222,,,5678,585,217,134,0,0,0,0,2020-11-24T13:23:33Z,77.00333,R+77,Risch +77,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16043,Fremont,6706,2632,14,14,Released as a precinct as first report of the night,100,6719,100%,100% reported,edison,10,none,,1637,,,5391,1001,205,109,1912,611,71,38,2021-01-05T14:58:07Z,65.46376,R+65,Risch +65,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16045,Gem,9912,5045,14,14,None,100,9958,100%,100% reported,edison,10,unknown,,3437,,,7546,1957,268,141,3541,1341,117,46,2021-03-07T03:38:32Z,56.3862,R+56,Risch +56,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16047,Gooding,6039,2738,7,7,Merged into voters' home precincts and released with cumulative results,100,6050,100%,100% reported,edison,10,unknown,,1237,,,4442,1335,186,76,1803,840,62,33,2021-01-05T14:58:23Z,51.44892,R+51,Risch +51,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16049,Idaho County,9481,0,28,28,Released as a precinct in the middle of the night,99,9602,99%,99% reported,edison,10,none,,3325,,,7629,1532,214,106,0,0,0,0,2021-01-05T14:58:35Z,64.30756,R+64,Risch +64,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16051,Jefferson,14066,0,21,21,Released as a precinct as first report of the night,99,14173,99%,99% reported,edison,10,some,,3248,,,11702,1647,481,236,0,0,0,0,2021-01-05T14:58:44Z,71.48443,R+71,Risch +71,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16053,Jerome,7788,0,12,12,Released as a precinct as first report of the night,100,7812,100%,100% reported,edison,10,none,,2162,,,5450,1978,249,111,0,0,0,0,2021-01-05T14:58:51Z,44.58141,R+45,Risch +45,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
16055,Kootenai,87955,50237,70,70,Merged into voters' home precincts and released with cumulative results,98,89878,98%,98% reported,edison,10,all,,31000,,,61289,22945,2538,1183,30894,17681,1178,484,2021-01-05T14:59:08Z,43.59502,R+44,Risch +44,republican,rischj,idaho,2021-05-06T19:27:28.216812Z
