fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_collinss,results_gideons,results_savagel,results_linnm,results_write_ins,results_absentee_collinss,results_absentee_gideons,results_absentee_savagel,results_absentee_linnm,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
23001,Androscoggin,58690,17232,24,24,,,,,"",edison,,,,,,,32979,22181,2438,1090,2,7432,8723,802,275,0,2020-11-30T16:25:32Z,18.39836,R+18,Collins +18,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23003,Aroostook,35601,0,67,67,,,,,"",edison,,,,,,,24033,9750,1072,743,3,0,0,0,0,0,2020-11-24T13:25:54Z,40.11966,R+40,Collins +40,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23005,Cumberland,194049,22443,49,49,,,,,"",edison,,,,,,,74592,105308,11907,2207,35,6875,13923,1376,264,5,2020-11-24T13:25:54Z,15.82899,D+16,Gideon +16,democrat,gideons,maine,2021-05-09T18:00:34.323822Z
23007,Franklin,17384,0,22,22,,,,,"",edison,,,,,,,9817,6276,969,322,0,0,0,0,0,0,2021-01-11T19:55:58Z,20.36931,R+20,Collins +20,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23009,Hancock,35315,2675,42,42,,,,,"",edison,,,,,,,17371,15379,1821,736,8,1122,1342,151,58,2,2021-01-11T19:19:58Z,5.64066,R+6,Collins +6,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23011,Kennebec,71886,820,32,32,,,,,"",edison,,,,,,,39481,27664,3407,1324,10,444,318,45,13,0,2020-11-24T13:26:09Z,16.43853,R+16,Collins +16,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23013,Knox,25758,0,18,18,,,,,"",edison,,,,,,,11705,12190,1461,399,3,0,0,0,0,0,2020-11-24T13:25:55Z,1.88291,D+1.9,Gideon +1.9,democrat,gideons,maine,2021-05-09T18:00:34.323822Z
23015,Lincoln,23640,1827,19,19,,,,,"",edison,,,,,,,12075,10102,1111,349,3,641,1042,115,29,0,2020-12-01T14:50:33Z,8.34602,R+8,Collins +8,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23017,Oxford,33422,0,37,37,,,,,"",edison,,,,,,,19567,11705,1511,635,4,0,0,0,0,0,2020-11-24T13:25:59Z,23.52343,R+24,Collins +24,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23019,Penobscot,85208,4193,61,61,,,,,"",edison,,,,,,,51088,28958,3461,1600,101,1370,2468,291,64,0,2020-11-24T13:25:51Z,25.97174,R+26,Collins +26,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23021,Piscataquis,9862,0,20,20,,,,,"",edison,,,,,,,6603,2655,394,210,0,0,0,0,0,0,2020-11-24T13:26:03Z,40.03245,R+40,Collins +40,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23023,Sagadahoc,24039,0,10,10,,,,,"",edison,,,,,,,11558,10787,1354,337,3,0,0,0,0,0,2020-11-24T13:25:47Z,3.20729,R+3,Collins +3,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23025,Somerset,27514,1526,34,34,,,,,"",edison,,,,,,,17861,7355,1770,525,3,692,704,108,22,0,2020-11-24T13:25:53Z,38.1842,R+38,Collins +38,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23027,Waldo,24397,0,28,28,,,,,"",edison,,,,,,,12631,9768,1602,387,9,0,0,0,0,0,2020-11-24T13:25:40Z,11.73505,R+12,Collins +12,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23029,Washington,17343,0,46,46,,,,,"",edison,,,,,,,11196,5251,547,338,11,0,0,0,0,0,2021-01-11T19:55:25Z,34.27896,R+34,Collins +34,republican,collinss,maine,2021-05-09T18:00:34.323822Z
23031,York,129578,8421,43,43,,,,,"",edison,,,,,,,64092,57826,5389,2255,16,3518,4370,377,155,1,2020-11-30T15:46:39Z,4.8357,R+5,Collins +5,republican,collinss,maine,2021-05-09T18:00:34.323822Z
