fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
25001,Barnstable,147980,0,65,65,,,,,"",edison,,,,,,,89406,57859,715,0,0,0,2020-12-07T16:24:58Z,21.31842,D+21,Markey +21,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25003,Berkshire,68713,0,57,59,,,,,"",edison,,,,,,,50743,17489,481,0,0,0,2020-11-24T15:45:04Z,48.3955,D+48,Markey +48,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25005,Bristol,270335,15237,168,172,,,,,"",edison,,,,,,,154741,113380,2214,8686,6439,112,2020-12-07T17:59:36Z,15.29991,D+15,Markey +15,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25007,Dukes,12526,0,6,7,,,,,"",edison,,,,,,,9705,2772,49,0,0,0,2020-11-24T13:22:12Z,55.34887,D+55,Markey +55,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25009,Essex,410842,0,232,240,,,,,"",edison,,,,,,,265191,142400,3251,0,0,0,2020-12-07T16:54:57Z,29.88765,D+30,Markey +30,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25011,Franklin,40567,848,38,40,,,,,"",edison,,,,,,,29025,10913,629,637,211,0,2020-12-07T22:19:59Z,44.64713,D+45,Markey +45,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25013,Hampden,210717,5478,161,166,,,,,"",edison,,,,,,,122702,85324,2691,3459,2019,0,2020-11-24T15:44:40Z,17.73848,D+18,Markey +18,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25015,Hampshire,85235,4853,52,56,,,,,"",edison,,,,,,,62262,22143,830,2409,2390,54,2020-11-24T15:44:13Z,47.06869,D+47,Markey +47,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25017,Middlesex,844755,10596,459,474,,,,,"",edison,,,,,,,606767,232269,5719,7024,3522,50,2020-12-07T17:41:52Z,44.33214,D+44,Markey +44,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25019,Nantucket,7194,4460,1,1,,,,,"",edison,,,,,,,5132,2034,28,3498,957,5,2020-12-08T13:45:51Z,43.06366,D+43,Markey +43,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25021,Norfolk,398157,15760,208,211,,,,,"",edison,,,,,,,263502,132279,2376,12475,3253,32,2020-12-07T17:59:19Z,32.9576,D+33,Markey +33,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25023,Plymouth,295212,40218,141,143,,,,,"",edison,,,,,,,169652,123705,1855,27167,12912,139,2020-12-07T16:24:01Z,15.56407,D+16,Markey +16,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25025,Suffolk,326070,0,296,298,,,,,"",edison,,,,,,,265652,58829,1589,0,0,0,2020-12-07T17:50:57Z,63.42902,D+63,Markey +63,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
25027,Worcester,410942,14517,230,242,,,,,"",edison,,,,,,,239818,165779,5345,9390,5034,93,2020-12-07T18:20:06Z,18.0169,D+18,Markey +18,democrat,markeye,massachusetts,2020-12-08T18:30:17.131373Z
