fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_petersg,results_jamesj,results_willisv,results_squierm,results_dernd,results_absentee_petersg,results_absentee_jamesj,results_absentee_willisv,results_absentee_squierm,results_absentee_dernd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
26001,Alcona,6997,0,12,12,Merged into voters' home precincts and released with cumulative results,99,7064,99%,99% reported,edison,10,all,,731,,,2284,4614,50,34,15,0,0,0,0,0,2020-11-29T18:42:53Z,33.29999,R+33,James +33,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26003,Alger,5082,0,9,9,Merged into voters' home precincts and released with cumulative results,99,5128,99%,99% reported,edison,10,some,,484,,,2089,2919,36,31,7,0,0,0,0,0,2020-11-29T18:43:24Z,16.33215,R+16,James +16,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26005,Allegan,66443,0,42,42,Merged into voters' home precincts and released with cumulative results,99,67094,99%,99% reported,edison,10,unknown,,9594,,,22939,42362,594,416,132,0,0,0,0,0,2020-11-29T18:44:00Z,29.23258,R+29,James +29,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26007,Alpena,16771,0,19,19,Merged into voters' home precincts and released with cumulative results,99,16969,99%,99% reported,edison,10,all,,2738,,,6273,10257,119,82,40,0,0,0,0,0,2020-11-29T18:44:24Z,23.75529,R+24,James +24,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26009,Antrim,15877,0,16,16,Merged into voters' home precincts AFTER election night,100,15949,100%,100% reported,edison,10,unknown,,2188,,,5758,9924,82,86,27,0,0,0,0,0,2020-11-29T18:44:48Z,26.23921,R+26,James +26,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26011,Arenac,8712,0,15,15,Merged into voters' home precincts and released with cumulative results,99,8831,99%,99% reported,edison,10,unknown,,563,,,3085,5443,103,48,33,0,0,0,0,0,2020-11-29T18:45:32Z,27.06612,R+27,James +27,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26013,Baraga,4000,0,8,8,Merged into voters' home precincts and released with cumulative results,99,4038,99%,99% reported,edison,10,unknown,,489,,,1528,2409,31,23,9,0,0,0,0,0,2020-11-29T18:45:57Z,22.025,R+22,James +22,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26015,Barry,35570,0,24,24,Merged into voters' home precincts and released with cumulative results,99,35905,99%,99% reported,edison,10,unknown,,5623,,,11369,23499,366,241,95,0,0,0,0,0,2020-11-29T18:46:25Z,34.10177,R+34,James +34,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26017,Bay,59472,0,75,75,Merged into voters' home precincts and released with cumulative results,99,60255,99%,99% reported,edison,10,unknown,,11503,,,27072,31314,561,382,143,0,0,0,0,0,2020-11-29T18:47:06Z,7.13277,R+7,James +7,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26019,Benzie,12169,0,13,13,Merged into voters' home precincts and released with cumulative results,99,12262,99%,99% reported,edison,10,unknown,,2388,,,5328,6692,58,66,25,0,0,0,0,0,2020-11-30T03:04:42Z,11.20881,R+11,James +11,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26021,Berrien,81119,0,62,62,Merged into voters' home precincts and released with cumulative results,98,82391,98%,98% reported,edison,10,none,,15349,,,34777,44801,764,568,209,0,0,0,0,0,2021-03-07T03:32:37Z,12.35715,R+12,James +12,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26023,Branch,20280,0,22,22,Merged into voters' home precincts and released with cumulative results,99,20536,99%,99% reported,edison,10,unknown,,2519,,,6119,13682,278,132,69,0,0,0,0,0,2020-11-30T03:05:39Z,37.2929,R+37,James +37,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26025,Calhoun,65556,0,67,67,Merged into voters' home precincts and released with cumulative results,99,66281,99%,99% reported,edison,10,unknown,,9574,,,28145,35786,867,547,211,0,0,0,0,0,2020-11-30T03:06:02Z,11.65568,R+12,James +12,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26027,Cass,25851,0,24,24,Merged into voters' home precincts and released with cumulative results,99,26216,99%,99% reported,edison,10,unknown,,2750,,,8565,16814,253,161,58,0,0,0,0,0,2020-11-30T03:06:25Z,31.90979,R+32,James +32,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26029,Charlevoix,16888,0,20,20,Merged into voters' home precincts and released with cumulative results,99,17000,99%,99% reported,edison,10,unknown,,2686,,,6664,10030,83,82,29,0,0,0,0,0,2020-11-30T03:06:47Z,19.93131,R+20,James +20,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26031,Cheboygan,15734,0,22,22,None,99,15868,99%,99% reported,edison,10,unknown,,2254,,,5475,10026,121,82,30,0,0,0,0,0,2020-11-30T03:07:05Z,28.92462,R+29,James +29,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26033,Chippewa,17489,0,18,18,Merged into voters' home precincts and released with cumulative results,99,17642,99%,99% reported,edison,10,unknown,,1942,,,6729,10497,128,102,33,0,0,0,0,0,2020-11-30T03:07:27Z,21.54497,R+22,James +22,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26035,Clare,16108,0,20,20,Merged into voters' home precincts and released with cumulative results,99,16281,99%,99% reported,edison,10,unknown,,2290,,,5372,10468,125,96,47,0,0,0,0,0,2020-11-30T03:07:41Z,31.63645,R+32,James +32,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26037,Clinton,47415,4481,34,34,Merged into voters' home precincts and released with cumulative results,99,47927,99%,99% reported,edison,10,unknown,,9045,,,21490,25269,304,266,86,2784,1647,24,21,5,2020-11-30T03:08:09Z,7.97005,R+8,James +8,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26039,Crawford,7780,0,10,10,Merged into voters' home precincts and released with cumulative results,99,7861,99%,99% reported,edison,10,unknown,,1244,,,2653,5021,52,34,20,0,0,0,0,0,2020-11-30T03:08:23Z,30.43702,R+30,James +30,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26041,Delta,20917,0,27,27,Merged into voters' home precincts and released with cumulative results,99,21151,99%,99% reported,edison,10,all,,3134,,,7827,12828,126,97,39,0,0,0,0,0,2020-11-30T03:08:42Z,23.90878,R+24,James +24,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26043,Dickinson,14486,0,15,15,Released as a separate subtotal as first report of the night,99,14589,99%,99% reported,edison,10,unknown,,1960,,,4881,9431,88,65,21,0,0,0,0,0,2020-11-30T03:08:56Z,31.40964,R+31,James +31,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26045,Eaton,63587,33335,51,51,Merged into voters' home precincts and released with cumulative results,99,64327,99%,99% reported,edison,10,unknown,,15665,,,31460,30876,642,451,158,20847,11907,293,217,71,2020-11-30T03:09:18Z,0.91843,D+0.92,Peters +0.92,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26047,Emmet,22022,7708,18,18,Merged into voters' home precincts and released with cumulative results,99,22177,99%,99% reported,edison,10,some,,4226,,,9216,12506,97,152,51,4075,3559,22,37,15,2020-11-30T03:09:33Z,14.93961,R+15,James +15,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26049,Genesee,219110,96327,239,239,Merged into voters' home precincts and released with cumulative results,99,221360,99%,99% reported,edison,10,unknown,,35969,,,120380,94505,2210,1509,506,59764,34937,875,575,176,2021-03-07T03:32:50Z,11.80914,D+12,Peters +12,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26051,Gladwin,14364,0,18,18,Merged into voters' home precincts and released with cumulative results,98,14603,98%,98% reported,edison,10,unknown,,1923,,,4905,9245,119,59,36,0,0,0,0,0,2020-11-30T03:10:13Z,30.21442,R+30,James +30,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26053,Gogebic,8132,0,11,11,Merged into voters' home precincts and released with cumulative results,98,8266,98%,98% reported,edison,10,unknown,,543,,,3556,4436,64,58,18,0,0,0,0,0,2020-11-30T03:10:33Z,10.82145,R+11,James +11,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26055,Grand Traverse,59840,24013,55,55,Merged into voters' home precincts and released with cumulative results,99,60236,99%,99% reported,edison,10,unknown,,16547,,,27291,31792,269,397,91,12813,10937,94,144,25,2020-11-30T03:10:53Z,7.52172,R+8,James +8,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26057,Gratiot,18948,0,21,21,Merged into voters' home precincts and released with cumulative results,99,19127,99%,99% reported,edison,10,all,,1790,,,6856,11746,165,126,55,0,0,0,0,0,2020-11-30T04:05:36Z,25.80747,R+26,James +26,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26059,Hillsdale,22942,0,26,26,Merged into voters' home precincts and released with cumulative results,98,23302,98%,98% reported,edison,10,all,,2406,,,6237,16227,251,154,73,0,0,0,0,0,2020-11-30T03:11:32Z,43.54459,R+44,James +44,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26061,Houghton,18350,0,29,29,Merged into voters' home precincts and released with cumulative results,99,18501,99%,99% reported,edison,10,unknown,,1850,,,7941,10151,89,142,27,0,0,0,0,0,2020-11-30T03:11:50Z,12.0436,R+12,James +12,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26063,Huron,17976,0,31,31,None,97,18437,97%,97% reported,edison,10,none,,1927,,,6021,11730,115,65,45,0,0,0,0,0,2020-11-30T03:12:10Z,31.75901,R+32,James +32,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26065,Ingham,143557,0,115,115,Merged into voters' home precincts and released with cumulative results,99,144550,99%,99% reported,edison,10,unknown,,39987,,,92378,48378,1260,1218,323,0,0,0,0,0,2021-03-07T03:32:57Z,30.64985,D+31,Peters +31,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26067,Ionia,31762,0,31,31,None,99,32209,99%,99% reported,edison,10,unknown,,3326,,,10639,20361,436,239,87,0,0,0,0,0,2020-11-30T03:12:41Z,30.6089,R+31,James +31,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26069,Iosco,15135,0,18,18,Merged into voters' home precincts and released with cumulative results,99,15363,99%,99% reported,edison,10,all,,2585,,,5804,9040,153,95,43,0,0,0,0,0,2020-11-30T03:12:57Z,21.38091,R+21,James +21,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26071,Iron,6719,0,13,13,Merged into voters' home precincts and released with cumulative results,99,6789,99%,99% reported,edison,10,all,,608,,,2554,4063,51,39,12,0,0,0,0,0,2020-11-30T03:13:15Z,22.4587,R+22,James +22,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
