fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
30001,Beaverhead,5665,0,16,16,Merged into voters' home precincts AFTER election night,100,5665,100%,100% reported,edison,10,all,,4174,,,3775,1890,0,0,2020-11-24T13:22:47Z,33.27449,R+33,Daines +33,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30003,Big Horn,4793,0,19,19,Released as a separate subtotal as first report of the night,100,4794,100%,100% reported,edison,10,some,,2040,,,2106,2687,0,0,2021-03-06T23:15:12Z,12.12184,D+12,Bullock +12,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30005,Blaine,3135,0,8,8,Merged into voters' home precincts AFTER election night,100,3135,100%,100% reported,edison,10,all,,1576,,,1343,1792,0,0,2021-01-15T20:20:38Z,14.32217,D+14,Bullock +14,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30007,Broadwater,4110,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4110,100%,100% reported,edison,10,all,,2206,,,3107,1003,0,0,2020-12-01T13:56:14Z,51.19221,R+51,Daines +51,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30009,Carbon,6995,0,13,13,Merged into voters' home precincts and released with cumulative results,99,7101,99%,99% reported,edison,10,all,,4579,,,4404,2591,0,0,2021-01-15T20:20:26Z,25.91851,R+26,Daines +26,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30011,Carter,861,0,4,4,Merged into voters' home precincts and released with cumulative results,100,864,100%,100% reported,edison,10,unknown,,414,,,767,94,0,0,2020-11-24T13:22:50Z,78.16492,R+78,Daines +78,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30013,Cascade,40039,0,23,23,Merged into voters' home precincts and released with cumulative results,100,40039,100%,100% reported,edison,10,all,,42859,,,22312,17727,0,0,2021-03-06T23:15:25Z,11.45133,R+11,Daines +11,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30015,Chouteau,2992,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2992,100%,100% reported,edison,10,all,,2205,,,1813,1179,0,0,2021-01-15T20:21:07Z,21.18984,R+21,Daines +21,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30017,Custer,5860,0,14,14,Merged into voters' home precincts AFTER election night,100,5883,100%,100% reported,edison,10,unknown,,3874,,,3995,1865,0,0,2021-01-15T20:20:59Z,36.34812,R+36,Daines +36,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30019,Daniels,1030,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1030,100%,100% reported,edison,10,unknown,,595,,,787,243,0,0,2020-11-24T13:22:52Z,52.81553,R+53,Daines +53,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30021,Dawson,4823,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4837,100%,100% reported,edison,10,unknown,,4322,,,3634,1189,0,0,2021-01-15T20:21:22Z,50.69459,R+51,Daines +51,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30023,Deer Lodge,4882,0,14,14,Merged into voters' home precincts and released with cumulative results,100,4891,100%,100% reported,edison,10,some,,3414,,,1921,2961,0,0,2020-12-01T13:58:20Z,21.30274,D+21,Bullock +21,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30025,Fallon,1576,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1576,100%,100% reported,edison,10,unknown,,899,,,1341,235,0,0,2020-11-24T13:22:53Z,70.17766,R+70,Daines +70,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30027,Fergus,6534,0,16,16,None,100,6534,100%,100% reported,edison,10,unknown,,5078,,,4746,1788,0,0,2021-01-15T20:33:34Z,45.27089,R+45,Daines +45,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30029,Flathead,60041,0,42,42,Merged into voters' home precincts and released with cumulative results,100,60258,100%,100% reported,edison,10,some,,38453,,,37861,22180,0,0,2021-01-15T20:22:23Z,26.11715,R+26,Daines +26,republican,dainess,montana,2021-05-04T08:37:03.408895Z
