fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_write_ins,results_siadekg,results_absentee_sasseb,results_absentee_janicekc,results_absentee_write_ins,results_absentee_siadekg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
31001,Adams,14920,6530,29,29,Released as a precinct as first report of the night,100,14602,100%,100% reported,edison,10,unknown,,4675,,,9995,2583,1445,897,4021,1615,521,373,2020-12-11T15:21:49Z,49.67828,R+50,Sasse +50,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31003,Antelope,3579,0,14,14,Other,100,3583,100%,100% reported,edison,10,unknown,,934,,,2828,354,213,184,0,0,0,0,2020-12-11T15:21:58Z,69.12545,R+69,Sasse +69,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31005,Arthur,291,0,1,1,Merged into voters' home precincts and released with cumulative results,100,284,100%,100% reported,edison,10,unknown,,66,,,228,21,21,21,0,0,0,0,2020-12-11T15:22:29Z,71.13402,R+71,Sasse +71,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31007,Banner,418,0,1,1,Released as a separate subtotal at the end of tabulation,100,410,100%,100% reported,edison,10,unknown,,205,,,335,39,23,21,0,0,0,0,2020-12-11T15:22:39Z,70.8134,R+71,Sasse +71,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31009,Blaine,327,0,1,1,Released as a separate subtotal at the end of tabulation,100,317,100%,100% reported,edison,10,all,,230,,,222,35,36,34,0,0,0,0,2020-12-11T15:22:49Z,56.88073,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31011,Boone,3163,0,9,9,Released as a precinct as first report of the night,98,3217,98%,98% reported,edison,10,unknown,,1536,,,2402,351,232,178,0,0,0,0,2020-12-11T15:23:00Z,64.8435,R+65,Sasse +65,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31013,Box Butte,5382,0,10,10,Released as a precinct at the end of tabulation,100,5181,100%,100% reported,edison,10,unknown,,2298,,,3840,822,394,326,0,0,0,0,2020-12-11T15:23:13Z,56.07581,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31015,Boyd,1122,0,4,4,Released as a precinct as first report of the night,97,1153,97%,97% reported,edison,10,unknown,,379,,,883,89,75,75,0,0,0,0,2020-12-11T15:23:23Z,70.76649,R+71,Sasse +71,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31017,Brown,1712,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1679,100%,100% reported,edison,10,unknown,,589,,,1387,125,107,93,0,0,0,0,2020-12-11T15:23:33Z,73.71495,R+74,Sasse +74,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31019,Buffalo,24570,9464,29,29,Released as a separate subtotal as first report of the night,100,23589,100%,100% reported,edison,10,all,,5402,,,16729,3851,2385,1605,6033,2077,755,599,2020-12-11T15:23:45Z,52.41351,R+52,Sasse +52,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31021,Burt,3761,0,3,3,Released as a precinct as first report of the night,100,3731,100%,100% reported,edison,10,unknown,,925,,,2639,678,257,187,0,0,0,0,2020-12-11T15:23:58Z,52.14039,R+52,Sasse +52,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31023,Butler,4567,0,12,12,Released as a precinct as first report of the night,100,4498,100%,100% reported,edison,10,unknown,,1013,,,3512,613,244,198,0,0,0,0,2020-12-11T15:24:06Z,63.47712,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31025,Cass,15666,5294,30,30,Released as a separate subtotal as first report of the night,100,15284,100%,100% reported,edison,10,some,,4685,,,10493,2874,1413,886,3504,1453,0,337,2020-12-11T15:24:17Z,48.63398,R+49,Sasse +49,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31027,Cedar,5037,0,13,13,Released as a precinct as first report of the night,100,4996,100%,100% reported,edison,10,unknown,,4030,,,3902,545,318,272,0,0,0,0,2020-12-11T15:24:24Z,66.64681,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31029,Chase,2009,0,6,6,Released as a separate subtotal as first report of the night,100,1993,100%,100% reported,edison,10,unknown,,614,,,1666,173,91,79,0,0,0,0,2020-12-11T15:24:32Z,74.31558,R+74,Sasse +74,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31031,Cherry,3231,0,20,20,Merged into voters' home precincts and released with cumulative results,99,3265,99%,99% reported,edison,10,unknown,,3326,,,2365,283,309,274,0,0,0,0,2020-12-11T15:24:41Z,63.63355,R+64,Sasse +64,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31033,Cheyenne,4890,0,10,10,Released as a precinct as first report of the night,100,4765,100%,100% reported,edison,10,unknown,,1955,,,3505,718,344,323,0,0,0,0,2020-12-11T15:24:50Z,56.99387,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31035,Clay,3631,0,12,12,Released as a precinct as first report of the night,100,3558,100%,100% reported,edison,10,unknown,,699,,,2660,432,296,243,0,0,0,0,2020-12-11T15:24:57Z,61.36051,R+61,Sasse +61,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31037,Colfax,3771,1465,6,6,"Released as first report, then NOT included in cumulative results",100,3726,100%,100% reported,edison,10,some,,1195,,,2652,747,216,156,965,368,54,78,2020-12-11T15:25:06Z,50.5171,R+51,Sasse +51,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31039,Cuming,4539,0,8,8,None,100,4451,100%,100% reported,edison,10,unknown,,1174,,,3566,509,266,198,0,0,0,0,2020-12-11T15:25:13Z,67.34964,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31041,Custer,6120,0,30,30,Released as a precinct in the middle of the night,100,5993,100%,100% reported,edison,10,unknown,,1726,,,4824,531,404,361,0,0,0,0,2020-12-11T15:25:23Z,70.14706,R+70,Sasse +70,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31043,Dakota,6753,0,14,14,Released as a precinct as first report of the night,99,6794,99%,99% reported,edison,10,unknown,,2150,,,3951,2235,327,240,0,0,0,0,2020-12-11T15:25:33Z,25.41093,R+25,Sasse +25,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31045,Dawes,4255,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4121,100%,100% reported,edison,10,unknown,,2669,,,2883,785,337,250,0,0,0,0,2020-12-11T15:25:41Z,49.3067,R+49,Sasse +49,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31047,Dawson,9375,3288,21,21,Released as a precinct as first report of the night,100,9178,100%,100% reported,edison,10,unknown,,2261,,,6460,1830,606,479,2139,879,117,153,2020-12-11T15:26:20Z,49.38667,R+49,Sasse +49,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31049,Deuel,1070,0,3,3,None,100,1032,100%,100% reported,edison,10,all,,274,,,837,104,67,62,0,0,0,0,2020-12-11T15:26:32Z,68.50467,R+69,Sasse +69,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31051,Dixon,3166,0,13,13,Other,100,3083,100%,100% reported,edison,10,unknown,,3510,,,2206,501,253,206,0,0,0,0,2020-12-11T15:26:42Z,53.85344,R+54,Sasse +54,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31053,Dodge,17525,0,34,34,"As a precinct in the FIRST cumulative report, along with regular precincts",100,16876,100%,100% reported,edison,10,unknown,,4152,,,11397,3408,1646,1074,0,0,0,0,2020-12-11T15:26:56Z,45.58631,R+46,Sasse +46,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31055,Douglas,283620,0,237,237,Released separately AFTER election night,100,274951,100%,100% reported,edison,10,unknown,,125011,,,136745,87608,43248,16019,0,0,0,0,2020-12-11T15:27:14Z,17.32494,R+17,Sasse +17,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31057,Dundy,1016,0,4,4,Released as a separate subtotal as first report of the night,100,999,100%,100% reported,edison,10,unknown,,334,,,835,77,56,48,0,0,0,0,2020-12-11T15:27:23Z,74.6063,R+75,Sasse +75,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31059,Fillmore,3233,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,3134,100%,100% reported,edison,10,unknown,,917,,,2418,435,224,156,0,0,0,0,2020-12-11T15:27:33Z,61.33622,R+61,Sasse +61,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31061,Franklin,1751,0,5,5,Released as a precinct as first report of the night,100,1724,100%,100% reported,edison,10,unknown,,590,,,1398,190,92,71,0,0,0,0,2020-12-11T15:27:49Z,68.98915,R+69,Sasse +69,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31063,Frontier,1471,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1440,100%,100% reported,edison,10,unknown,,342,,,1183,129,86,73,0,0,0,0,2020-12-11T15:27:58Z,71.65194,R+72,Sasse +72,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31065,Furnas,2696,0,8,8,None,100,2601,100%,100% reported,edison,10,unknown,,478,,,2079,277,179,161,0,0,0,0,2020-12-11T15:28:11Z,66.83976,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31067,Gage,11444,0,11,11,None,100,11068,100%,100% reported,edison,10,unknown,,6456,,,7656,2240,928,620,0,0,0,0,2020-12-11T15:28:25Z,47.32611,R+47,Sasse +47,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31069,Garden,1214,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1195,100%,100% reported,edison,10,unknown,,403,,,938,127,75,74,0,0,0,0,2020-12-11T15:28:33Z,66.80395,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31071,Garfield,1067,0,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",99,1075,99%,99% reported,edison,10,all,,302,,,868,91,58,50,0,0,0,0,2020-12-11T15:28:44Z,72.82099,R+73,Sasse +73,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31073,Gosper,1146,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1118,100%,100% reported,edison,10,unknown,,282,,,900,111,76,59,0,0,0,0,2020-12-11T15:28:52Z,68.84817,R+69,Sasse +69,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31075,Grant,389,0,1,1,Merged into voters' home precincts AFTER election night,97,402,97%,97% reported,edison,10,unknown,,133,,,321,14,29,25,0,0,0,0,2020-12-11T15:31:00Z,75.06427,R+75,Sasse +75,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31077,Greeley,1226,0,5,5,Released as a precinct at the end of tabulation,97,1258,97%,97% reported,edison,10,unknown,,282,,,938,166,66,56,0,0,0,0,2020-12-11T15:31:06Z,62.969,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31079,Hall,25042,0,27,27,Released as a precinct at the end of tabulation,100,24374,100%,100% reported,edison,10,unknown,,9026,,,16231,5180,2142,1489,0,0,0,0,2020-12-11T15:31:17Z,44.12986,R+44,Sasse +44,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31081,Hamilton,5659,0,12,12,Released as a precinct as first report of the night,100,5533,100%,100% reported,edison,10,unknown,,5243,,,4114,678,493,374,0,0,0,0,2020-12-11T15:31:27Z,60.71744,R+61,Sasse +61,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31083,Harlan,1970,0,9,9,Released separately AFTER election night,100,1928,100%,100% reported,edison,10,unknown,,466,,,1529,208,128,105,0,0,0,0,2020-12-11T15:31:46Z,67.05584,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31085,Hayes,535,0,4,4,Released separately AFTER election night,100,534,100%,100% reported,edison,10,unknown,,277,,,457,30,25,23,0,0,0,0,2020-12-11T15:31:53Z,79.81308,R+80,Sasse +80,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31087,Hitchcock,1551,0,5,5,Released as a precinct as first report of the night,100,1469,100%,100% reported,edison,10,unknown,,448,,,1179,144,119,109,0,0,0,0,2020-12-11T15:32:06Z,66.73114,R+67,Sasse +67,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31089,Holt,5575,0,14,14,Released as a precinct as first report of the night,100,5537,100%,100% reported,edison,10,unknown,,1792,,,4165,603,434,373,0,0,0,0,2020-12-11T15:32:21Z,63.89238,R+64,Sasse +64,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31091,Hooker,435,0,1,1,Merged into voters' home precincts and released with cumulative results,98,442,98%,98% reported,edison,10,unknown,,109,,,349,48,21,17,0,0,0,0,2020-12-11T15:32:31Z,69.1954,R+69,Sasse +69,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31093,Howard,3572,0,9,9,Released as a separate subtotal as first report of the night,100,3501,100%,100% reported,edison,10,unknown,,934,,,2660,446,259,207,0,0,0,0,2020-12-11T15:32:40Z,61.98208,R+62,Sasse +62,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31095,Jefferson,3856,0,11,11,None,100,3716,100%,100% reported,edison,10,unknown,,1011,,,2764,664,237,191,0,0,0,0,2020-12-11T15:32:49Z,54.46058,R+54,Sasse +54,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31097,Johnson,2284,0,6,6,Released as a precinct as first report of the night,100,2229,100%,100% reported,edison,10,unknown,,685,,,1576,417,166,125,0,0,0,0,2020-12-11T15:32:58Z,50.74431,R+51,Sasse +51,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31099,Kearney,3713,0,12,12,Released as a precinct as first report of the night,100,3604,100%,100% reported,edison,10,unknown,,765,,,2790,412,291,220,0,0,0,0,2020-12-11T15:33:06Z,64.04525,R+64,Sasse +64,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31101,Keith,4485,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4364,100%,100% reported,edison,10,unknown,,1515,,,3355,553,323,254,0,0,0,0,2020-12-11T15:33:16Z,62.47492,R+62,Sasse +62,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31103,Keya Paha,537,0,3,3,Released as a precinct as first report of the night,100,529,100%,100% reported,edison,10,unknown,,301,,,427,41,35,34,0,0,0,0,2020-12-11T15:33:24Z,71.88082,R+72,Sasse +72,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31105,Kimball,1935,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,1874,100%,100% reported,edison,10,unknown,,544,,,1458,244,121,112,0,0,0,0,2020-12-11T15:33:35Z,62.73902,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31107,Knox,4689,0,8,8,Released as a separate subtotal as first report of the night,100,4697,100%,100% reported,edison,10,unknown,,1126,,,3376,708,317,288,0,0,0,0,2020-12-11T15:33:44Z,56.89913,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31109,Lancaster,160992,0,199,199,Released as a precinct at the end of tabulation,100,156091,100%,100% reported,edison,10,unknown,,53608,,,79436,48756,24395,8405,0,0,0,0,2020-12-11T15:33:55Z,19.05685,R+19,Sasse +19,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31111,Lincoln,17835,7609,25,25,Released as a precinct as first report of the night,100,17107,100%,100% reported,edison,10,unknown,,6886,,,12679,2626,1417,1113,5464,1655,0,490,2020-12-11T15:34:05Z,56.36669,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31113,Logan,450,0,2,2,Released as a precinct at the end of tabulation,100,450,100%,100% reported,edison,10,unknown,,219,,,369,36,23,22,0,0,0,0,2020-12-11T15:34:18Z,74,R+74,Sasse +74,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31115,Loup,458,0,2,2,Released as a precinct at the end of tabulation,100,454,100%,100% reported,edison,10,unknown,,130,,,370,28,39,21,0,0,0,0,2020-12-11T15:34:26Z,72.27074,R+72,Sasse +72,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31119,Madison,16174,0,23,23,Released as a precinct as first report of the night,100,15765,100%,100% reported,edison,10,unknown,,4174,,,11552,2399,1280,943,0,0,0,0,2020-12-11T15:34:48Z,56.59082,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31117,McPherson,312,0,1,1,Other,100,302,100%,100% reported,edison,10,unknown,,138,,,260,12,21,19,0,0,0,0,2020-12-11T15:34:37Z,76.60256,R+77,Sasse +77,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31121,Merrick,4329,0,15,15,Released as a precinct as first report of the night,100,4282,100%,100% reported,edison,10,unknown,,3923,,,3242,511,309,267,0,0,0,0,2020-12-11T15:35:45Z,63.08616,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
